time,open,high,low,close,volume,ticker
2017-07-20,7.82,0.0,0.0,0.0,0,LMI
2017-07-21,10.93,10.93,10.93,10.93,100,LMI
2017-07-24,9.29,9.29,9.29,9.29,100,LMI
2017-07-25,7.92,7.92,7.92,7.92,100,LMI
2017-07-26,6.78,6.78,6.78,6.78,800,LMI
2017-07-27,5.79,5.79,5.79,5.79,2000,LMI
2017-07-28,4.97,6.61,4.97,5.74,4700,LMI
2017-07-31,5.85,5.85,5.85,5.85,500,LMI
2017-08-01,4.97,5.47,4.97,5.47,1100,LMI
2017-08-02,5.41,5.41,5.41,5.41,0,LMI
2017-08-03,5.47,5.47,5.47,5.47,100,LMI
2017-08-04,5.47,5.47,5.47,5.47,0,LMI
2017-08-07,5.08,5.47,5.08,5.36,5000,LMI
2017-08-08,5.25,5.25,5.25,5.25,0,LMI
2017-08-09,5.36,5.36,5.36,5.36,100,LMI
2017-08-10,5.36,5.36,5.36,5.36,0,LMI
2017-08-11,5.36,5.36,5.36,5.36,0,LMI
2017-08-14,5.36,5.36,5.36,5.36,0,LMI
2017-08-15,5.36,5.36,5.36,5.36,0,LMI
2017-08-16,5.36,5.36,5.36,5.36,0,LMI
2017-08-17,5.36,5.36,5.36,5.36,0,LMI
2017-08-18,6.01,6.01,6.01,6.01,5000,LMI
2017-08-21,5.47,5.47,5.47,5.47,100,LMI
2017-08-22,5.47,5.47,5.47,5.47,10000,LMI
2017-08-23,5.47,5.47,5.47,5.47,0,LMI
2017-08-24,5.52,5.52,5.52,5.52,100,LMI
2017-08-25,5.52,5.52,5.52,5.52,2000,LMI
2017-08-28,5.47,5.47,5.47,5.47,6000,LMI
2017-08-29,5.47,5.47,5.47,5.47,6000,LMI
2017-08-30,5.47,5.47,5.47,5.47,12000,LMI
2017-08-31,5.47,5.47,5.47,5.47,500,LMI
2017-09-01,5.41,5.47,5.41,5.47,4000,LMI
2017-09-05,5.47,5.47,5.47,5.47,0,LMI
2017-09-06,5.47,5.47,5.47,5.47,0,LMI
2017-09-07,5.47,5.47,5.47,5.47,1000,LMI
2017-09-08,5.47,5.57,5.47,5.57,2600,LMI
2017-09-11,5.47,5.47,5.47,5.47,3000,LMI
2017-09-12,5.47,5.47,5.47,5.47,5000,LMI
2017-09-13,5.47,5.47,5.47,5.47,7900,LMI
2017-09-14,5.47,5.47,5.47,5.47,0,LMI
2017-09-15,5.47,5.47,5.47,5.47,0,LMI
2017-09-18,5.47,5.47,5.47,5.47,0,LMI
2017-09-19,5.47,5.47,5.47,5.47,400,LMI
2017-09-20,5.47,5.47,5.47,5.47,0,LMI
2017-09-21,5.47,5.47,5.47,5.47,0,LMI
2017-09-22,5.47,5.47,5.47,5.47,0,LMI
2017-09-25,5.47,5.47,5.47,5.47,0,LMI
2017-09-26,5.47,5.47,5.47,5.47,0,LMI
2017-09-27,5.47,5.47,5.47,5.47,0,LMI
2017-09-28,5.47,5.47,5.47,5.47,0,LMI
2017-09-29,5.47,5.57,5.47,5.57,2700,LMI
2017-10-02,5.52,5.52,5.52,5.52,0,LMI
2017-10-03,5.47,5.57,5.47,5.47,1600,LMI
2017-10-04,5.47,5.47,5.47,5.47,2000,LMI
2017-10-05,5.47,5.47,5.47,5.47,3200,LMI
2017-10-06,5.47,5.47,5.47,5.47,0,LMI
2017-10-09,5.47,5.47,5.47,5.47,10200,LMI
2017-10-10,5.47,5.47,5.47,5.47,0,LMI
2017-10-11,5.47,5.47,5.47,5.47,100,LMI
2017-10-12,5.47,5.47,5.47,5.47,29000,LMI
2017-10-13,5.47,5.47,5.47,5.47,0,LMI
2017-10-16,5.47,5.47,5.47,5.47,0,LMI
