time,open,high,low,close,volume,ticker
2009-12-24,7.92,8.31,7.48,7.48,15300,MAC
2009-12-25,7.36,7.36,7.36,7.36,6600,MAC
2009-12-28,6.85,6.85,6.85,6.85,100,MAC
2009-12-29,6.37,6.37,6.37,6.37,1700,MAC
2009-12-30,5.94,5.94,5.94,5.94,500,MAC
2009-12-31,5.54,5.58,5.54,5.54,43100,MAC
2010-01-04,5.27,5.9,5.27,5.9,40600,MAC
2010-01-05,6.18,6.18,5.94,5.94,6500,MAC
2010-01-06,5.74,5.94,5.74,5.94,400,MAC
2010-01-07,5.74,5.74,5.38,5.42,19800,MAC
2010-01-08,5.7,5.82,5.38,5.38,24300,MAC
2010-01-11,5.74,5.74,5.46,5.54,5200,MAC
2010-01-12,5.54,5.54,5.35,5.35,16500,MAC
2010-01-13,5.82,5.82,5.15,5.66,7700,MAC
2010-01-14,5.54,5.78,5.54,5.78,39300,MAC
2010-01-15,6.02,6.06,6.02,6.06,67200,MAC
2010-01-18,6.41,6.41,5.78,6.06,15500,MAC
2010-01-19,6.34,6.34,5.86,6.26,6700,MAC
2010-01-20,5.86,5.9,5.82,5.9,21800,MAC
2010-01-21,5.78,5.94,5.58,5.74,10100,MAC
2010-01-22,5.38,6.02,5.38,6.02,18600,MAC
2010-01-25,5.54,6.02,5.54,5.98,10400,MAC
2010-01-26,6.14,6.26,5.94,6.14,15500,MAC
2010-01-27,6.02,6.02,5.86,5.94,5100,MAC
2010-01-28,5.66,5.74,5.54,5.74,15300,MAC
2010-01-29,5.62,5.62,5.62,5.62,3100,MAC
2010-02-01,5.86,5.86,5.86,5.86,100,MAC
2010-02-02,5.86,5.86,5.82,5.82,800,MAC
2010-02-03,5.94,5.94,5.94,5.94,1000,MAC
2010-02-04,5.9,5.9,5.9,5.9,600,MAC
2010-02-05,5.74,5.9,5.66,5.66,3500,MAC
2010-02-08,5.54,5.54,5.42,5.42,12900,MAC
2010-02-09,5.54,5.54,5.54,5.54,200,MAC
2010-02-10,5.54,5.54,5.54,5.54,5000,MAC
2010-02-11,5.54,5.54,5.54,5.54,1000,MAC
2010-02-12,5.54,5.66,5.54,5.58,15400,MAC
2010-02-22,5.54,5.94,5.54,5.58,2800,MAC
2010-02-23,5.54,5.54,5.27,5.27,3400,MAC
2010-02-24,5.54,5.54,5.15,5.15,2400,MAC
2010-02-25,5.62,5.62,5.62,5.62,100,MAC
2010-02-26,5.58,5.58,5.58,5.58,1000,MAC
2010-03-01,5.58,5.58,5.58,5.58,900,MAC
2010-03-02,5.58,5.58,5.31,5.31,2000,MAC
2010-03-03,5.54,5.54,5.46,5.5,4700,MAC
2010-03-04,5.15,5.15,5.15,5.15,500,MAC
2010-03-05,5.15,5.27,5.15,5.23,10100,MAC
2010-03-08,5.31,5.58,5.23,5.58,26300,MAC
2010-03-09,5.66,5.66,5.58,5.66,43000,MAC
2010-03-10,5.86,5.86,5.86,5.86,200,MAC
2010-03-11,5.54,5.62,5.54,5.58,4600,MAC
2010-03-12,5.54,5.58,5.54,5.54,9900,MAC
2010-03-15,5.54,5.54,5.42,5.54,19900,MAC
2010-03-16,5.54,5.82,5.46,5.58,14800,MAC
2010-03-17,5.9,5.98,5.74,5.98,73200,MAC
2010-03-18,6.37,6.37,6.34,6.37,81700,MAC
2010-03-19,6.81,6.81,6.73,6.81,181000,MAC
2010-03-22,7.29,7.29,6.89,7.29,258400,MAC
2010-03-23,7.68,7.68,7.33,7.68,211800,MAC
2010-03-24,8.04,8.04,7.17,7.44,105600,MAC
2010-03-25,7.33,7.33,6.89,6.89,175900,MAC
2010-03-26,7.09,7.4,7.09,7.4,166900,MAC
2010-03-29,7.88,7.88,7.52,7.88,469800,MAC
2010-03-30,8.35,8.35,8.31,8.35,423300,MAC
2010-03-31,8.91,8.91,8.63,8.71,519600,MAC
2010-04-01,8.28,8.83,8.28,8.59,313400,MAC
2010-04-02,8.39,8.95,8.12,8.95,392500,MAC
2010-04-05,9.46,9.46,9.46,9.46,155600,MAC
2010-04-06,10.1,10.1,9.74,10.1,236800,MAC
2010-04-07,10.77,10.77,10.65,10.77,225500,MAC
2010-04-08,11.48,11.52,10.89,11.52,839000,MAC
2010-04-09,12.16,12.23,11.36,11.56,359600,MAC
2010-04-12,11.88,12.75,11.09,11.09,400500,MAC
2010-04-13,10.65,11.48,10.65,11.09,386100,MAC
2010-04-14,10.77,11.44,10.77,11.44,56000,MAC
2010-04-15,12.16,12.16,12.16,12.16,31100,MAC
2010-04-16,12.99,12.99,12.99,12.99,31400,MAC
2010-04-19,13.86,13.86,13.07,13.86,434000,MAC
2010-04-20,14.77,14.77,14.73,14.77,338200,MAC
2010-04-21,15.76,15.8,14.49,15.76,531100,MAC
2010-04-22,16.43,16.59,14.65,14.69,360200,MAC
2010-04-26,14.73,16.27,14.45,15.8,363500,MAC
2010-04-27,15.84,16.08,15.28,15.64,244400,MAC
2010-04-28,15.24,15.28,14.61,14.85,363200,MAC
2010-04-29,14.65,15.76,14.45,15.76,570500,MAC
2010-05-04,16.63,16.63,15.36,16.63,412100,MAC
2010-05-05,15.88,16.23,15.44,15.64,151900,MAC
2010-05-06,15.44,16.63,14.89,15.92,234300,MAC
2010-05-07,15.68,16.23,14.61,14.85,359600,MAC
2010-05-10,14.14,14.65,14.14,14.14,205300,MAC
2010-05-11,14.17,15.16,13.19,13.42,210900,MAC
2010-05-12,13.07,13.19,13.07,13.07,7000,MAC
2010-05-13,12.16,13.03,12.16,12.16,127600,MAC
2010-05-14,11.36,12.08,11.36,11.8,233700,MAC
2010-05-17,11.72,12.27,11.21,11.48,167600,MAC
2010-05-18,11.13,11.48,11.09,11.09,40200,MAC
2010-05-19,10.41,10.49,10.33,10.33,6900,MAC
2010-05-20,10.29,10.29,9.62,9.62,247700,MAC
2010-05-21,9.03,9.03,9.03,9.03,19400,MAC
2010-05-24,8.43,9.5,8.43,8.59,112700,MAC
2010-05-25,7.96,9.11,7.96,8.83,137100,MAC
2010-05-26,8.91,9.27,8.83,9.27,24500,MAC
2010-05-27,9.78,9.78,9.7,9.78,108000,MAC
2010-05-28,10.45,10.45,10.45,10.45,3800,MAC
2010-05-31,11.17,11.17,10.89,11.17,312100,MAC
2010-06-01,11.68,11.68,10.49,11.64,182200,MAC
2010-06-02,11.32,12.12,11.09,11.96,171800,MAC
2010-06-03,12.47,12.51,11.21,11.21,96800,MAC
2010-06-04,10.97,11.48,10.85,10.97,160500,MAC
2010-06-07,10.29,10.65,10.29,10.29,77500,MAC
2010-06-08,9.58,10.89,9.58,10.29,162900,MAC
2010-06-09,10.65,10.73,10.57,10.73,160600,MAC
2010-06-10,10.69,11.05,10.49,10.73,51100,MAC
2010-06-11,11.36,11.4,10.37,10.69,94200,MAC
2010-06-14,10.49,11.56,10.49,11.56,243600,MAC
2010-06-15,12.04,12.08,11.17,11.48,147100,MAC
2010-06-16,11.84,12.39,11.52,11.76,144300,MAC
2010-06-17,12.04,12.27,11.17,11.24,109800,MAC
