time,open,high,low,close,volume,ticker
2011-11-01,2.55,2.55,2.42,2.42,2719290,MBB
2011-11-02,2.39,2.42,2.32,2.32,1255220,MBB
2011-11-03,2.28,2.32,2.21,2.3,1193910,MBB
2011-11-04,2.32,2.32,2.27,2.27,483860,MBB
2011-11-07,2.27,2.27,2.16,2.16,1158750,MBB
2011-11-08,2.12,2.14,2.07,2.11,1105490,MBB
2011-11-09,2.09,2.11,2.04,2.04,740500,MBB
2011-11-10,2.0,2.12,2.0,2.07,1258020,MBB
2011-11-11,2.11,2.14,2.09,2.11,1024320,MBB
2011-11-14,2.09,2.11,2.07,2.09,681580,MBB
2011-11-15,2.07,2.11,2.07,2.07,333650,MBB
2011-11-16,2.07,2.11,2.05,2.09,963200,MBB
2011-11-17,2.09,2.09,2.05,2.09,833240,MBB
2011-11-18,2.07,2.11,2.04,2.11,1468870,MBB
2011-11-21,2.07,2.18,2.07,2.18,1247370,MBB
2011-11-22,2.18,2.28,2.18,2.25,1100380,MBB
2011-11-23,2.27,2.28,2.21,2.23,580420,MBB
2011-11-24,2.23,2.23,2.18,2.18,545770,MBB
2011-11-25,2.16,2.18,2.12,2.16,587810,MBB
2011-11-28,2.18,2.25,2.16,2.21,1119140,MBB
2011-11-29,2.21,2.27,2.21,2.25,1368920,MBB
2011-11-30,2.27,2.27,2.19,2.19,1192350,MBB
2011-12-01,2.21,2.25,2.21,2.23,903960,MBB
2011-12-02,2.23,2.25,2.21,2.23,505490,MBB
2011-12-05,2.23,2.3,2.23,2.28,915680,MBB
2011-12-06,2.28,2.28,2.25,2.25,709500,MBB
2011-12-07,2.29,2.31,2.23,2.27,1243680,MBB
2011-12-08,2.29,2.29,2.25,2.25,381970,MBB
2011-12-09,2.25,2.25,2.19,2.21,861100,MBB
2011-12-12,2.19,2.25,2.19,2.23,640030,MBB
2011-12-13,2.21,2.25,2.21,2.21,648920,MBB
2011-12-14,2.21,2.21,2.15,2.19,1185060,MBB
2011-12-15,2.21,2.21,2.13,2.19,582760,MBB
2011-12-16,2.19,2.23,2.17,2.19,510930,MBB
2011-12-19,2.17,2.21,2.17,2.19,468810,MBB
2011-12-20,2.17,2.19,2.17,2.19,560760,MBB
2011-12-21,2.19,2.21,2.19,2.21,588730,MBB
2011-12-22,2.17,2.21,2.15,2.17,587640,MBB
2011-12-23,2.17,2.19,2.15,2.15,597370,MBB
2011-12-26,2.15,2.17,2.07,2.13,1035190,MBB
2011-12-27,2.11,2.11,2.03,2.03,1727600,MBB
2011-12-28,2.03,2.07,2.02,2.05,1741660,MBB
2011-12-29,2.07,2.09,2.05,2.09,1019180,MBB
2011-12-30,2.09,2.13,2.09,2.09,510030,MBB
2012-01-03,2.09,2.11,2.07,2.11,462000,MBB
2012-01-04,2.09,2.11,2.05,2.11,368740,MBB
2012-01-05,2.11,2.11,2.05,2.07,478490,MBB
2012-01-06,2.07,2.09,2.05,2.07,331370,MBB
2012-01-09,2.09,2.11,2.05,2.09,464800,MBB
2012-01-10,2.07,2.13,2.07,2.13,897700,MBB
2012-01-11,2.15,2.15,2.13,2.15,653750,MBB
2012-01-12,2.15,2.19,2.13,2.19,475010,MBB
2012-01-13,2.19,2.23,2.19,2.23,425170,MBB
2012-01-16,2.23,2.31,2.23,2.29,553980,MBB
2012-01-17,2.31,2.31,2.23,2.23,645660,MBB
2012-01-18,2.23,2.29,2.21,2.23,343520,MBB
2012-01-19,2.27,2.31,2.25,2.31,268670,MBB
2012-01-20,2.31,2.33,2.27,2.29,275900,MBB
2012-01-30,2.31,2.33,2.27,2.33,457150,MBB
2012-01-31,2.33,2.4,2.31,2.34,822330,MBB
2012-02-01,2.34,2.34,2.29,2.33,586840,MBB
2012-02-02,2.36,2.44,2.36,2.44,1360930,MBB
2012-02-03,2.5,2.56,2.46,2.48,4077030,MBB
2012-02-06,2.52,2.52,2.42,2.42,1157510,MBB
2012-02-07,2.48,2.48,2.4,2.44,963570,MBB
2012-02-08,2.46,2.54,2.44,2.54,2496360,MBB
2012-02-09,2.54,2.65,2.54,2.6,4113510,MBB
2012-02-10,2.6,2.64,2.54,2.56,3139790,MBB
2012-02-13,2.57,2.57,2.49,2.49,949610,MBB
2012-02-14,2.49,2.57,2.47,2.57,1310730,MBB
2012-02-15,2.57,2.57,2.47,2.51,1089850,MBB
2012-02-16,2.49,2.53,2.47,2.53,1264950,MBB
2012-02-17,2.53,2.57,2.53,2.57,1215500,MBB
2012-02-20,2.61,2.69,2.59,2.67,2941850,MBB
2012-02-21,2.71,2.71,2.61,2.61,2805190,MBB
2012-02-22,2.59,2.71,2.59,2.69,3635880,MBB
2012-02-23,2.71,2.82,2.67,2.82,5790660,MBB
2012-02-24,2.86,2.94,2.84,2.88,7576700,MBB
2012-02-27,2.92,3.0,2.86,2.98,5071310,MBB
2012-02-28,3.04,3.04,2.83,2.9,4770100,MBB
2012-02-29,2.83,2.96,2.83,2.96,6070940,MBB
2012-03-01,2.98,3.1,2.94,3.08,11644670,MBB
2012-03-02,3.14,3.23,3.12,3.23,14086080,MBB
2012-03-05,3.37,3.37,3.37,3.37,1604700,MBB
2012-03-06,3.54,3.54,3.37,3.41,15791100,MBB
2012-03-07,3.37,3.41,3.27,3.33,9630560,MBB
2012-03-08,3.19,3.31,3.16,3.16,9290320,MBB
2012-03-09,3.06,3.19,3.02,3.08,6469510,MBB
2012-03-12,3.08,3.08,2.94,2.98,7728610,MBB
2012-03-13,3.04,3.12,2.98,3.1,5046780,MBB
2012-03-14,3.16,3.16,3.02,3.02,3632820,MBB
2012-03-15,2.98,3.16,2.96,3.16,5270660,MBB
2012-03-16,3.29,3.31,3.19,3.21,6865540,MBB
2012-03-19,3.19,3.27,3.16,3.21,4156720,MBB
2012-03-20,3.23,3.29,3.21,3.29,3748430,MBB
2012-03-21,3.33,3.43,3.31,3.35,8486760,MBB
2012-03-22,3.31,3.37,3.27,3.27,5042930,MBB
2012-03-23,3.31,3.37,3.27,3.31,6886300,MBB
2012-03-26,3.35,3.35,3.21,3.21,4345740,MBB
2012-03-27,3.16,3.21,3.06,3.06,6171100,MBB
2012-03-28,3.02,3.12,2.98,3.12,3287320,MBB
2012-03-29,3.14,3.14,3.02,3.04,2667660,MBB
2012-03-30,3.02,3.06,2.98,3.0,2563210,MBB
2012-04-03,3.0,3.14,3.0,3.14,4560310,MBB
2012-04-04,3.14,3.16,3.06,3.08,2466650,MBB
2012-04-05,3.08,3.19,3.04,3.16,3033670,MBB
2012-04-06,3.16,3.21,3.12,3.12,2553500,MBB
2012-04-09,3.14,3.19,3.1,3.16,1622410,MBB
2012-04-10,3.16,3.19,3.06,3.08,3968660,MBB
2012-04-11,3.16,3.16,3.08,3.16,3865700,MBB
2012-04-12,3.19,3.31,3.16,3.27,10227410,MBB
2012-04-13,3.29,3.31,3.21,3.21,2991900,MBB
2012-04-16,3.25,3.31,3.21,3.27,2489500,MBB
2012-04-17,3.31,3.35,3.25,3.29,5193950,MBB
2012-04-18,3.29,3.35,3.25,3.25,5574540,MBB
