time,open,high,low,close,volume,ticker
2017-05-05,7.21,7.21,6.64,7.21,89600,MIG
2017-05-08,8.24,8.24,6.18,7.72,215650,MIG
2017-05-09,7.88,7.88,7.21,7.21,39560,MIG
2017-05-10,7.26,7.26,6.69,7.16,100260,MIG
2017-05-11,6.95,7.21,6.9,7.0,47020,MIG
2017-05-12,7.0,7.0,6.9,6.9,34014,MIG
2017-05-15,6.9,6.9,5.92,6.69,44910,MIG
2017-05-16,6.85,7.0,6.8,7.0,17600,MIG
2017-05-17,6.95,7.0,6.8,6.8,42000,MIG
2017-05-18,6.8,6.8,6.64,6.69,43654,MIG
2017-05-19,6.69,6.69,6.69,6.69,62800,MIG
2017-05-22,6.69,6.75,6.64,6.69,69100,MIG
2017-05-23,6.69,6.69,6.54,6.59,19300,MIG
2017-05-24,6.59,6.59,6.18,6.18,245680,MIG
2017-05-25,6.18,6.44,6.08,6.18,245680,MIG
2017-05-26,6.18,7.0,6.18,7.0,161600,MIG
2017-05-29,6.64,6.95,6.54,6.54,40000,MIG
2017-05-30,6.54,6.69,6.44,6.44,76309,MIG
2017-05-31,6.44,6.44,6.39,6.39,15230,MIG
2017-06-01,6.49,6.49,6.39,6.44,17200,MIG
2017-06-02,6.33,6.44,6.33,6.33,34940,MIG
2017-06-05,6.8,6.8,6.39,6.44,6000,MIG
2017-06-06,6.44,6.44,6.44,6.44,1000,MIG
2017-06-07,6.44,6.54,6.39,6.49,80800,MIG
2017-06-08,6.44,6.69,6.44,6.49,75630,MIG
2017-06-09,6.44,6.44,6.39,6.44,4500,MIG
2017-06-12,6.39,6.44,6.39,6.39,55600,MIG
2017-06-13,6.44,6.54,6.44,6.49,34800,MIG
2017-06-14,6.59,6.64,6.49,6.49,33932,MIG
2017-06-15,6.54,6.54,6.44,6.44,7500,MIG
2017-06-16,6.44,6.44,6.39,6.39,20130,MIG
2017-06-19,6.44,6.69,6.44,6.59,93800,MIG
2017-06-20,6.64,6.69,6.59,6.64,8000,MIG
2017-06-21,6.49,6.49,6.49,6.49,10110,MIG
2017-06-22,6.49,6.49,6.44,6.44,35100,MIG
2017-06-23,6.44,6.44,6.44,6.44,19900,MIG
2017-06-26,6.44,6.44,6.44,6.44,20300,MIG
2017-06-27,6.44,6.44,6.18,6.44,20700,MIG
2017-06-28,6.28,6.28,6.28,6.28,12600,MIG
2017-06-29,6.33,6.33,6.28,6.28,3042,MIG
2017-06-30,6.28,6.64,6.28,6.44,41700,MIG
2017-07-03,6.64,6.64,6.54,6.54,35300,MIG
2017-07-04,6.64,6.69,6.54,6.69,70438,MIG
2017-07-05,6.69,6.75,6.69,6.75,34000,MIG
2017-07-06,6.75,6.95,6.75,6.85,80100,MIG
2017-07-07,6.95,7.16,6.85,6.9,77500,MIG
2017-07-10,6.69,7.26,6.69,6.95,33019,MIG
2017-07-11,7.11,7.21,7.06,7.16,135900,MIG
2017-07-12,7.21,7.21,7.11,7.16,72600,MIG
2017-07-13,7.16,7.16,7.11,7.16,503000,MIG
2017-07-14,7.06,7.16,7.06,7.06,215900,MIG
2017-07-17,7.06,7.06,6.95,6.95,38100,MIG
2017-07-18,6.85,6.95,6.8,6.8,5000,MIG
2017-07-19,6.85,6.9,6.85,6.9,10476,MIG
2017-07-20,6.9,6.95,6.9,6.9,29060,MIG
2017-07-21,6.95,7.16,6.95,7.16,45000,MIG
2017-07-24,7.0,7.0,7.0,7.0,20800,MIG
2017-07-25,7.0,7.0,6.9,6.9,12300,MIG
2017-07-26,6.9,7.06,6.9,7.06,35700,MIG
2017-07-27,6.95,6.95,6.9,6.9,5300,MIG
2017-07-28,6.85,6.85,6.85,6.85,6300,MIG
2017-07-31,6.9,6.95,6.9,6.95,10400,MIG
2017-08-01,7.11,7.16,7.0,7.0,41400,MIG
2017-08-02,7.11,7.11,7.0,7.06,19020,MIG
2017-08-03,7.16,7.16,7.0,7.06,18000,MIG
2017-08-04,7.0,7.16,7.0,7.11,11800,MIG
2017-08-07,7.16,7.16,6.85,7.0,127700,MIG
2017-08-08,7.0,7.11,7.0,7.11,45800,MIG
2017-08-09,7.06,7.06,7.06,7.06,10500,MIG
2017-08-10,7.0,7.06,7.0,7.0,4100,MIG
2017-08-11,7.0,7.11,7.0,7.0,107400,MIG
2017-08-14,7.0,7.0,6.95,6.95,12000,MIG
2017-08-15,6.95,7.0,6.95,6.95,15000,MIG
2017-08-16,7.0,7.06,6.95,6.95,17500,MIG
2017-08-17,7.0,7.0,7.0,7.0,27000,MIG
2017-08-18,7.0,7.0,7.0,7.0,13450,MIG
2017-08-21,7.0,7.06,6.95,7.0,46700,MIG
2017-08-22,7.0,7.06,6.95,7.0,21100,MIG
2017-08-23,7.0,7.0,6.95,7.0,13200,MIG
2017-08-24,6.95,7.0,6.9,7.0,9450,MIG
2017-08-25,6.95,7.0,6.95,6.95,43400,MIG
2017-08-28,6.95,7.0,6.9,6.95,59400,MIG
2017-08-29,6.95,6.95,6.95,6.95,10400,MIG
2017-08-30,6.95,7.06,6.95,7.0,86306,MIG
2017-08-31,7.0,7.06,6.9,7.0,60300,MIG
2017-09-01,7.0,7.11,6.95,7.0,80200,MIG
2017-09-05,7.0,7.06,6.95,7.0,12300,MIG
2017-09-06,7.0,7.0,6.95,6.95,5100,MIG
2017-09-07,7.0,7.0,6.95,6.95,12800,MIG
2017-09-08,6.95,7.0,6.95,6.95,57200,MIG
2017-09-11,7.06,7.06,6.95,6.95,66300,MIG
2017-09-12,6.95,6.95,6.95,6.95,53600,MIG
2017-09-13,6.95,6.95,6.95,6.95,49700,MIG
2017-09-14,6.95,7.0,5.97,6.9,7420,MIG
2017-09-15,6.8,6.95,6.8,6.9,73206,MIG
2017-09-18,6.95,6.95,6.95,6.95,11310,MIG
2017-09-19,6.85,6.95,6.85,6.95,2900,MIG
2017-09-20,6.85,6.85,6.8,6.8,63200,MIG
2017-09-21,6.75,6.85,6.69,6.85,43920,MIG
2017-09-22,6.75,7.0,6.75,6.75,7700,MIG
2017-09-25,6.9,6.9,6.9,6.9,200,MIG
2017-09-26,6.85,6.85,6.75,6.75,13500,MIG
2017-09-27,6.69,6.8,6.69,6.8,18000,MIG
2017-09-28,6.69,6.95,6.69,6.95,6510,MIG
2017-09-29,6.75,6.75,6.69,6.75,21530,MIG
2017-10-02,6.75,6.75,6.69,6.69,48800,MIG
2017-10-03,6.69,6.69,6.69,6.69,4600,MIG
2017-10-04,6.8,6.8,6.8,6.8,2700,MIG
2017-10-05,6.8,6.95,6.75,6.95,18100,MIG
2017-10-06,6.9,6.9,6.9,6.9,400,MIG
2017-10-09,6.69,6.69,6.69,6.69,37000,MIG
2017-10-10,6.8,6.8,6.8,6.8,100,MIG
2017-10-11,6.69,6.75,6.23,6.23,76700,MIG
2017-10-12,6.64,6.69,6.54,6.69,23820,MIG
2017-10-13,6.69,6.75,6.69,6.69,100000,MIG
2017-10-16,6.18,6.69,6.18,6.69,4400,MIG
2017-10-17,6.69,6.69,6.49,6.69,2900,MIG
2017-10-18,6.69,6.69,6.69,6.69,100,MIG
2017-10-19,6.69,6.69,6.44,6.44,300,MIG
2017-10-20,6.44,6.69,6.44,6.54,1300,MIG
2017-10-23,6.69,6.69,6.44,6.44,900,MIG
2017-10-24,6.64,6.64,6.64,6.64,0,MIG
2017-10-25,6.64,6.75,6.64,6.69,103100,MIG
2017-10-26,6.69,6.69,6.69,6.69,2900,MIG
2017-10-27,6.44,6.49,6.44,6.44,180200,MIG
2017-10-30,6.59,6.69,5.56,6.69,33300,MIG
2017-10-31,6.44,6.44,6.28,6.44,71300,MIG
2017-11-01,6.44,6.44,5.61,5.61,28300,MIG
2017-11-02,6.39,6.39,6.03,6.28,8300,MIG
2017-11-03,6.39,6.39,6.13,6.13,1100,MIG
2017-11-06,6.39,6.39,5.92,6.33,4300,MIG
2017-11-07,6.23,6.23,5.66,5.66,1000,MIG
2017-11-08,6.49,6.49,5.87,5.87,28000,MIG
2017-11-09,5.92,5.92,5.92,5.92,7500,MIG
2017-11-10,6.33,6.33,5.66,5.92,75300,MIG
2017-11-13,5.66,5.82,5.66,5.72,34500,MIG
2017-11-14,5.66,5.87,5.66,5.66,78800,MIG
2017-11-15,5.87,5.87,5.87,5.87,100,MIG
2017-11-16,6.13,6.13,5.82,5.87,12200,MIG
2017-11-17,5.77,5.82,5.66,5.72,28100,MIG
2017-11-20,5.82,5.82,5.77,5.77,15100,MIG
2017-11-21,5.77,5.77,5.66,5.66,27700,MIG
2017-11-22,5.66,5.66,5.66,5.66,135400,MIG
2017-11-23,5.77,5.77,5.66,5.66,21500,MIG
2017-11-24,5.66,5.77,5.66,5.77,77400,MIG
2017-11-27,5.66,5.82,5.66,5.77,10400,MIG
2017-11-28,5.72,5.82,5.72,5.82,46800,MIG
2017-11-29,5.82,5.82,5.82,5.82,4500,MIG
2017-11-30,5.87,5.87,5.82,5.82,72900,MIG
2017-12-01,5.82,5.92,5.82,5.92,31300,MIG
2017-12-04,5.82,6.23,5.82,5.82,30200,MIG
2017-12-05,5.82,6.08,5.82,5.87,137800,MIG
2017-12-06,5.92,6.08,5.87,6.08,14700,MIG
2017-12-07,5.92,6.08,5.92,5.92,1700,MIG
2017-12-08,5.92,5.97,5.92,5.97,28800,MIG
2017-12-11,5.92,5.92,5.92,5.92,2600,MIG
2017-12-12,5.92,5.92,5.87,5.87,28700,MIG
2017-12-13,5.92,6.13,5.92,6.13,7500,MIG
2017-12-14,6.64,6.64,6.18,6.18,8100,MIG
2017-12-15,6.39,6.39,5.97,6.33,700,MIG
2017-12-18,6.39,6.39,6.18,6.18,5100,MIG
2017-12-19,5.97,5.97,5.97,5.97,500,MIG
2017-12-20,5.97,5.97,5.92,5.92,5800,MIG
2017-12-21,6.44,6.59,6.03,6.03,32900,MIG
2017-12-22,6.33,6.33,6.33,6.33,10300,MIG
2017-12-25,6.18,6.18,6.13,6.18,6200,MIG
2017-12-26,6.18,6.18,6.03,6.18,33000,MIG
2017-12-27,6.18,6.18,6.13,6.18,8500,MIG
2017-12-28,6.18,6.18,6.08,6.08,12000,MIG
2017-12-29,6.18,6.18,6.18,6.18,100,MIG
2018-01-02,6.18,6.18,6.13,6.13,2300,MIG
2018-01-03,6.39,6.39,6.13,6.13,23800,MIG
2018-01-04,6.13,6.59,6.03,6.59,46500,MIG
2018-01-05,6.08,6.08,6.08,6.08,2000,MIG
2018-01-08,6.18,6.18,6.18,6.18,16000,MIG
2018-01-09,6.18,6.28,6.13,6.18,65100,MIG
2018-01-10,6.69,6.69,6.18,6.44,24410,MIG
2018-01-11,6.33,6.59,6.18,6.23,106000,MIG
