time,open,high,low,close,volume,ticker
2014-07-14,4.31,4.34,4.31,4.34,10660,MWG
2014-07-15,4.63,4.63,4.63,4.63,13480,MWG
2014-07-16,4.95,4.95,4.95,4.95,17290,MWG
2014-07-17,5.3,5.3,5.3,5.3,95120,MWG
2014-07-18,5.64,5.64,5.64,5.64,134460,MWG
2014-07-21,6.02,6.02,5.38,5.64,311030,MWG
2014-07-22,5.54,5.8,5.54,5.8,568890,MWG
2014-07-23,5.86,5.86,5.75,5.8,23330,MWG
2014-07-24,5.75,5.8,5.75,5.75,33590,MWG
2014-07-25,5.75,5.8,5.75,5.75,79630,MWG
2014-07-28,5.75,5.8,5.75,5.75,93810,MWG
2014-07-29,5.75,5.75,5.59,5.64,25300,MWG
2014-07-30,5.7,5.7,5.59,5.64,16160,MWG
2014-07-31,5.59,5.59,5.38,5.48,37400,MWG
2014-08-01,5.59,5.59,5.43,5.48,28290,MWG
2014-08-04,5.48,5.48,5.48,5.48,13350,MWG
2014-08-05,5.54,5.59,5.54,5.54,21340,MWG
2014-08-06,5.54,5.7,5.54,5.7,20800,MWG
2014-08-07,5.7,5.7,5.64,5.7,17250,MWG
2014-08-08,5.64,5.7,5.64,5.7,9190,MWG
2014-08-11,6.07,6.07,5.91,6.07,179250,MWG
2014-08-12,6.12,6.28,6.12,6.28,64140,MWG
2014-08-13,6.34,6.66,6.23,6.6,147010,MWG
2014-08-14,6.6,7.03,6.6,7.03,149800,MWG
2014-08-15,7.45,7.51,7.24,7.51,100130,MWG
2014-08-18,7.77,7.93,7.67,7.93,29910,MWG
2014-08-19,7.72,7.88,7.4,7.4,39150,MWG
2014-08-20,6.97,7.45,6.97,7.4,46550,MWG
2014-08-21,7.29,7.4,7.19,7.19,58570,MWG
2014-08-22,7.19,7.51,7.19,7.51,45860,MWG
2014-08-25,7.72,7.77,7.51,7.67,61190,MWG
2014-08-26,7.67,7.67,7.13,7.13,29880,MWG
2014-08-27,7.35,7.45,7.19,7.29,11450,MWG
2014-08-28,7.29,7.29,7.19,7.29,5070,MWG
2014-08-29,7.29,7.29,6.92,7.19,15750,MWG
2014-09-03,7.24,7.24,7.08,7.19,25120,MWG
2014-09-04,7.13,7.13,6.92,7.03,37750,MWG
2014-09-05,7.08,7.24,7.08,7.24,44760,MWG
2014-09-08,7.35,7.72,7.24,7.72,171700,MWG
2014-09-09,8.25,8.25,7.83,7.93,88810,MWG
2014-09-10,8.15,8.15,7.77,8.09,23640,MWG
2014-09-11,8.04,8.2,7.99,8.09,25860,MWG
2014-09-12,8.09,8.15,7.93,8.04,44670,MWG
2014-09-15,8.04,8.15,8.04,8.09,14500,MWG
2014-09-16,8.04,8.09,7.99,8.09,65900,MWG
2014-09-17,8.2,8.2,7.99,8.09,6430,MWG
2014-09-18,7.99,8.2,7.99,8.2,13030,MWG
2014-09-19,8.36,8.73,8.36,8.73,20120,MWG
2014-09-22,9.32,9.32,8.94,9.32,28590,MWG
2014-09-23,9.58,9.74,9.26,9.26,13620,MWG
2014-09-24,9.48,9.48,9.21,9.21,5790,MWG
2014-09-25,9.05,9.05,8.57,8.57,30100,MWG
2014-09-26,9.05,9.05,8.68,8.89,26080,MWG
2014-09-29,9.05,9.05,8.94,8.94,11420,MWG
2014-09-30,8.78,9.0,8.78,9.0,12510,MWG
2014-10-01,9.0,9.16,9.0,9.05,24590,MWG
2014-10-02,9.0,9.21,9.0,9.16,51070,MWG
2014-10-03,9.32,9.42,9.26,9.32,22400,MWG
2014-10-06,9.37,9.37,9.26,9.32,19250,MWG
2014-10-07,9.26,9.37,9.26,9.32,37960,MWG
2014-10-08,9.96,9.96,9.78,9.96,138900,MWG
2014-10-09,10.5,10.59,10.5,10.59,271340,MWG
2014-10-10,10.5,10.68,10.41,10.59,63600,MWG
2014-10-13,10.41,10.41,10.05,10.14,17150,MWG
2014-10-14,10.23,10.23,10.05,10.14,34880,MWG
2014-10-15,10.14,10.23,10.05,10.23,94190,MWG
2014-10-16,10.14,10.23,9.59,9.69,37680,MWG
2014-10-17,9.96,9.96,9.59,9.87,59410,MWG
2014-10-20,10.05,10.05,9.78,9.78,7760,MWG
2014-10-21,9.78,9.87,9.59,9.78,14260,MWG
2014-10-22,9.87,9.87,9.69,9.69,15150,MWG
2014-10-23,9.69,9.69,9.41,9.5,21100,MWG
2014-10-24,9.5,9.78,9.5,9.78,17040,MWG
2014-10-27,9.96,10.23,9.87,9.87,26890,MWG
2014-10-28,9.78,9.87,9.59,9.59,28140,MWG
2014-10-29,9.69,9.69,9.5,9.5,21320,MWG
2014-10-30,9.5,9.69,9.5,9.69,65350,MWG
2014-10-31,9.69,9.69,9.5,9.59,26930,MWG
2014-11-03,9.5,9.5,9.14,9.32,51330,MWG
2014-11-04,9.05,9.41,9.05,9.32,84960,MWG
2014-11-05,9.32,9.32,9.05,9.05,33320,MWG
2014-11-06,8.96,9.32,8.69,8.78,176730,MWG
2014-11-07,8.78,9.32,8.78,9.32,161420,MWG
2014-11-10,9.32,9.32,9.14,9.23,67980,MWG
2014-11-11,9.14,9.23,9.05,9.23,78920,MWG
2014-11-12,9.14,9.23,9.14,9.14,64490,MWG
2014-11-13,9.14,9.23,9.14,9.14,48060,MWG
2014-11-14,9.14,9.32,9.14,9.23,95160,MWG
2014-11-17,9.14,9.14,9.01,9.14,18180,MWG
2014-11-18,9.05,9.05,8.96,8.96,21310,MWG
2014-11-19,8.96,8.96,8.83,8.87,15200,MWG
2014-11-20,8.96,8.96,8.73,8.87,25260,MWG
2014-11-21,8.96,8.96,8.73,8.87,14000,MWG
2014-11-24,8.73,8.78,8.6,8.6,57490,MWG
2014-11-25,8.6,8.69,8.42,8.42,48550,MWG
2014-11-26,8.51,8.51,8.28,8.33,39470,MWG
2014-11-27,8.33,8.33,8.15,8.24,22250,MWG
2014-11-28,8.33,8.33,8.06,8.06,38090,MWG
2014-12-01,8.06,8.06,7.51,7.69,61960,MWG
2014-12-02,7.69,8.19,7.69,8.19,39090,MWG
2014-12-03,8.69,8.73,8.64,8.73,142170,MWG
2014-12-04,9.32,9.32,9.05,9.05,257870,MWG
2014-12-05,9.05,9.05,8.78,9.01,64980,MWG
