time,open,high,low,close,volume,ticker
2006-12-22,22.26,22.26,22.26,22.26,27410,NAV
2006-12-25,23.37,23.37,23.37,23.37,14880,NAV
2006-12-26,24.48,24.48,24.48,24.48,49910,NAV
2006-12-27,25.47,25.47,25.47,25.47,16000,NAV
2006-12-28,26.71,26.71,26.71,26.71,46910,NAV
2006-12-29,27.94,27.94,27.7,27.7,27620,NAV
2007-01-02,27.7,27.7,26.71,26.71,12830,NAV
2007-01-03,25.47,25.47,25.47,25.47,15800,NAV
2007-01-04,25.47,25.47,25.47,25.47,23680,NAV
2007-01-05,25.47,25.72,25.47,25.72,32740,NAV
2007-01-08,26.95,26.95,26.95,26.95,36100,NAV
2007-01-09,28.19,28.19,28.19,28.19,10900,NAV
2007-01-10,28.19,28.19,26.95,26.95,11610,NAV
2007-01-11,25.72,26.95,25.72,26.95,18270,NAV
2007-01-12,26.71,26.71,25.97,25.97,7650,NAV
2007-01-15,27.2,27.2,27.2,27.2,24810,NAV
2007-01-16,28.44,28.44,28.44,28.44,16490,NAV
2007-01-17,29.68,29.68,29.68,29.68,27510,NAV
2007-01-18,30.91,30.91,30.66,30.91,21040,NAV
2007-01-19,30.91,30.91,29.68,29.68,46270,NAV
2007-01-22,28.19,28.19,28.19,28.19,30580,NAV
2007-01-23,28.19,28.19,28.19,28.19,13840,NAV
2007-01-24,28.19,29.43,28.19,28.69,9940,NAV
2007-01-25,29.68,29.68,28.44,28.69,13630,NAV
2007-01-26,28.69,28.69,28.44,28.44,11350,NAV
2007-01-29,28.69,29.18,28.69,29.18,13740,NAV
2007-01-30,29.43,29.68,29.43,29.68,22810,NAV
2007-01-31,31.16,31.16,31.16,31.16,34670,NAV
2007-02-01,31.16,31.16,30.17,30.17,10480,NAV
2007-02-02,30.17,30.17,30.17,30.17,14930,NAV
2007-02-05,31.65,31.65,31.41,31.41,25100,NAV
2007-02-06,32.15,32.89,32.15,32.89,27930,NAV
2007-02-07,34.37,34.37,34.37,34.37,14100,NAV
2007-02-08,35.86,35.86,35.86,35.86,51490,NAV
2007-02-09,37.59,37.59,37.59,37.59,69270,NAV
2007-02-12,39.32,39.32,39.32,39.32,10060,NAV
2007-02-13,41.05,41.05,41.05,41.05,26050,NAV
2007-02-14,43.03,43.03,43.03,43.03,35880,NAV
2007-02-15,45.01,45.01,44.51,44.51,43410,NAV
2007-02-26,46.74,46.74,46.74,46.74,7650,NAV
2007-02-27,46.74,48.96,46.74,48.96,9480,NAV
2007-02-28,48.96,48.96,46.74,46.74,29390,NAV
2007-03-01,46.74,48.96,46.74,48.96,33700,NAV
2007-03-02,51.19,51.19,50.45,50.69,34960,NAV
2007-03-05,51.19,51.93,51.19,51.93,18330,NAV
2007-03-06,52.43,52.43,50.69,50.69,25840,NAV
2007-03-07,53.17,53.17,51.93,51.93,34700,NAV
2007-03-08,49.46,51.19,49.46,51.19,25590,NAV
2007-03-09,51.44,53.17,51.44,53.17,26570,NAV
2007-03-12,53.17,54.4,53.17,54.4,38890,NAV
2007-03-13,54.4,54.4,51.93,53.17,8760,NAV
2007-03-14,50.69,50.69,50.69,50.69,10520,NAV
2007-03-15,48.22,48.22,48.22,48.22,5120,NAV
2007-03-16,48.22,50.45,48.22,50.45,9300,NAV
2007-03-19,50.45,52.92,50.45,51.93,22140,NAV
2007-03-20,50.69,50.69,49.46,49.46,16860,NAV
2007-03-21,48.22,49.46,48.22,49.46,9380,NAV
