time,open,high,low,close,volume,ticker
2023-11-09,38.0,38.0,22.8,22.8,486700,NCG
2023-11-10,22.8,23.0,19.8,21.9,457846,NCG
2023-11-13,21.0,22.9,21.0,21.4,191915,NCG
2023-11-14,21.4,22.4,20.9,21.4,186380,NCG
2023-11-15,21.5,21.8,20.5,20.8,150400,NCG
2023-11-16,20.5,21.1,20.0,20.4,169014,NCG
2023-11-17,20.3,20.5,19.4,19.7,174612,NCG
2023-11-20,19.0,19.2,18.1,18.7,130946,NCG
2023-11-21,18.7,18.9,18.0,18.3,173974,NCG
2023-11-22,18.2,20.6,18.1,19.6,165501,NCG
2023-11-23,19.6,19.8,18.7,18.9,73820,NCG
2023-11-24,18.6,19.1,17.5,18.4,93202,NCG
2023-11-27,19.0,19.0,17.9,18.1,32503,NCG
2023-11-28,18.0,18.2,17.5,17.9,52488,NCG
2023-11-29,18.0,18.1,17.6,17.8,77428,NCG
2023-11-30,17.6,17.9,17.4,17.6,69193,NCG
2023-12-01,17.6,17.7,17.1,17.1,79100,NCG
2023-12-04,17.4,17.8,17.2,17.6,92718,NCG
2023-12-05,17.6,17.7,17.3,17.5,51879,NCG
2023-12-06,17.5,17.6,17.3,17.5,56864,NCG
2023-12-07,17.3,17.6,16.9,17.1,91289,NCG
2023-12-08,17.0,17.1,16.6,16.9,109225,NCG
2023-12-11,16.8,17.0,16.4,16.4,62204,NCG
2023-12-12,16.6,16.7,15.8,16.3,146045,NCG
2023-12-13,16.2,16.4,16.1,16.2,95272,NCG
2023-12-14,16.3,16.3,15.7,15.9,37000,NCG
2023-12-15,15.8,15.8,15.3,15.6,38351,NCG
2023-12-18,15.5,15.7,14.6,14.9,50839,NCG
2023-12-19,15.1,15.1,13.7,14.3,162190,NCG
2023-12-20,14.3,14.3,14.1,14.2,10946,NCG
2023-12-21,14.2,14.2,14.0,14.2,8023,NCG
2023-12-22,14.2,15.8,14.2,15.2,80133,NCG
2023-12-25,15.1,15.5,15.0,15.1,92419,NCG
2023-12-26,15.2,15.3,14.8,15.0,11620,NCG
2023-12-27,14.9,14.9,14.6,14.8,18322,NCG
2023-12-28,14.8,14.8,14.4,14.7,27912,NCG
2023-12-29,14.6,15.1,14.6,14.8,19060,NCG
