time,open,high,low,close,volume,ticker
2010-03-11,0.0,0.0,0.0,0.0,0,NDC
2010-03-12,0.0,0.0,0.0,0.0,0,NDC
2010-03-15,0.0,0.0,0.0,0.0,0,NDC
2010-03-16,0.0,0.0,0.0,0.0,0,NDC
2010-03-17,0.0,0.0,0.0,0.0,0,NDC
2010-03-18,0.0,0.0,0.0,0.0,0,NDC
2010-03-19,0.0,0.0,0.0,0.0,0,NDC
2010-03-22,0.0,0.0,0.0,0.0,0,NDC
2010-03-23,0.0,0.0,0.0,0.0,0,NDC
2010-03-24,0.0,0.0,0.0,0.0,0,NDC
2010-03-26,0.0,0.0,0.0,0.0,0,NDC
2010-03-29,24.41,24.41,24.41,24.41,10,NDC
2010-03-30,24.41,0.0,0.0,0.0,0,NDC
2010-03-31,24.41,24.41,24.41,24.41,0,NDC
2010-04-01,24.41,24.41,24.41,24.41,0,NDC
2010-04-02,24.41,24.41,24.41,24.41,0,NDC
2010-04-05,24.41,24.41,24.41,24.41,0,NDC
2010-04-06,24.41,24.41,24.41,24.41,0,NDC
2010-04-07,24.41,24.41,24.41,24.41,0,NDC
2010-04-08,24.41,24.41,24.41,24.41,0,NDC
2010-04-09,24.41,24.41,24.41,24.41,0,NDC
2010-04-12,24.41,24.41,24.41,24.41,0,NDC
2010-04-13,24.41,24.41,24.41,24.41,0,NDC
2010-04-14,24.41,0.0,0.0,0.0,0,NDC
2010-04-15,24.41,24.41,24.41,24.41,0,NDC
2010-04-16,24.41,24.41,24.41,24.41,0,NDC
2010-04-19,24.41,24.41,24.41,24.41,0,NDC
2010-04-20,24.41,24.41,24.41,24.41,0,NDC
2010-04-21,24.41,24.41,24.41,24.41,0,NDC
2010-04-22,24.41,24.41,24.41,24.41,0,NDC
2010-04-26,24.41,24.41,24.41,24.41,0,NDC
2010-04-27,24.41,24.41,24.41,24.41,0,NDC
2010-04-28,24.41,24.41,24.41,24.41,0,NDC
2010-04-29,24.41,24.41,24.41,24.41,0,NDC
2010-05-04,24.41,24.41,24.41,24.41,0,NDC
2010-05-05,24.41,24.41,24.41,24.41,0,NDC
2010-05-06,24.41,24.41,24.41,24.41,0,NDC
2010-05-07,24.41,24.41,24.41,24.41,0,NDC
2010-05-10,24.41,24.41,24.41,24.41,0,NDC
2010-05-11,24.41,24.41,24.41,24.41,0,NDC
2010-05-12,24.41,24.41,24.41,24.41,0,NDC
2010-05-13,24.41,24.41,24.41,24.41,0,NDC
2010-05-14,24.41,24.41,24.41,24.41,0,NDC
2010-05-17,24.41,24.41,24.41,24.41,0,NDC
2010-05-18,24.41,0.0,0.0,0.0,0,NDC
2010-05-19,24.41,24.41,24.41,24.41,0,NDC
2010-05-20,24.41,24.41,24.41,24.41,0,NDC
2010-05-21,24.41,24.41,24.41,24.41,0,NDC
2010-05-25,24.41,24.41,24.41,24.41,0,NDC
2010-05-26,24.41,24.41,24.41,24.41,0,NDC
2010-05-27,24.41,24.41,24.41,24.41,0,NDC
2010-05-28,24.41,24.41,24.41,24.41,0,NDC
2010-05-31,24.41,24.41,24.41,24.41,0,NDC
2010-06-01,24.41,24.41,24.41,24.41,0,NDC
2010-06-02,24.41,24.41,24.41,24.41,0,NDC
2010-06-03,24.41,24.41,24.41,24.41,0,NDC
2010-06-07,24.41,24.41,24.41,24.41,0,NDC
2010-06-08,24.41,24.41,24.41,24.41,0,NDC
2010-06-10,24.41,24.41,24.41,24.41,0,NDC
2010-06-14,24.41,24.41,24.41,24.41,0,NDC
2010-06-15,24.41,24.41,24.41,24.41,0,NDC
2010-06-16,24.41,0.0,0.0,0.0,0,NDC
2010-06-17,24.41,24.41,24.41,24.41,0,NDC
2010-06-18,24.41,24.41,24.41,24.41,0,NDC
2010-06-21,24.41,24.41,24.41,24.41,0,NDC
