time,open,high,low,close,volume,ticker
2011-04-21,2.75,3.05,1.68,1.74,492500,NDN
2011-04-22,1.8,1.82,1.66,1.66,65800,NDN
2011-04-25,1.68,1.76,1.62,1.63,53000,NDN
2011-04-26,1.74,1.79,1.59,1.59,69000,NDN
2011-04-27,1.65,1.68,1.54,1.57,215900,NDN
2011-04-28,1.6,1.66,1.57,1.65,214800,NDN
2011-04-29,1.68,1.71,1.68,1.7,79100,NDN
2011-05-04,1.73,1.73,1.6,1.63,14200,NDN
2011-05-05,1.63,1.66,1.54,1.6,55300,NDN
2011-05-06,1.68,1.68,1.53,1.56,47400,NDN
2011-05-09,1.6,1.62,1.54,1.6,47100,NDN
2011-05-10,1.65,1.65,1.6,1.6,37700,NDN
2011-05-11,1.59,1.59,1.53,1.59,76500,NDN
2011-05-12,1.6,1.66,1.6,1.66,215300,NDN
2011-05-13,1.73,1.76,1.73,1.76,291400,NDN
2011-05-16,1.79,1.86,1.77,1.79,147000,NDN
2011-05-17,1.8,1.8,1.68,1.71,141600,NDN
2011-05-18,1.63,1.79,1.62,1.74,201900,NDN
2011-05-19,1.79,1.82,1.74,1.76,256100,NDN
2011-05-20,1.8,1.8,1.7,1.77,132800,NDN
2011-05-23,1.77,1.79,1.63,1.66,147800,NDN
2011-05-24,1.71,1.73,1.6,1.6,69300,NDN
2011-05-25,1.65,1.66,1.53,1.56,57000,NDN
2011-05-26,1.56,1.57,1.45,1.54,209400,NDN
2011-05-27,1.56,1.57,1.47,1.53,110000,NDN
2011-05-30,1.6,1.6,1.44,1.44,26700,NDN
2011-05-31,1.48,1.5,1.41,1.44,92300,NDN
2011-06-01,1.47,1.51,1.41,1.48,84000,NDN
2011-06-02,1.51,1.56,1.48,1.56,92200,NDN
2011-06-03,1.54,1.65,1.47,1.53,34800,NDN
2011-06-06,1.59,1.6,1.48,1.5,44000,NDN
2011-06-07,1.54,1.56,1.5,1.51,80600,NDN
2011-06-08,1.54,1.56,1.47,1.51,44400,NDN
2011-06-09,1.56,1.59,1.53,1.53,51800,NDN
2011-06-10,1.59,1.62,1.54,1.59,48500,NDN
2011-06-13,1.63,1.65,1.54,1.59,46600,NDN
2011-06-14,1.63,1.63,1.5,1.51,74000,NDN
2011-06-15,1.57,1.57,1.44,1.44,63200,NDN
2011-06-16,1.47,1.5,1.45,1.45,8100,NDN
2011-06-17,1.45,1.47,1.37,1.37,88200,NDN
2011-06-20,1.41,1.41,1.36,1.41,50300,NDN
2011-06-21,1.44,1.44,1.37,1.42,20300,NDN
2011-06-22,1.37,1.37,1.33,1.33,68100,NDN
2011-06-23,1.31,1.31,1.25,1.25,87200,NDN
2011-06-24,1.28,1.34,1.27,1.34,50100,NDN
2011-06-27,1.33,1.37,1.3,1.37,45200,NDN
2011-06-28,1.39,1.39,1.31,1.33,18000,NDN
2011-06-29,1.3,1.3,1.27,1.3,43100,NDN
2011-06-30,1.33,1.33,1.27,1.28,46900,NDN
2011-07-01,1.27,1.27,1.25,1.27,28200,NDN
2011-07-04,1.27,1.3,1.27,1.28,6900,NDN
2011-07-05,1.31,1.34,1.3,1.34,56700,NDN
2011-07-06,1.41,1.41,1.28,1.31,29700,NDN
2011-07-07,1.34,1.34,1.31,1.33,25900,NDN
2011-07-08,1.34,1.34,1.3,1.34,27000,NDN
2011-07-11,1.31,1.33,1.3,1.3,52800,NDN
2011-07-12,1.31,1.33,1.3,1.33,45500,NDN
2011-07-13,1.39,1.39,1.37,1.37,22000,NDN
2011-07-14,1.47,1.47,1.32,1.32,7800,NDN
2011-07-15,1.33,1.45,1.33,1.45,23500,NDN
2011-07-18,1.47,1.49,1.37,1.37,16500,NDN
