time,open,high,low,close,volume,ticker
2010-05-17,38.01,38.01,33.3,33.48,634390,NTB
2010-05-18,31.85,32.58,31.85,31.85,555920,NTB
2010-05-19,30.31,30.31,30.31,30.31,288140,NTB
2010-05-20,28.87,28.87,28.87,28.87,614900,NTB
2010-05-21,27.51,27.51,27.51,27.51,11100,NTB
2010-05-24,26.15,28.05,26.15,27.24,1366080,NTB
2010-05-25,27.6,27.6,25.97,25.97,562350,NTB
2010-05-26,26.69,27.24,25.97,27.24,1031040,NTB
2010-05-27,28.59,28.59,28.5,28.59,744230,NTB
2010-05-28,29.95,29.95,29.95,29.95,63580,NTB
2010-05-31,31.4,31.4,30.31,30.77,2562970,NTB
2010-06-01,29.95,31.22,29.5,30.22,722620,NTB
2010-06-02,29.68,30.31,29.23,30.22,592510,NTB
2010-06-03,30.68,30.68,29.59,29.77,593700,NTB
2010-06-04,29.41,29.86,28.78,28.78,541500,NTB
2010-06-07,27.6,27.96,27.42,27.42,924280,NTB
2010-06-08,27.42,27.78,26.69,27.42,451590,NTB
2010-06-09,27.6,27.69,26.97,26.97,326570,NTB
2010-06-10,26.69,28.23,26.6,28.23,1303930,NTB
2010-06-11,28.78,28.78,28.05,28.05,545310,NTB
2010-06-14,28.05,28.69,28.05,28.05,626550,NTB
2010-06-15,28.05,28.05,27.6,27.96,308670,NTB
2010-06-16,28.05,29.32,27.87,29.32,3068110,NTB
2010-06-17,28.96,30.4,28.96,29.68,1224710,NTB
2010-06-18,29.14,29.86,28.69,28.69,390290,NTB
2010-06-21,28.69,28.96,28.5,28.5,487530,NTB
2010-06-22,28.23,28.41,27.6,27.6,979630,NTB
2010-06-23,27.15,28.05,27.15,27.6,606650,NTB
2010-06-24,27.87,27.87,26.97,27.15,737460,NTB
2010-06-25,27.06,27.15,26.15,26.24,604220,NTB
2010-06-28,26.51,27.15,26.42,26.69,305060,NTB
2010-06-29,27.06,27.06,26.24,26.33,467660,NTB
2010-06-30,25.61,25.97,25.61,25.79,544170,NTB
2010-07-01,25.79,25.97,25.16,25.34,892200,NTB
2010-07-02,25.52,25.7,25.25,25.34,457550,NTB
2010-07-05,25.34,25.52,24.88,24.98,469270,NTB
2010-07-06,24.79,24.88,24.16,24.34,727580,NTB
2010-07-07,24.43,24.98,24.34,24.34,618360,NTB
2010-07-08,25.34,25.34,24.43,24.61,742610,NTB
2010-07-09,24.88,25.79,24.79,25.79,1331340,NTB
2010-07-12,25.79,25.97,25.61,25.79,398230,NTB
2010-07-13,25.97,26.51,25.7,26.06,446730,NTB
2010-07-14,26.06,26.24,25.34,25.34,517620,NTB
2010-07-15,25.43,26.24,25.16,26.15,1341830,NTB
2010-07-16,26.15,27.42,25.79,26.24,2107800,NTB
2010-07-19,26.51,26.51,26.06,26.06,440720,NTB
2010-07-20,26.06,26.06,25.52,25.52,465910,NTB
2010-07-21,25.52,26.42,25.52,25.79,991450,NTB
2010-07-22,25.79,25.79,25.25,25.25,701290,NTB
2010-07-23,25.34,25.43,24.98,24.98,519320,NTB
2010-07-26,24.88,25.52,24.7,24.7,305330,NTB
2010-07-27,24.7,24.88,24.25,24.25,546770,NTB
2010-07-28,24.07,24.25,23.17,23.26,470280,NTB
2010-07-29,22.98,23.35,22.44,22.8,761370,NTB
2010-07-30,22.89,23.89,22.71,23.26,495070,NTB
2010-08-02,23.44,23.44,22.89,23.26,186540,NTB
2010-08-03,23.53,23.53,22.98,22.98,460240,NTB
2010-08-04,22.62,22.62,21.9,22.08,553240,NTB
2010-08-05,22.08,22.89,21.9,21.9,545210,NTB
2010-08-06,21.99,22.17,21.45,21.45,343710,NTB
2010-08-09,21.08,21.45,20.45,20.45,702060,NTB
2010-08-10,20.45,20.45,19.46,19.46,882670,NTB
2010-08-11,19.46,20.27,19.27,19.64,620770,NTB
2010-08-12,19.0,19.0,18.73,18.73,696960,NTB
2010-08-13,18.28,19.18,18.01,19.18,518760,NTB
2010-08-16,19.46,20.0,19.18,19.91,471160,NTB
2010-08-17,19.18,19.73,18.91,19.09,518770,NTB
2010-08-18,19.27,20.0,19.09,19.36,870660,NTB
2010-08-19,19.27,19.46,18.64,18.82,340330,NTB
2010-08-20,18.82,19.0,18.28,19.0,262420,NTB
2010-08-23,19.64,19.64,18.37,18.46,278750,NTB
2010-08-24,17.83,17.83,17.56,17.56,761920,NTB
2010-08-25,17.1,17.1,16.74,16.74,428350,NTB
2010-08-26,16.74,16.83,15.93,16.2,702720,NTB
2010-08-27,15.75,16.2,15.47,15.56,601340,NTB
2010-08-30,16.29,16.29,15.84,16.29,299380,NTB
2010-08-31,16.74,17.1,16.29,17.1,536630,NTB
2010-09-01,17.65,17.92,17.37,17.92,815380,NTB
2010-09-06,18.73,18.73,18.64,18.73,378720,NTB
2010-09-07,19.55,19.64,18.82,19.64,888340,NTB
2010-09-08,18.73,19.73,18.73,19.18,1083670,NTB
2010-09-09,19.82,20.09,19.27,20.09,1352440,NTB
2010-09-10,19.91,20.45,19.09,19.09,919440,NTB
2010-09-13,18.64,19.0,18.19,18.19,831760,NTB
2010-09-14,18.46,19.0,18.1,19.0,819370,NTB
2010-09-15,19.18,19.18,18.28,18.28,550210,NTB
2010-09-16,18.19,18.46,18.1,18.37,457480,NTB
2010-09-17,18.82,19.27,18.73,19.27,1028130,NTB
2010-09-20,20.09,20.18,19.64,20.0,1503150,NTB
2010-09-21,19.73,20.45,19.73,20.0,637050,NTB
2010-09-22,19.73,20.18,19.55,19.73,307200,NTB
2010-09-23,19.73,19.73,18.82,19.09,1133290,NTB
2010-09-24,19.09,19.46,18.64,19.18,706700,NTB
2010-09-27,19.18,19.46,18.82,19.0,387260,NTB
2010-09-28,19.64,19.73,19.0,19.0,346440,NTB
2010-09-29,19.27,19.27,18.55,18.55,372580,NTB
2010-09-30,18.55,18.55,18.28,18.55,486190,NTB
2010-10-01,18.82,19.09,18.55,18.55,752640,NTB
2010-10-04,19.0,19.0,17.65,17.65,829650,NTB
2010-10-05,17.19,18.1,17.19,18.1,318390,NTB
2010-10-06,18.1,18.73,18.01,18.37,437230,NTB
2010-10-07,18.64,18.64,17.74,17.74,321350,NTB
2010-10-08,17.56,17.83,17.28,17.37,376390,NTB
2010-10-11,17.28,17.56,17.28,17.37,281040,NTB
2010-10-12,16.83,17.37,16.83,16.83,409330,NTB
2010-10-13,16.65,17.01,16.65,16.92,248460,NTB
2010-10-14,16.92,17.28,16.83,16.92,137880,NTB
2010-10-15,17.19,17.19,16.74,16.74,119780,NTB
2010-10-18,16.65,16.83,16.47,16.65,194280,NTB
2010-10-19,16.83,16.83,15.93,16.02,425670,NTB
2010-10-20,15.65,15.75,15.29,15.29,710140,NTB
2010-10-21,15.38,15.75,15.11,15.38,385520,NTB
2010-10-22,15.2,15.56,15.11,15.2,230850,NTB
2010-10-25,15.47,15.47,14.75,15.47,153640,NTB
2010-10-26,15.75,16.2,15.65,16.2,528950,NTB
2010-10-27,16.29,16.38,15.65,15.75,355410,NTB
2010-10-28,15.38,15.93,15.29,15.38,268790,NTB
