time,open,high,low,close,volume,ticker
2016-12-19,7.71,7.71,7.71,7.71,100,NTC
2016-12-20,7.71,7.71,7.71,7.71,0,NTC
2016-12-21,7.71,7.71,7.71,7.71,0,NTC
2016-12-22,7.71,7.71,7.71,7.71,0,NTC
2016-12-23,8.86,8.86,8.86,8.86,100,NTC
2016-12-26,10.17,10.17,10.17,10.17,100,NTC
2016-12-27,11.68,11.68,11.68,11.68,600,NTC
2016-12-28,13.41,13.41,11.68,11.68,2500,NTC
2016-12-29,14.6,14.6,14.45,14.45,3700,NTC
2016-12-30,14.45,16.57,14.45,14.45,1300,NTC
2017-01-03,14.45,14.45,13.6,13.6,1700,NTC
2017-01-04,12.33,12.33,11.95,11.95,8900,NTC
2017-01-05,13.79,13.79,13.79,13.79,100,NTC
2017-01-06,11.95,12.33,11.75,12.33,5200,NTC
2017-01-09,11.87,11.87,11.87,11.87,6000,NTC
2017-01-10,11.56,12.33,11.56,12.25,10100,NTC
2017-01-11,12.21,12.21,11.75,11.75,3600,NTC
2017-01-12,11.75,11.95,11.75,11.95,8531,NTC
2017-01-13,11.95,12.14,11.95,12.14,3200,NTC
2017-01-16,12.14,12.33,11.95,11.95,7100,NTC
2017-01-17,11.98,12.72,11.87,12.72,20000,NTC
2017-01-18,12.72,12.72,12.72,12.72,2600,NTC
2017-01-19,12.72,13.49,12.72,13.49,10600,NTC
2017-01-20,13.87,15.45,13.87,15.45,18700,NTC
2017-01-23,16.18,16.18,15.03,15.03,3500,NTC
2017-01-24,14.64,14.76,14.64,14.76,2000,NTC
2017-01-25,14.8,15.8,14.8,15.8,12400,NTC
2017-02-02,16.18,17.42,16.18,16.57,36200,NTC
2017-02-03,16.76,16.84,16.42,16.84,10700,NTC
2017-02-06,16.8,16.8,16.8,16.8,5100,NTC
2017-02-07,16.84,16.95,16.84,16.95,82119,NTC
2017-02-08,17.15,18.3,17.15,18.3,55700,NTC
2017-02-09,19.07,20.38,19.07,19.46,39000,NTC
2017-02-10,19.38,19.38,18.5,18.96,41400,NTC
2017-02-13,19.27,20.42,18.88,19.65,128600,NTC
2017-02-14,19.65,19.88,19.38,19.65,87019,NTC
2017-02-15,19.5,19.65,19.07,19.11,39700,NTC
2017-02-16,18.92,18.92,18.11,18.26,109800,NTC
2017-02-17,18.11,18.11,17.34,17.99,98600,NTC
2017-02-20,17.76,19.15,17.76,19.11,88300,NTC
2017-02-21,19.04,19.38,18.73,19.34,51900,NTC
2017-02-22,19.42,19.84,19.27,19.54,83100,NTC
2017-02-23,19.54,19.57,19.27,19.57,36900,NTC
2017-02-24,19.61,19.61,19.19,19.27,45100,NTC
2017-02-27,19.27,19.27,18.77,19.04,39900,NTC
2017-02-28,18.88,18.96,18.69,18.69,69919,NTC
2017-03-01,18.8,18.8,18.38,18.73,50000,NTC
2017-03-02,18.69,19.34,18.69,19.19,115600,NTC
2017-03-03,19.11,19.11,18.77,18.88,59000,NTC
2017-03-06,18.88,19.15,18.73,18.88,77200,NTC
2017-03-07,18.92,19.0,18.8,18.8,60300,NTC
2017-03-08,18.88,18.96,18.69,18.73,54900,NTC
2017-03-09,18.73,20.23,18.61,19.92,337300,NTC
2017-03-10,20.04,21.5,19.92,21.19,195831,NTC
2017-03-13,20.88,21.89,20.88,21.15,186400,NTC
2017-03-14,21.15,21.39,20.69,21.27,148800,NTC
2017-03-15,20.96,22.16,20.96,21.96,216100,NTC
2017-03-16,21.96,22.16,21.62,21.85,90600,NTC
2017-03-17,21.85,21.85,21.46,21.54,136600,NTC
2017-03-20,21.54,22.12,21.31,21.96,163900,NTC
2017-03-21,22.08,22.08,21.39,21.58,171900,NTC
