time,open,high,low,close,volume,ticker
2006-12-12,4.85,4.85,4.85,4.85,70840,PAC
2006-12-13,5.09,5.09,5.09,5.09,83780,PAC
2006-12-14,5.09,5.34,5.09,5.34,14140,PAC
2006-12-15,5.61,5.61,5.61,5.61,8000,PAC
2006-12-18,5.89,5.89,5.89,5.89,34250,PAC
2006-12-19,6.18,6.18,6.18,6.18,41800,PAC
2006-12-20,6.48,6.48,6.48,6.48,108950,PAC
2006-12-21,6.78,6.78,6.3,6.3,116940,PAC
2006-12-22,6.3,6.3,5.98,5.98,12270,PAC
2006-12-25,5.98,5.98,5.69,5.69,5680,PAC
2006-12-26,5.42,5.97,5.42,5.97,83400,PAC
2006-12-27,6.12,6.12,6.06,6.12,46270,PAC
2006-12-28,6.12,6.12,6.06,6.06,36400,PAC
2006-12-29,6.06,6.06,5.82,6.06,36120,PAC
2007-01-02,5.78,5.94,5.78,5.82,36830,PAC
2007-01-03,5.75,5.82,5.75,5.82,20330,PAC
2007-01-04,5.82,6.06,5.82,6.06,125140,PAC
2007-01-05,6.06,6.06,6.06,6.06,137190,PAC
2007-01-08,6.12,6.12,6.0,6.0,68960,PAC
2007-01-09,6.0,6.03,5.94,6.03,56880,PAC
2007-01-10,6.06,6.06,6.06,6.06,89200,PAC
2007-01-11,5.82,5.82,5.75,5.75,55530,PAC
2007-01-12,5.75,5.88,5.75,5.88,64900,PAC
2007-01-15,5.94,5.94,5.94,5.94,51970,PAC
2007-01-16,5.94,5.94,5.82,5.82,23540,PAC
2007-01-17,5.71,5.71,5.69,5.69,32960,PAC
2007-01-18,5.45,5.45,5.43,5.45,62010,PAC
2007-01-19,5.69,5.69,5.57,5.69,67070,PAC
2007-01-22,5.67,5.69,5.57,5.57,35150,PAC
2007-01-23,5.69,5.78,5.69,5.78,46780,PAC
2007-01-24,5.75,5.78,5.75,5.75,36360,PAC
2007-01-25,5.75,5.75,5.69,5.69,13750,PAC
2007-01-26,5.69,5.69,5.57,5.57,22400,PAC
2007-01-29,5.69,5.69,5.57,5.69,34240,PAC
2007-01-30,5.94,5.97,5.94,5.97,47890,PAC
2007-01-31,6.12,6.24,6.0,6.24,79740,PAC
2007-02-01,6.3,6.3,6.24,6.24,48750,PAC
2007-02-02,6.24,6.24,6.24,6.24,58080,PAC
2007-02-05,6.54,6.54,6.54,6.54,95960,PAC
2007-02-06,6.85,6.85,6.85,6.85,50930,PAC
2007-02-07,7.15,7.15,7.15,7.15,123380,PAC
2007-02-08,7.15,7.15,6.85,6.85,57580,PAC
2007-02-09,6.85,6.85,6.54,6.54,6050,PAC
2007-02-12,6.24,6.48,6.24,6.36,61130,PAC
2007-02-13,6.36,6.42,6.36,6.42,7860,PAC
2007-02-14,6.42,6.42,6.42,6.42,19990,PAC
2007-02-15,6.42,6.42,6.42,6.42,13900,PAC
2007-02-26,6.42,6.42,6.42,6.42,16990,PAC
2007-02-27,6.42,6.48,6.42,6.48,49800,PAC
2007-02-28,6.54,6.54,6.54,6.54,38230,PAC
2007-03-01,6.42,6.42,6.24,6.3,16950,PAC
2007-03-02,6.3,6.3,6.18,6.3,13830,PAC
2007-03-05,6.3,6.3,6.3,6.3,28290,PAC
2007-03-06,6.42,6.54,6.42,6.54,62210,PAC
2007-03-07,6.85,6.85,6.85,6.85,54360,PAC
2007-03-08,7.15,7.15,7.15,7.15,111180,PAC
2007-03-09,7.45,7.45,7.39,7.39,159280,PAC
2007-03-12,7.39,7.39,7.15,7.15,52870,PAC
2007-03-13,7.15,7.15,6.91,6.91,44190,PAC
2007-03-14,6.66,6.78,6.66,6.78,39950,PAC
2007-03-15,6.54,6.54,6.48,6.48,31020,PAC
2007-03-16,6.48,6.78,6.48,6.78,23460,PAC
2007-03-19,6.78,6.78,6.66,6.66,42850,PAC
2007-03-20,6.66,6.66,6.36,6.54,35510,PAC
2007-03-21,6.85,6.85,6.42,6.42,30070,PAC
2007-03-22,6.42,6.42,6.42,6.42,25030,PAC
2007-03-23,6.36,6.42,6.36,6.42,19850,PAC
2007-03-26,6.42,6.42,6.12,6.12,22500,PAC
2007-03-27,5.82,5.82,5.82,5.82,18910,PAC
2007-03-28,5.52,5.52,5.52,5.52,22060,PAC
2007-03-29,5.33,5.79,5.33,5.79,39350,PAC
2007-03-30,6.06,6.06,6.06,6.06,34170,PAC
2007-04-02,6.06,6.06,6.06,6.06,27220,PAC
2007-04-03,5.82,5.82,5.75,5.82,9000,PAC
2007-04-04,5.69,6.06,5.69,6.06,7540,PAC
2007-04-05,6.18,6.18,6.06,6.06,8810,PAC
2007-04-06,6.06,6.06,5.82,5.82,9260,PAC
2007-04-09,5.82,5.82,5.77,5.77,8900,PAC
2007-04-10,5.69,5.75,5.69,5.75,7350,PAC
2007-04-11,5.82,5.82,5.75,5.82,9930,PAC
2007-04-12,5.69,5.75,5.69,5.75,5570,PAC
2007-04-13,5.51,5.51,5.48,5.48,11450,PAC
2007-04-16,5.21,5.21,5.21,5.21,25110,PAC
2007-04-17,4.97,5.03,4.97,5.03,13950,PAC
2007-04-18,5.03,5.27,5.03,5.27,2130,PAC
2007-04-19,5.52,5.52,5.52,5.52,14290,PAC
2007-04-20,5.52,5.52,5.26,5.26,20920,PAC
2007-04-23,5.26,5.26,5.03,5.03,5090,PAC
2007-04-24,5.03,5.09,5.03,5.03,9830,PAC
2007-04-25,5.27,5.27,5.27,5.27,12700,PAC
2007-05-02,5.27,5.27,5.27,5.27,12430,PAC
2007-05-03,5.15,5.15,5.09,5.09,13870,PAC
2007-05-04,5.09,5.21,5.09,5.21,7980,PAC
2007-05-07,5.09,5.21,5.09,5.21,16810,PAC
2007-05-08,5.33,5.45,5.33,5.45,16500,PAC
2007-05-09,5.45,5.45,5.33,5.33,9630,PAC
2007-05-10,5.21,5.21,5.15,5.21,4210,PAC
2007-05-11,5.21,5.27,5.21,5.27,12070,PAC
2007-05-14,5.15,5.27,5.15,5.27,10630,PAC
2007-05-15,5.19,5.21,5.19,5.21,9200,PAC
2007-05-16,5.15,5.15,5.09,5.15,14580,PAC
2007-05-17,5.03,5.15,5.03,5.15,6810,PAC
2007-05-18,5.27,5.32,5.27,5.28,22960,PAC
2007-05-21,5.43,5.54,5.43,5.54,36090,PAC
2007-05-22,5.8,5.8,5.8,5.8,22840,PAC
2007-05-23,6.06,6.06,5.82,5.82,44960,PAC
2007-05-24,5.52,5.52,5.52,5.52,33620,PAC
