time,open,high,low,close,volume,ticker
2010-12-15,4.71,4.71,4.71,4.71,178440,PAN
2010-12-16,4.93,4.93,4.88,4.93,1016620,PAN
2010-12-17,5.02,5.02,4.71,4.93,173430,PAN
2010-12-20,4.9,4.93,4.74,4.74,77090,PAN
2010-12-21,4.57,4.74,4.55,4.62,98360,PAN
2010-12-22,4.74,4.74,4.41,4.41,147980,PAN
2010-12-23,4.41,4.43,4.26,4.26,97920,PAN
2010-12-24,4.26,4.33,4.19,4.26,34490,PAN
2010-12-27,4.26,4.26,4.19,4.24,34360,PAN
2010-12-28,4.19,4.43,4.19,4.29,127990,PAN
2010-12-29,4.29,4.31,4.17,4.17,42070,PAN
2010-12-30,4.17,4.22,4.14,4.14,38220,PAN
2010-12-31,4.14,4.24,4.14,4.24,29130,PAN
2011-01-04,4.38,4.38,4.19,4.19,32750,PAN
2011-01-05,4.19,4.31,4.14,4.14,42310,PAN
2011-01-06,4.1,4.33,4.07,4.33,181410,PAN
2011-01-07,4.5,4.55,4.5,4.55,278070,PAN
2011-01-10,4.76,4.76,4.71,4.76,599100,PAN
2011-01-11,4.76,4.76,4.57,4.59,157490,PAN
2011-01-12,4.67,4.74,4.62,4.67,192750,PAN
2011-01-13,4.67,4.71,4.62,4.67,100190,PAN
2011-01-14,4.64,4.74,4.64,4.71,108870,PAN
2011-01-17,4.64,4.78,4.64,4.74,109210,PAN
2011-01-18,4.71,4.76,4.69,4.71,64750,PAN
2011-01-19,4.76,4.76,4.69,4.71,54280,PAN
2011-01-20,4.71,4.74,4.67,4.69,147930,PAN
2011-01-21,4.71,4.74,4.69,4.71,346380,PAN
2011-01-24,4.67,4.69,4.64,4.67,96620,PAN
2011-01-25,4.67,4.67,4.62,4.67,43580,PAN
2011-01-26,4.59,4.67,4.59,4.67,25430,PAN
2011-01-27,4.67,4.71,4.62,4.67,35090,PAN
2011-01-28,4.67,4.74,4.64,4.71,74040,PAN
2011-02-08,4.71,4.78,4.69,4.74,61830,PAN
2011-02-09,4.83,4.86,4.64,4.71,9150,PAN
2011-02-10,4.69,4.71,4.69,4.69,36380,PAN
2011-02-11,4.67,4.69,4.62,4.69,20570,PAN
2011-02-14,4.64,4.76,4.64,4.69,182160,PAN
2011-02-15,4.69,4.69,4.62,4.69,69710,PAN
2011-02-16,4.69,4.69,4.57,4.59,28970,PAN
2011-02-17,4.69,4.69,4.55,4.55,49420,PAN
2011-02-18,4.55,4.55,4.43,4.52,71460,PAN
2011-02-21,4.5,4.5,4.31,4.31,198550,PAN
2011-02-22,4.14,4.29,4.14,4.29,33780,PAN
2011-02-23,4.36,4.5,4.26,4.5,37740,PAN
2011-02-24,4.5,4.5,4.29,4.5,105830,PAN
2011-02-25,4.5,4.52,4.5,4.5,11930,PAN
2011-02-28,4.41,4.59,4.31,4.48,16210,PAN
2011-03-01,4.45,4.48,4.45,4.48,25100,PAN
2011-03-02,4.26,4.38,4.26,4.33,46720,PAN
2011-03-03,4.14,4.26,4.14,4.17,9460,PAN
2011-03-04,4.12,4.12,4.07,4.07,18850,PAN
2011-03-07,4.14,4.14,4.07,4.07,84650,PAN
2011-03-08,4.14,4.19,4.07,4.14,25660,PAN
2011-03-09,3.98,4.14,3.98,3.98,8120,PAN
2011-03-10,4.03,4.14,4.03,4.14,31910,PAN
2011-03-11,4.22,4.26,4.14,4.22,159800,PAN
2011-03-14,4.26,4.26,4.05,4.05,13290,PAN
2011-03-15,4.23,4.23,4.0,4.0,44280,PAN
2011-03-16,4.08,4.08,4.05,4.08,13770,PAN
2011-03-17,4.15,4.15,4.08,4.13,13030,PAN
2011-03-18,3.97,4.13,3.95,4.13,14800,PAN
2011-03-21,4.02,4.21,4.02,4.21,7220,PAN
2011-03-22,4.28,4.28,4.08,4.15,11930,PAN
2011-03-23,4.13,4.15,4.13,4.15,5090,PAN
2011-03-24,4.05,4.13,3.97,4.05,16270,PAN
2011-03-25,4.1,4.1,4.1,4.1,5000,PAN
2011-03-28,4.1,4.1,4.08,4.1,20350,PAN
2011-03-29,4.1,4.1,4.08,4.1,6270,PAN
2011-03-30,4.08,4.1,4.08,4.1,5800,PAN
2011-03-31,4.1,4.1,4.1,4.1,10100,PAN
2011-04-01,4.1,4.1,4.1,4.1,1500,PAN
