time,open,high,low,close,volume,ticker
2009-08-18,8.54,8.54,8.54,8.54,19600,PHR
2009-08-19,8.95,8.95,8.95,8.95,31300,PHR
2009-08-20,9.39,9.39,9.29,9.39,699200,PHR
2009-08-21,9.84,9.84,9.84,9.84,231000,PHR
2009-08-24,10.18,10.18,9.84,9.88,469480,PHR
2009-08-25,9.98,9.98,9.68,9.68,186820,PHR
2009-08-26,9.29,9.68,9.29,9.39,126590,PHR
2009-08-27,9.49,9.49,9.29,9.39,124780,PHR
2009-08-28,9.49,9.49,9.39,9.49,140420,PHR
2009-08-31,9.55,9.76,9.55,9.55,125910,PHR
2009-09-01,9.49,9.68,9.39,9.49,124440,PHR
2009-09-03,9.01,9.49,9.01,9.01,649880,PHR
2009-09-04,8.99,9.35,8.99,8.99,105070,PHR
2009-09-07,8.6,8.6,8.56,8.6,236120,PHR
2009-09-08,8.91,8.91,8.6,8.91,112520,PHR
2009-09-09,8.89,8.95,8.89,8.89,107280,PHR
2009-09-10,8.89,8.89,8.81,8.89,69030,PHR
2009-09-11,8.89,8.91,8.79,8.89,133070,PHR
2009-09-14,9.33,9.33,9.29,9.33,515860,PHR
2009-09-15,9.64,9.64,9.19,9.21,117530,PHR
2009-09-16,9.19,9.19,8.99,9.13,109320,PHR
2009-09-17,9.15,9.15,8.89,8.95,229040,PHR
2009-09-18,9.09,9.39,9.03,9.39,503280,PHR
2009-09-21,9.47,9.47,9.33,9.33,378600,PHR
2009-09-22,9.13,9.23,9.13,9.15,166160,PHR
2009-09-23,9.11,9.19,8.99,9.01,196330,PHR
2009-09-24,8.89,9.01,8.83,8.83,99270,PHR
2009-09-25,9.15,9.15,8.79,8.95,150140,PHR
2009-09-28,8.95,8.95,8.7,8.93,201630,PHR
2009-09-29,8.99,8.99,8.7,8.81,160010,PHR
2009-09-30,8.89,8.89,8.6,8.72,157730,PHR
2009-10-01,8.62,8.68,8.42,8.46,174420,PHR
2009-10-02,8.16,8.3,8.04,8.08,187480,PHR
2009-10-05,8.3,8.48,7.91,8.1,102110,PHR
2009-10-06,8.4,8.4,8.1,8.12,98880,PHR
2009-10-07,8.12,8.5,8.12,8.5,258170,PHR
2009-10-08,8.5,8.5,8.3,8.5,168070,PHR
2009-10-09,8.66,8.92,8.6,8.92,266370,PHR
2009-10-12,9.06,9.16,8.76,9.06,135870,PHR
2009-10-13,9.06,9.06,8.66,8.7,138200,PHR
2009-10-14,8.66,9.0,8.66,9.0,289070,PHR
2009-10-15,9.44,9.44,9.06,9.44,995010,PHR
2009-10-16,9.91,9.91,9.77,9.91,1431660,PHR
2009-10-19,9.71,9.97,9.71,9.77,367690,PHR
2009-10-20,9.77,9.85,9.69,9.77,414490,PHR
2009-10-21,9.95,9.95,9.77,9.79,572310,PHR
2009-10-22,9.77,9.77,9.59,9.73,540420,PHR
2009-10-23,10.07,10.07,9.42,9.42,798180,PHR
2009-10-26,9.46,9.51,9.24,9.26,202180,PHR
2009-10-27,8.9,9.1,8.86,8.9,369910,PHR
2009-10-28,8.9,9.06,8.86,8.86,275760,PHR
2009-10-29,8.56,8.56,8.42,8.46,340140,PHR
2009-10-30,8.82,8.82,8.5,8.76,192330,PHR
2009-11-02,8.34,8.36,8.34,8.34,567570,PHR
2009-11-03,8.16,8.26,7.93,7.93,239060,PHR
2009-11-04,7.65,8.06,7.59,7.65,238010,PHR
2009-11-05,7.97,8.04,7.75,8.04,160000,PHR
2009-11-06,8.42,8.42,8.36,8.42,181280,PHR
2009-11-09,8.42,8.42,8.01,8.01,194650,PHR
2009-11-10,7.95,8.01,7.75,8.01,289580,PHR
2009-11-11,8.01,8.38,8.01,8.2,123810,PHR
2009-11-12,8.46,8.56,8.36,8.36,146830,PHR
2009-11-13,8.16,8.38,8.16,8.38,131000,PHR
2009-11-16,8.44,8.44,8.08,8.08,127240,PHR
2009-11-17,8.48,8.48,8.48,8.48,315960,PHR
2009-11-18,8.76,8.76,8.26,8.76,349140,PHR
2009-11-19,8.86,8.86,8.68,8.78,234310,PHR
2009-11-20,8.56,8.78,8.48,8.48,175920,PHR
