time,open,high,low,close,volume,ticker
2006-12-27,6.11,6.29,5.48,5.84,15500,PLC
2006-12-28,6.74,6.74,6.29,5.84,12200,PLC
2006-12-29,6.72,6.72,6.11,6.42,21200,PLC
2007-01-02,6.47,6.56,6.29,6.42,22500,PLC
2007-01-03,6.79,6.79,6.38,6.56,26300,PLC
2007-01-04,6.43,6.65,6.43,6.65,17100,PLC
2007-01-05,6.75,6.83,6.65,6.83,9600,PLC
2007-01-08,6.74,6.74,6.47,6.56,4600,PLC
2007-01-09,6.47,6.61,6.47,6.61,17500,PLC
2007-01-10,6.56,6.7,6.56,6.65,6300,PLC
2007-01-11,6.7,6.79,6.63,6.74,17700,PLC
2007-01-12,6.83,7.36,6.79,7.18,21000,PLC
2007-01-15,7.64,7.89,7.55,7.55,21000,PLC
2007-01-16,8.63,8.63,7.64,7.64,12400,PLC
2007-01-17,7.83,7.83,7.55,7.55,2600,PLC
2007-01-18,7.37,7.53,7.01,7.19,3700,PLC
2007-01-19,7.36,7.36,7.01,7.01,4900,PLC
2007-01-22,7.73,7.87,6.74,7.01,3900,PLC
2007-01-23,7.01,7.06,6.56,6.79,8200,PLC
2007-01-24,7.01,7.01,6.61,6.74,10500,PLC
2007-01-25,6.83,6.83,6.74,6.83,11000,PLC
2007-01-26,6.92,7.19,6.89,6.89,7100,PLC
2007-01-29,7.19,7.28,7.19,7.2,11300,PLC
2007-01-30,7.73,7.73,7.46,7.46,18700,PLC
2007-01-31,7.19,8.09,7.19,7.73,11100,PLC
2007-02-01,8.09,8.45,7.78,7.91,9500,PLC
2007-02-02,8.09,8.27,8.05,8.18,11500,PLC
2007-02-05,8.94,8.94,7.91,7.96,4900,PLC
2007-02-06,7.91,7.91,7.67,7.87,8400,PLC
2007-02-07,7.1,7.78,7.1,7.78,38100,PLC
2007-02-08,7.72,7.72,7.37,7.64,3800,PLC
2007-02-09,7.46,7.61,7.46,7.46,2400,PLC
2007-02-12,7.55,7.73,7.55,7.64,3800,PLC
2007-02-13,7.81,7.81,7.64,7.76,18900,PLC
2007-02-14,7.82,7.87,7.73,7.81,7300,PLC
2007-02-15,7.91,7.91,7.86,7.9,1700,PLC
2007-02-26,8.09,8.68,8.09,8.36,9400,PLC
2007-02-27,8.9,8.9,8.37,8.45,11700,PLC
2007-02-28,8.49,8.54,8.27,8.27,19200,PLC
2007-03-01,8.45,8.54,8.23,8.32,10000,PLC
2007-03-02,8.42,8.45,8.41,8.32,3400,PLC
2007-03-05,8.45,8.45,8.18,8.41,16000,PLC
2007-03-06,8.45,8.54,7.6,7.6,17000,PLC
2007-03-07,8.54,8.54,8.09,8.45,18500,PLC
2007-03-08,8.45,8.9,8.41,8.5,41300,PLC
2007-03-09,8.72,9.41,8.54,9.41,28900,PLC
2007-03-12,9.95,9.95,8.36,9.64,22900,PLC
2007-03-13,9.44,10.04,9.35,9.9,12500,PLC
2007-03-14,9.44,10.07,9.43,9.9,16600,PLC
2007-03-15,8.83,8.83,8.83,8.83,2300,PLC
2007-03-16,8.9,8.9,7.95,8.9,14900,PLC
2007-03-19,9.6,9.66,9.08,9.08,26400,PLC
2007-03-20,9.44,10.34,8.99,9.44,6500,PLC
2007-03-21,9.44,9.53,9.26,9.53,13600,PLC
2007-03-22,9.24,9.44,8.99,8.99,4200,PLC
2007-03-23,8.99,8.99,8.22,8.36,15800,PLC
2007-03-26,8.27,8.27,7.82,8.36,5200,PLC
2007-03-27,7.91,7.91,7.32,8.36,3500,PLC
2007-03-28,6.88,7.64,6.85,7.64,7800,PLC
2007-03-29,7.63,7.91,7.42,7.91,8000,PLC
2007-03-30,8.5,8.5,7.91,7.91,8000,PLC
2007-04-02,8.14,8.14,7.91,7.91,1400,PLC
2007-04-03,7.78,7.82,7.24,7.28,1800,PLC
2007-04-04,7.64,7.72,7.1,7.72,11200,PLC
2007-04-05,7.19,7.37,7.19,7.35,10300,PLC
2007-04-06,7.37,7.46,7.19,7.46,4000,PLC
2007-04-09,7.46,7.55,7.46,7.55,2700,PLC
2007-04-10,7.24,7.64,7.19,7.64,10900,PLC
2007-04-11,7.55,7.55,7.37,7.42,4200,PLC
2007-04-12,7.19,7.36,7.19,7.2,2800,PLC
2007-04-13,7.19,7.19,6.74,7.06,3900,PLC
2007-04-16,6.92,6.92,6.56,6.56,4600,PLC
2007-04-17,6.29,6.74,6.29,6.47,13600,PLC
2007-04-18,7.07,7.14,6.56,7.05,5600,PLC
2007-04-19,7.01,7.01,6.2,6.2,3600,PLC
2007-04-20,6.46,6.46,6.46,6.46,1100,PLC
2007-04-23,6.38,6.43,6.38,6.43,2600,PLC
2007-04-24,6.39,6.39,6.38,6.38,800,PLC
2007-04-25,6.38,6.38,6.38,6.38,800,PLC
2007-05-02,6.43,6.47,6.38,6.38,6200,PLC
2007-05-03,6.45,6.45,6.38,6.38,1800,PLC
2007-05-04,6.29,6.29,6.29,6.29,1200,PLC
2007-05-07,6.47,6.47,6.29,6.29,900,PLC
2007-05-08,6.29,6.29,5.75,6.2,3400,PLC
2007-05-09,6.38,6.38,6.11,6.16,5100,PLC
2007-05-10,5.75,6.2,5.54,6.03,2300,PLC
2007-05-11,6.2,6.29,6.2,6.28,8300,PLC
2007-05-14,6.09,6.74,6.09,6.29,14600,PLC
2007-05-15,6.64,6.65,6.29,6.29,2800,PLC
2007-05-16,6.11,6.56,6.02,6.56,34500,PLC
2007-05-17,6.34,6.34,6.2,6.29,14300,PLC
2007-05-18,6.2,6.28,5.66,6.28,8600,PLC
2007-05-21,6.2,6.25,6.11,6.25,3000,PLC
2007-05-22,6.25,6.29,6.2,6.29,19600,PLC
2007-05-23,6.65,6.83,6.52,6.56,12500,PLC
2007-05-24,6.74,6.74,6.29,6.34,3900,PLC
2007-05-25,6.26,6.47,6.26,6.47,18500,PLC
2007-05-28,6.47,6.52,6.43,6.52,28400,PLC
2007-05-29,6.4,6.65,6.35,6.65,14300,PLC
2007-05-30,6.65,6.65,6.29,6.38,22600,PLC
2007-05-31,6.34,6.38,6.29,6.38,7300,PLC
2007-06-01,6.34,6.38,6.29,6.29,2400,PLC
2007-06-04,6.25,6.52,6.18,6.52,13400,PLC
2007-06-05,6.11,6.38,6.11,6.3,13100,PLC
2007-06-06,6.29,6.29,6.17,6.29,2400,PLC
2007-06-07,6.29,6.29,6.29,6.29,3000,PLC
2007-06-08,6.29,6.29,6.2,6.2,3400,PLC
2007-06-11,6.2,6.2,6.2,6.2,500,PLC
2007-06-12,6.25,6.25,6.25,6.25,500,PLC
2007-06-13,6.07,6.12,6.07,6.07,3400,PLC
2007-06-14,5.89,6.02,5.89,6.02,1100,PLC
2007-06-15,6.02,6.02,6.0,6.02,3000,PLC
2007-06-18,5.94,5.94,5.85,5.92,4800,PLC
2007-06-19,5.57,5.84,5.57,5.84,200,PLC
2007-06-20,5.53,5.62,5.48,5.62,2600,PLC
2007-06-21,5.6,5.62,5.59,5.62,1500,PLC
2007-06-22,5.56,5.57,5.56,5.56,1800,PLC
2007-06-25,5.57,5.57,5.53,5.56,6500,PLC
2007-06-26,5.57,5.66,5.53,5.53,5600,PLC
2007-06-27,5.66,5.66,5.48,5.48,11000,PLC
2007-06-28,5.39,5.53,5.39,5.53,5600,PLC
2007-06-29,5.57,5.57,5.57,5.57,100,PLC
2007-07-02,5.39,5.48,5.3,5.44,2800,PLC
2007-07-03,5.39,5.39,4.94,4.94,2500,PLC
2007-07-04,5.48,5.75,5.48,5.7,2200,PLC
2007-07-05,5.84,5.84,5.39,5.39,1800,PLC
