time,open,high,low,close,volume,ticker
2015-03-18,6.56,6.56,6.31,6.49,150800,PSE
2015-03-19,6.67,7.03,6.49,6.49,26100,PSE
2015-03-20,6.49,6.49,6.42,6.42,3200,PSE
2015-03-23,5.95,5.95,5.81,5.81,12200,PSE
2015-03-24,5.27,5.59,5.27,5.27,48200,PSE
2015-03-25,5.27,5.3,5.27,5.3,4300,PSE
2015-03-26,5.41,5.41,5.41,5.41,500,PSE
2015-03-27,5.3,5.55,5.3,5.55,3800,PSE
2015-03-30,5.55,5.55,5.55,5.55,1900,PSE
2015-03-31,5.41,5.41,5.05,5.05,2600,PSE
2015-04-01,5.05,5.05,4.87,4.87,1570,PSE
2015-04-02,5.16,5.16,5.16,5.16,100,PSE
2015-04-03,5.34,5.34,5.05,5.05,600,PSE
2015-04-06,5.37,5.41,5.37,5.41,200,PSE
2015-04-07,4.87,5.23,4.87,5.23,3700,PSE
2015-04-08,5.05,5.05,5.05,5.05,1000,PSE
2015-04-09,4.91,4.91,4.91,4.91,2000,PSE
2015-04-10,4.91,4.94,4.87,4.94,13000,PSE
2015-04-13,5.19,5.19,5.19,5.19,800,PSE
2015-04-14,4.98,4.98,4.94,4.94,3800,PSE
2015-04-15,4.94,4.94,4.94,4.94,50,PSE
2015-04-16,5.09,5.09,5.05,5.05,6420,PSE
2015-04-17,5.01,5.01,5.01,5.01,1000,PSE
2015-04-20,5.01,5.16,5.01,5.16,2300,PSE
2015-04-21,5.05,5.05,5.05,5.05,3800,PSE
2015-04-22,5.05,5.16,5.05,5.16,2400,PSE
2015-04-23,5.09,5.09,5.09,5.09,3000,PSE
2015-04-24,5.34,5.34,5.34,5.34,100,PSE
2015-04-27,5.34,5.34,5.34,5.34,0,PSE
2015-05-04,5.09,5.09,5.09,5.09,7300,PSE
2015-05-05,5.05,5.05,5.05,5.05,7300,PSE
2015-05-06,5.01,5.01,5.01,5.01,500,PSE
2015-05-07,5.09,5.23,5.09,5.23,1600,PSE
2015-05-08,5.23,5.23,5.23,5.23,0,PSE
2015-05-11,5.23,5.23,5.05,5.05,7600,PSE
2015-05-12,5.05,5.05,5.05,5.05,7300,PSE
