time,open,high,low,close,volume,ticker
2010-04-22,10.87,11.5,10.56,11.03,12100,QHD
2010-04-26,11.03,11.03,11.03,11.03,0,QHD
2010-04-27,10.23,10.23,10.23,10.23,500,QHD
2010-04-28,10.23,10.23,10.23,10.23,100,QHD
2010-04-29,9.52,9.52,9.52,9.52,900,QHD
2010-05-04,9.61,9.69,8.89,9.69,4900,QHD
2010-05-05,9.45,9.45,9.17,9.45,4200,QHD
2010-05-06,9.93,10.04,9.45,9.45,1900,QHD
2010-05-07,9.3,9.52,9.3,9.45,3600,QHD
2010-05-10,8.76,9.44,8.76,9.44,1000,QHD
2010-05-11,9.44,9.44,8.67,8.67,7200,QHD
2010-05-12,8.08,8.08,8.08,8.08,4000,QHD
2010-05-13,7.56,7.56,7.56,7.56,4000,QHD
2010-05-14,7.88,7.88,7.88,7.88,600,QHD
2010-05-17,7.33,7.8,7.33,7.34,5700,QHD
2010-05-18,7.88,7.88,7.72,7.72,200,QHD
2010-05-19,7.56,7.56,7.26,7.26,2500,QHD
2010-05-20,7.26,7.26,7.26,7.26,0,QHD
2010-05-21,7.52,7.52,7.41,7.41,300,QHD
2010-05-24,7.2,7.2,7.2,7.2,200,QHD
2010-05-25,7.2,7.2,7.2,7.2,0,QHD
2010-05-26,7.56,7.69,7.56,7.69,500,QHD
2010-05-27,7.69,7.69,7.69,7.69,0,QHD
2010-05-28,7.66,7.66,7.41,7.41,1000,QHD
2010-05-31,7.09,7.34,7.01,7.34,400,QHD
2010-06-01,7.48,7.48,7.48,7.48,200,QHD
2010-06-02,7.48,7.48,7.48,7.48,0,QHD
2010-06-03,7.56,7.56,7.41,7.41,2300,QHD
2010-06-04,7.41,7.41,7.41,7.41,300,QHD
2010-06-07,7.33,7.33,7.33,7.33,300,QHD
2010-06-08,7.33,7.33,7.33,7.33,0,QHD
2010-06-09,7.41,7.41,7.01,7.01,600,QHD
2010-06-10,6.59,6.62,6.59,6.62,1000,QHD
2010-06-11,6.54,6.66,6.54,6.66,1900,QHD
2010-06-14,6.11,6.3,6.11,6.3,600,QHD
2010-06-15,5.83,6.57,5.83,6.3,2500,QHD
2010-06-16,6.46,6.76,6.4,6.76,3500,QHD
2010-06-17,6.1,6.46,6.1,6.46,1900,QHD
2010-06-18,6.46,6.66,6.46,6.66,9200,QHD
2010-06-21,6.89,6.89,6.54,6.54,300,QHD
