time,open,high,low,close,volume,ticker
2002-01-02,1.09,1.09,1.09,1.09,1700,REE
2002-01-04,1.07,1.07,1.07,1.07,1400,REE
2002-01-07,1.05,1.05,1.05,1.05,27200,REE
2002-01-09,1.03,1.03,1.03,1.03,27500,REE
2002-01-11,1.01,1.01,1.01,1.01,14400,REE
2002-01-14,0.99,0.99,0.99,0.99,19200,REE
2002-01-16,0.98,0.98,0.98,0.98,7300,REE
2002-01-18,0.96,0.96,0.96,0.96,5100,REE
2002-01-21,0.94,0.94,0.94,0.94,7300,REE
2002-01-23,0.96,0.96,0.96,0.96,60000,REE
2002-01-25,0.98,0.98,0.98,0.98,27200,REE
2002-01-28,0.96,0.96,0.96,0.96,2500,REE
2002-01-30,0.96,0.96,0.96,0.96,129300,REE
2002-02-01,0.93,0.93,0.93,0.93,138600,REE
2002-02-04,0.94,0.94,0.94,0.94,80100,REE
2002-02-06,0.96,0.96,0.96,0.96,48500,REE
2002-02-08,0.96,0.96,0.96,0.96,74900,REE
2002-02-18,0.94,0.94,0.94,0.94,19900,REE
2002-02-20,0.93,0.93,0.93,0.93,45200,REE
2002-02-22,0.91,0.91,0.91,0.91,28800,REE
2002-02-25,0.89,0.89,0.89,0.89,17700,REE
2002-02-27,0.87,0.87,0.87,0.87,35600,REE
2002-03-01,0.89,0.89,0.89,0.89,93000,REE
2002-03-04,0.87,0.87,0.87,0.87,77700,REE
2002-03-05,0.86,0.86,0.86,0.86,21500,REE
2002-03-06,0.84,0.84,0.84,0.84,30500,REE
2002-03-07,0.83,0.83,0.83,0.83,21700,REE
2002-03-08,0.81,0.81,0.81,0.81,77400,REE
2002-03-11,0.81,0.81,0.81,0.81,113000,REE
2002-03-12,0.83,0.83,0.83,0.83,24100,REE
2002-03-13,0.84,0.84,0.84,0.84,12000,REE
2002-03-14,0.85,0.85,0.85,0.85,1900,REE
2002-03-15,0.87,0.87,0.87,0.87,101600,REE
2002-03-18,0.86,0.86,0.86,0.86,106900,REE
2002-03-19,0.84,0.84,0.84,0.84,29900,REE
2002-03-20,0.85,0.85,0.85,0.85,118900,REE
2002-03-21,0.85,0.85,0.85,0.85,28400,REE
2002-03-22,0.84,0.84,0.84,0.84,47900,REE
2002-03-25,0.86,0.86,0.86,0.86,32300,REE
