time,open,high,low,close,volume,ticker
2023-12-12,24.54,24.54,24.54,24.54,300,SBB
2023-12-13,20.87,20.87,20.87,20.87,1200,SBB
2023-12-14,17.96,20.59,17.77,20.59,3800,SBB
2023-12-15,17.86,17.86,17.77,17.77,900,SBB
2023-12-18,16.92,16.92,15.23,16.92,1700,SBB
2023-12-19,13.92,16.36,13.92,13.92,13900,SBB
2023-12-20,14.01,15.04,14.01,15.04,407300,SBB
2023-12-21,14.57,15.04,14.1,15.04,92100,SBB
2023-12-22,14.39,14.95,14.29,14.95,328400,SBB
2023-12-25,14.67,15.14,14.57,14.57,65200,SBB
2023-12-26,14.67,14.67,14.39,14.57,113100,SBB
2023-12-27,14.57,14.67,14.57,14.57,115200,SBB
2023-12-28,14.86,14.86,14.39,14.86,2200,SBB
2023-12-29,15.04,15.04,14.48,14.67,1500,SBB
