time,open,high,low,close,volume,ticker
2018-06-07,12.04,0.0,0.0,0.0,0,SBH
2018-06-08,12.04,12.04,12.04,12.04,0,SBH
2018-06-11,12.04,12.04,12.04,12.04,0,SBH
2018-06-12,16.42,16.42,16.42,16.42,100,SBH
2018-06-13,16.42,16.42,16.42,16.42,7900,SBH
2018-06-14,16.42,16.42,16.42,16.42,8100,SBH
2018-06-15,16.14,16.14,16.14,16.14,2426,SBH
2018-06-18,13.79,13.79,13.79,13.79,100,SBH
2018-06-19,13.79,13.79,13.79,13.79,0,SBH
2018-06-20,14.78,14.78,14.78,14.78,1020,SBH
2018-06-21,14.78,14.78,14.78,14.78,1000,SBH
2018-06-22,14.5,14.5,13.79,13.79,2600,SBH
2018-06-25,14.12,14.12,13.79,13.79,2700,SBH
2018-06-26,13.79,13.79,13.79,13.79,1000,SBH
2018-06-27,13.68,13.68,13.35,13.35,1100,SBH
2018-06-28,13.68,13.68,13.68,13.68,500,SBH
2018-06-29,13.68,13.68,13.68,13.68,500,SBH
2018-07-02,13.68,13.68,13.68,13.68,0,SBH
2018-07-03,13.41,13.41,13.13,13.13,2400,SBH
2018-07-04,13.41,13.41,13.41,13.41,1500,SBH
2018-07-05,13.68,13.68,13.41,13.41,4000,SBH
2018-07-06,13.3,13.3,13.24,13.24,800,SBH
2018-07-09,13.3,13.3,13.3,13.3,306,SBH
2018-07-10,13.24,13.24,13.24,13.24,4300,SBH
2018-07-11,13.24,13.24,13.24,13.24,0,SBH
2018-07-12,13.24,13.24,13.24,13.24,0,SBH
2018-07-13,13.24,13.24,13.24,13.24,0,SBH
2018-07-16,13.24,13.24,13.24,13.24,0,SBH
2018-07-17,13.24,13.24,13.24,13.24,0,SBH
2018-07-18,13.24,13.24,13.24,13.24,0,SBH
2018-07-19,13.24,13.24,13.24,13.24,0,SBH
2018-07-20,13.24,13.24,13.24,13.24,0,SBH
2018-07-23,13.24,13.24,13.24,13.24,0,SBH
2018-07-24,13.24,13.24,13.24,13.24,0,SBH
2018-07-25,13.24,13.24,13.24,13.24,0,SBH
2018-07-26,13.24,13.24,13.24,13.24,0,SBH
2018-07-27,14.12,14.61,12.59,12.59,12900,SBH
2018-07-30,14.61,14.67,14.61,14.67,2500,SBH
2018-07-31,12.48,12.48,12.48,12.48,100,SBH
2018-08-01,12.48,12.48,12.48,12.48,0,SBH
2018-08-02,12.48,12.48,12.48,12.48,6,SBH
2018-08-03,12.48,12.48,12.48,12.48,0,SBH
2018-08-06,12.48,12.48,12.48,12.48,0,SBH
2018-08-07,13.13,13.13,13.13,13.13,2000,SBH
2018-08-08,13.13,13.13,13.13,13.13,0,SBH
2018-08-09,13.13,13.13,13.13,13.13,0,SBH
2018-08-10,13.13,13.13,13.13,13.13,0,SBH
2018-08-13,13.13,13.13,13.13,13.13,0,SBH
2018-08-14,13.13,13.13,13.13,13.13,0,SBH
2018-08-15,13.13,13.13,13.13,13.13,0,SBH
2018-08-16,13.13,13.13,13.13,13.13,0,SBH
2018-08-17,13.13,13.13,13.13,13.13,0,SBH
2018-08-20,12.04,12.04,12.04,12.04,100,SBH
2018-08-21,12.04,12.04,12.04,12.04,0,SBH
2018-08-22,12.04,12.04,12.04,12.04,0,SBH
2018-08-23,12.04,12.04,12.04,12.04,600,SBH
2018-08-24,12.04,12.04,12.04,12.04,0,SBH
2018-08-27,12.04,12.04,12.04,12.04,0,SBH
2018-08-28,12.04,12.04,12.04,12.04,0,SBH
2018-08-29,12.04,12.04,12.04,12.04,0,SBH
2018-08-30,12.04,12.04,12.04,12.04,0,SBH
2018-08-31,12.04,12.04,12.04,12.04,0,SBH
2018-09-04,12.04,12.04,12.04,12.04,0,SBH
2018-09-05,12.04,12.04,12.04,12.04,0,SBH
2018-09-06,12.04,12.04,12.04,12.04,0,SBH
2018-09-07,12.04,12.04,12.04,12.04,0,SBH
2018-09-10,13.57,13.63,13.57,13.63,300,SBH
2018-09-11,12.04,12.04,12.04,12.04,3400,SBH
2018-09-12,12.04,12.04,12.04,12.04,69,SBH
2018-09-13,12.04,12.04,12.04,12.04,400,SBH
2018-09-14,12.04,12.04,12.04,12.04,0,SBH
2018-09-17,12.04,12.04,12.04,12.04,0,SBH
2018-09-18,12.04,12.04,12.04,12.04,5,SBH
2018-09-19,12.04,12.04,12.04,12.04,0,SBH
2018-09-20,12.04,12.04,12.04,12.04,0,SBH
2018-09-21,12.04,12.04,12.04,12.04,0,SBH
2018-09-24,13.13,13.13,13.13,13.13,500,SBH
2018-09-25,13.13,13.13,13.13,13.13,43,SBH
2018-09-26,13.13,13.13,13.13,13.13,400,SBH
2018-09-27,13.68,13.68,13.68,13.68,400,SBH
2018-09-28,13.68,13.68,13.68,13.68,0,SBH
2018-10-01,13.68,13.68,13.68,13.68,500,SBH
2018-10-02,13.68,13.95,13.68,13.95,1000,SBH
2018-10-03,13.95,13.95,13.95,13.95,700,SBH
2018-10-04,13.95,13.95,13.95,13.95,443,SBH
2018-10-05,13.95,13.95,13.95,13.95,0,SBH
2018-10-08,13.95,13.95,13.95,13.95,0,SBH
2018-10-09,13.95,13.95,13.95,13.95,0,SBH
2018-10-10,13.95,13.95,13.95,13.95,0,SBH
2018-10-11,13.95,13.95,13.95,13.95,10,SBH
2018-10-12,12.09,12.09,12.09,12.09,100,SBH
2018-10-15,12.09,12.09,12.09,12.09,0,SBH
2018-10-16,12.09,12.09,12.09,12.09,0,SBH
2018-10-17,12.09,12.09,12.09,12.09,10,SBH
2018-10-18,12.09,12.09,12.09,12.09,0,SBH
2018-10-19,12.09,12.09,12.09,12.09,0,SBH
2018-10-22,12.09,12.09,12.09,12.09,1510,SBH
2018-10-23,12.09,12.09,12.09,12.09,0,SBH
2018-10-24,12.09,12.09,12.09,12.09,0,SBH
2018-10-25,10.94,12.09,10.94,12.09,200,SBH
2018-10-26,13.24,13.24,13.24,13.24,500,SBH
2018-10-29,11.33,11.33,11.33,11.33,100,SBH
2018-10-30,11.33,11.33,11.33,11.33,0,SBH
2018-10-31,11.33,11.33,11.33,11.33,0,SBH
2018-11-01,11.33,11.33,11.33,11.33,0,SBH
2018-11-02,11.33,11.33,11.33,11.33,0,SBH
2018-11-05,11.33,11.33,11.33,11.33,0,SBH
2018-11-06,11.33,11.33,11.33,11.33,0,SBH
2018-11-07,11.33,11.33,11.33,11.33,0,SBH
2018-11-08,11.33,11.33,11.33,11.33,0,SBH
2018-11-09,11.33,11.33,11.33,11.33,0,SBH
2018-11-12,11.33,11.33,11.33,11.33,0,SBH
2018-11-13,11.33,11.33,11.33,11.33,0,SBH
2018-11-14,11.33,11.33,11.33,11.33,0,SBH
2018-11-15,11.33,11.33,11.33,11.33,0,SBH
2018-11-16,11.33,11.33,11.33,11.33,0,SBH
2018-11-19,11.33,11.33,11.33,11.33,0,SBH
2018-11-20,11.33,11.33,11.33,11.33,0,SBH
2018-11-21,13.02,13.02,13.02,13.02,500,SBH
2018-11-22,11.11,14.23,11.11,14.23,200,SBH
2018-11-23,14.23,14.23,14.23,14.23,800,SBH
2018-11-26,12.09,12.09,12.09,12.09,100,SBH
2018-11-27,12.09,12.09,12.09,12.09,0,SBH
2018-11-28,12.09,12.09,12.09,12.09,0,SBH
2018-11-29,13.9,13.9,13.9,13.9,100,SBH
2018-11-30,13.9,13.9,13.9,13.9,10,SBH
2018-12-03,11.82,11.82,11.82,11.82,100,SBH
2018-12-04,11.82,11.82,11.82,11.82,0,SBH
2018-12-05,11.82,11.82,11.82,11.82,0,SBH
2018-12-06,13.57,13.57,13.57,13.57,1200,SBH
2018-12-07,13.57,13.57,13.57,13.57,3000,SBH
2018-12-10,13.57,13.57,13.57,13.57,3000,SBH
2018-12-11,13.57,13.57,13.57,13.57,0,SBH
2018-12-12,13.57,13.57,13.57,13.57,0,SBH
2018-12-13,14.78,15.32,14.78,14.94,2400,SBH
2018-12-14,14.88,15.05,14.78,14.78,4400,SBH
2018-12-17,14.88,14.88,14.78,14.88,2800,SBH
2018-12-18,12.64,13.68,12.64,13.68,1600,SBH
2018-12-19,14.72,14.72,13.95,14.28,2500,SBH
2018-12-20,14.74,15.62,14.74,15.62,5800,SBH
2018-12-21,15.62,15.62,14.86,14.86,4600,SBH
2018-12-24,14.86,14.86,14.86,14.86,2000,SBH
2018-12-25,15.09,15.09,14.86,14.86,900,SBH
2018-12-26,14.92,14.92,14.92,14.92,0,SBH
2018-12-27,15.09,15.09,14.86,14.86,900,SBH
2018-12-28,13.06,15.09,13.06,15.09,6600,SBH
2019-01-02,12.83,12.83,12.83,12.83,100,SBH
2019-01-03,12.83,12.83,12.83,12.83,0,SBH
2019-01-04,12.83,12.83,12.83,12.83,0,SBH
2019-01-07,12.83,12.83,12.83,12.83,0,SBH
2019-01-08,12.83,12.83,12.83,12.83,0,SBH
2019-01-09,13.93,13.93,13.93,13.93,7000,SBH
2019-01-10,15.09,15.09,15.09,15.09,2700,SBH
2019-01-11,15.67,15.67,15.67,15.67,400,SBH
2019-01-14,15.67,15.67,15.67,15.67,400,SBH
2019-01-15,15.67,15.67,15.67,15.67,0,SBH
2019-01-16,13.76,15.15,13.76,15.15,5700,SBH
2019-01-17,15.56,15.62,15.56,15.62,500,SBH
2019-01-18,15.62,15.67,15.62,15.67,2800,SBH
