time,open,high,low,close,volume,ticker
2009-08-19,5.39,5.39,4.12,4.18,29800,SED
2009-08-20,4.1,4.1,4.03,4.03,15400,SED
2009-08-21,3.82,3.97,3.77,3.95,42600,SED
2009-08-24,3.77,3.82,3.77,3.77,17700,SED
2009-08-25,3.51,3.67,3.51,3.67,11000,SED
2009-08-26,3.73,3.82,3.67,3.82,10400,SED
2009-08-27,3.77,3.77,3.69,3.77,7200,SED
2009-08-28,3.86,3.86,3.75,3.77,8700,SED
2009-08-31,3.82,3.9,3.82,3.9,7500,SED
2009-09-01,3.99,3.99,3.88,3.88,12500,SED
2009-09-03,3.84,3.86,3.77,3.86,2100,SED
2009-09-04,3.84,3.84,3.84,3.84,5700,SED
2009-09-07,3.64,3.67,3.64,3.67,1600,SED
2009-09-08,3.71,3.73,3.67,3.71,9100,SED
2009-09-09,3.67,3.69,3.67,3.69,5200,SED
2009-09-10,3.64,3.69,3.64,3.69,5900,SED
2009-09-11,3.67,3.75,3.67,3.67,13500,SED
2009-09-14,3.62,3.71,3.62,3.71,8300,SED
2009-09-15,3.73,3.73,3.73,3.73,7000,SED
2009-09-16,3.75,3.75,3.75,3.75,500,SED
2009-09-17,3.67,3.71,3.67,3.67,4200,SED
2009-09-18,3.64,3.69,3.64,3.64,1700,SED
2009-09-21,3.58,3.62,3.58,3.62,12400,SED
2009-09-22,3.64,3.84,3.58,3.84,94700,SED
2009-09-23,4.01,4.01,3.99,4.01,53500,SED
2009-09-24,3.86,3.88,3.86,3.88,12900,SED
2009-09-25,3.88,4.03,3.88,4.01,30000,SED
2009-09-28,3.88,4.1,3.88,4.01,10800,SED
2009-09-29,3.99,3.99,3.88,3.88,4400,SED
2009-09-30,3.88,4.07,3.88,3.88,18000,SED
2009-10-01,3.88,3.95,3.88,3.88,17300,SED
2009-10-02,3.84,3.86,3.73,3.86,19000,SED
2009-10-05,3.88,3.88,3.88,3.88,2000,SED
2009-10-06,4.07,4.07,3.88,4.03,15100,SED
2009-10-07,4.1,4.1,4.01,4.03,41600,SED
2009-10-08,4.1,4.12,3.86,4.03,57100,SED
2009-10-09,4.14,4.25,4.1,4.25,156900,SED
2009-10-12,4.51,4.51,4.51,4.51,10600,SED
2009-10-13,4.81,4.81,4.74,4.81,47500,SED
2009-10-14,4.96,5.07,4.48,4.68,27600,SED
2009-10-15,4.89,4.92,4.64,4.72,69200,SED
2009-10-16,4.92,4.96,4.55,4.64,30300,SED
2009-10-19,4.96,4.96,4.44,4.46,18600,SED
2009-10-20,4.64,4.72,4.53,4.7,30400,SED
2009-10-21,4.74,4.74,4.59,4.66,12600,SED
2009-10-22,4.51,4.96,4.48,4.74,57500,SED
2009-10-23,5.07,5.09,4.96,5.07,115000,SED
2009-10-26,4.74,4.81,4.72,4.76,32300,SED
2009-10-27,4.74,4.74,4.61,4.72,47500,SED
2009-10-28,4.74,4.83,4.7,4.83,41200,SED
2009-10-29,4.72,4.72,4.48,4.53,35200,SED
2009-10-30,4.87,4.87,4.79,4.87,29100,SED
2009-11-02,4.87,4.87,4.59,4.64,39900,SED
