time,open,high,low,close,volume,ticker
2014-12-01,9.25,9.25,9.25,9.25,26410,SFG
2014-12-02,9.88,9.88,9.88,9.88,20060,SFG
2014-12-03,10.56,10.56,10.46,10.56,1014530,SFG
2014-12-04,10.99,10.99,10.07,10.51,186980,SFG
2014-12-05,9.98,10.46,9.98,10.02,70760,SFG
2014-12-08,9.35,9.64,9.35,9.35,180620,SFG
2014-12-09,8.72,9.06,8.72,8.72,2359250,SFG
2014-12-10,8.48,9.06,8.43,9.06,68680,SFG
2014-12-11,8.58,9.16,8.58,8.68,67040,SFG
2014-12-12,8.72,8.92,8.68,8.68,42790,SFG
2014-12-15,8.63,8.72,8.63,8.68,30790,SFG
2014-12-16,8.63,8.68,8.43,8.43,204500,SFG
2014-12-17,8.48,9.01,7.86,9.01,111000,SFG
2014-12-18,8.96,8.96,8.39,8.82,9070,SFG
2014-12-19,8.82,8.82,8.43,8.43,510,SFG
2014-12-22,8.43,8.68,8.19,8.43,37610,SFG
2014-12-23,8.19,8.43,8.19,8.43,53260,SFG
2014-12-24,8.43,8.43,8.39,8.39,36900,SFG
2014-12-25,8.39,8.43,8.39,8.43,57880,SFG
2014-12-26,8.39,8.39,8.34,8.39,32200,SFG
2014-12-29,8.29,8.29,7.95,8.05,109540,SFG
2014-12-30,7.71,8.19,7.71,8.05,250,SFG
2014-12-31,8.29,8.48,7.81,8.48,90880,SFG
2015-01-05,8.48,8.48,8.48,8.48,2720,SFG
2015-01-06,8.24,8.43,8.0,8.43,12710,SFG
2015-01-07,8.43,8.43,8.05,8.1,26160,SFG
2015-01-08,8.1,8.1,7.95,7.95,14200,SFG
2015-01-09,8.48,8.48,8.0,8.15,3020,SFG
2015-01-12,8.1,8.19,8.1,8.1,21100,SFG
2015-01-13,7.86,8.19,7.86,8.19,6820,SFG
2015-01-14,8.19,8.19,7.86,7.9,16820,SFG
2015-01-15,8.19,8.19,7.95,8.19,29760,SFG
2015-01-16,7.95,8.19,7.95,8.1,8080,SFG
2015-01-19,8.05,8.15,8.05,8.1,34140,SFG
2015-01-20,8.53,8.53,8.53,8.53,160,SFG
2015-01-21,8.53,8.53,8.05,8.39,2450,SFG
2015-01-22,8.1,8.19,8.05,8.05,13340,SFG
2015-01-23,8.1,8.19,8.1,8.19,19710,SFG
2015-01-26,8.19,8.19,8.1,8.15,2730,SFG
2015-01-27,8.43,8.43,8.0,8.05,23240,SFG
2015-01-28,8.0,8.19,8.0,8.19,39540,SFG
2015-01-29,8.05,8.19,7.95,8.19,9120,SFG
2015-01-30,8.0,8.15,8.0,8.15,69840,SFG
2015-02-02,8.05,8.15,8.0,8.0,12330,SFG
2015-02-03,7.95,8.15,7.95,8.0,20420,SFG
2015-02-04,8.0,8.05,7.95,8.05,9950,SFG
2015-02-05,8.05,8.05,8.05,8.05,1000,SFG
2015-02-06,8.05,8.1,8.05,8.1,2000,SFG
2015-02-09,7.95,8.0,7.95,8.0,15920,SFG
2015-02-10,8.0,8.15,8.0,8.15,28660,SFG
2015-02-11,8.0,8.15,8.0,8.1,37240,SFG
2015-02-12,8.0,8.1,8.0,8.1,42450,SFG
2015-02-13,8.29,8.29,8.19,8.19,3530,SFG
2015-02-24,8.19,8.19,8.19,8.19,650,SFG
2015-02-25,8.15,8.19,7.86,8.15,44520,SFG
2015-02-26,8.15,8.15,7.86,7.86,69650,SFG
2015-02-27,7.9,8.05,7.86,8.05,35020,SFG
2015-03-02,7.9,8.0,7.86,8.0,46750,SFG
2015-03-03,7.86,7.95,7.86,7.95,121010,SFG
2015-03-04,7.86,8.1,7.86,7.95,9270,SFG
2015-03-05,7.9,7.9,7.9,7.9,22010,SFG
2015-03-06,7.86,7.95,7.86,7.95,6810,SFG
2015-03-09,7.95,7.95,7.9,7.9,1950,SFG
2015-03-10,7.9,7.9,7.81,7.86,120160,SFG
2015-03-11,7.86,8.0,7.86,8.0,10000,SFG
2015-03-12,8.05,8.15,8.0,8.15,3630,SFG
2015-03-13,8.15,8.15,8.1,8.1,7580,SFG
2015-03-16,8.1,8.1,8.1,8.1,0,SFG
2015-03-17,8.1,8.1,7.95,7.95,3700,SFG
2015-03-18,8.1,8.19,7.95,7.95,4270,SFG
2015-03-19,8.05,8.19,8.0,8.15,47570,SFG
2015-03-20,8.05,8.19,8.0,8.19,410,SFG
2015-03-23,8.15,8.24,8.05,8.15,9050,SFG
2015-03-24,8.15,8.15,8.05,8.05,24950,SFG
2015-03-25,8.19,8.19,8.05,8.05,4300,SFG
2015-03-26,8.15,8.15,8.05,8.05,7190,SFG
2015-03-27,8.0,8.05,8.0,8.0,6850,SFG
2015-03-30,8.0,8.53,8.0,8.53,71960,SFG
2015-03-31,8.87,8.87,8.34,8.72,14500,SFG
2015-04-01,8.19,8.19,8.19,8.19,8790,SFG
2015-04-02,8.58,8.58,8.39,8.39,2610,SFG
2015-04-03,8.15,8.34,8.15,8.34,220,SFG
2015-04-06,8.05,8.29,7.95,8.29,26830,SFG
