time,open,high,low,close,volume,ticker
2009-06-15,4.68,4.68,4.68,4.68,11800,SFN
2009-06-16,4.99,4.99,4.37,4.43,16400,SFN
2009-06-17,4.49,4.71,4.23,4.63,19100,SFN
2009-06-18,4.49,4.54,4.49,4.54,9600,SFN
2009-06-19,4.68,4.68,4.68,4.68,100,SFN
2009-06-22,4.37,4.37,4.37,4.37,100,SFN
2009-06-23,4.37,4.37,4.37,4.37,0,SFN
2009-06-24,4.09,4.46,4.09,4.37,3900,SFN
2009-06-25,4.6,4.6,4.04,4.04,1100,SFN
2009-06-26,4.37,4.37,4.09,4.21,8200,SFN
2009-06-29,4.07,4.07,4.04,4.04,900,SFN
2009-06-30,3.76,3.87,3.76,3.76,6000,SFN
2009-07-01,3.5,4.01,3.5,4.01,2200,SFN
2009-07-02,3.78,3.78,3.36,3.78,2500,SFN
2009-07-03,3.76,3.92,3.76,3.92,3200,SFN
2009-07-06,4.07,4.15,4.07,4.15,5900,SFN
2009-07-07,4.4,4.4,4.4,4.4,100,SFN
2009-07-08,4.12,4.37,4.12,4.35,2600,SFN
2009-07-09,4.51,4.51,4.32,4.32,2400,SFN
2009-07-10,4.43,4.77,4.18,4.54,12900,SFN
2009-07-13,4.35,4.35,4.23,4.23,300,SFN
2009-07-14,4.51,4.54,4.49,4.49,1600,SFN
2009-07-15,4.63,4.77,4.23,4.6,10200,SFN
2009-07-16,4.77,4.77,4.77,4.77,100,SFN
2009-07-17,4.46,4.46,4.46,4.46,500,SFN
2009-07-20,4.77,4.77,4.49,4.49,18200,SFN
2009-07-21,4.91,4.91,4.57,4.77,8700,SFN
2009-07-22,4.77,4.77,4.68,4.68,8200,SFN
2009-07-23,5.02,5.02,4.49,4.63,14800,SFN
2009-07-24,4.91,5.02,4.71,4.93,27300,SFN
2009-07-27,5.05,5.05,4.57,4.57,16600,SFN
2009-07-28,4.43,4.43,4.37,4.37,12300,SFN
2009-07-29,4.63,4.63,4.37,4.37,2100,SFN
2009-07-30,4.21,4.6,4.21,4.32,6400,SFN
2009-07-31,4.21,4.6,4.21,4.6,22900,SFN
2009-08-03,4.91,4.91,4.37,4.49,2800,SFN
2009-08-04,4.63,4.63,4.49,4.49,200,SFN
2009-08-05,4.71,4.71,4.49,4.6,5100,SFN
2009-08-06,4.54,4.6,4.49,4.49,12500,SFN
2009-08-07,4.6,4.6,4.6,4.6,2100,SFN
2009-08-10,4.51,4.68,4.49,4.68,5400,SFN
2009-08-11,4.77,4.82,4.54,4.54,10700,SFN
2009-08-12,4.71,4.71,4.54,4.57,28900,SFN
2009-08-13,4.57,4.57,4.43,4.49,24000,SFN
2009-08-14,4.6,4.6,4.49,4.57,7000,SFN
2009-08-17,4.6,4.6,4.49,4.49,5900,SFN
2009-08-18,4.49,4.49,4.49,4.49,2200,SFN
2009-08-19,4.43,4.57,4.43,4.57,1600,SFN
2009-08-20,4.54,4.54,4.49,4.54,16600,SFN
2009-08-21,4.57,4.57,4.54,4.54,8100,SFN
2009-08-24,4.51,4.57,4.51,4.57,5000,SFN
2009-08-25,4.49,4.51,4.49,4.51,1200,SFN
2009-08-26,4.51,4.63,4.51,4.54,11800,SFN
2009-08-27,4.63,4.63,4.54,4.57,10100,SFN
2009-08-28,4.57,4.63,4.57,4.63,9900,SFN
2009-08-31,4.91,4.91,4.88,4.91,32800,SFN
2009-09-01,4.93,5.02,4.91,4.99,23300,SFN
2009-09-03,4.63,5.07,4.63,4.93,25400,SFN
2009-09-04,4.85,4.93,4.85,4.85,14200,SFN
2009-09-07,4.96,4.96,4.68,4.77,2800,SFN
2009-09-08,4.74,4.85,4.74,4.74,29500,SFN
2009-09-09,4.85,4.85,4.79,4.85,11200,SFN
2009-09-10,4.91,4.99,4.88,4.93,12300,SFN
2009-09-11,5.16,5.16,5.02,5.02,5200,SFN
2009-09-14,5.05,5.21,5.05,5.21,22100,SFN
2009-09-15,5.19,5.24,5.19,5.24,8300,SFN
2009-09-16,5.21,5.47,5.21,5.33,24400,SFN
2009-09-17,5.55,5.55,5.27,5.33,10700,SFN
2009-09-18,5.41,5.41,5.33,5.41,3500,SFN
2009-09-21,5.44,5.44,5.33,5.35,20500,SFN
2009-09-22,5.61,5.75,5.55,5.75,58700,SFN
2009-09-23,6.11,6.11,5.89,6.11,32800,SFN
2009-09-24,6.5,6.5,6.22,6.5,47500,SFN
2009-09-25,6.59,6.87,6.59,6.87,51700,SFN
2009-09-28,7.15,7.15,6.62,6.62,32500,SFN
2009-09-29,6.73,6.87,6.28,6.34,29700,SFN
2009-09-30,6.2,6.45,6.17,6.45,9600,SFN
2009-10-01,6.45,6.5,6.34,6.34,12600,SFN
2009-10-02,6.08,6.11,5.97,6.11,19000,SFN
2009-10-05,5.94,6.06,5.89,6.03,14600,SFN
2009-10-06,6.08,6.17,5.94,6.17,9300,SFN
2009-10-07,6.14,6.39,6.11,6.31,24100,SFN
2009-10-08,6.03,6.17,6.03,6.03,2100,SFN
2009-10-09,6.03,6.17,6.03,6.06,18700,SFN
2009-10-12,6.17,6.48,6.17,6.48,46900,SFN
2009-10-13,6.81,6.81,6.39,6.39,18700,SFN
2009-10-14,6.45,6.73,6.34,6.62,28000,SFN
2009-10-15,6.73,7.04,6.73,7.04,101400,SFN
2009-10-16,7.43,7.43,7.43,7.43,92100,SFN
2009-10-19,7.93,7.93,7.93,7.93,46500,SFN
2009-10-20,8.47,8.47,7.85,8.44,103700,SFN
2009-10-21,8.47,8.47,7.85,7.88,55900,SFN
2009-10-22,7.85,7.85,7.46,7.71,28700,SFN
2009-10-23,7.23,7.63,7.2,7.32,60600,SFN
2009-10-26,7.29,7.51,7.06,7.12,21100,SFN
2009-10-27,7.29,7.29,6.81,7.15,6900,SFN
2009-10-28,7.4,7.54,7.26,7.54,26000,SFN
2009-10-29,7.57,7.57,6.9,7.2,14600,SFN
2009-10-30,7.74,7.74,7.23,7.43,13300,SFN
2009-11-02,6.92,6.92,6.9,6.9,13700,SFN
2009-11-03,6.45,6.87,6.42,6.42,18400,SFN
2009-11-04,6.73,6.73,6.03,6.17,6800,SFN
2009-11-05,6.45,6.64,6.36,6.64,9200,SFN
2009-11-06,6.98,6.98,6.56,6.56,9100,SFN
2009-11-09,7.01,7.01,6.36,6.36,14900,SFN
2009-11-10,6.45,6.45,5.94,5.97,25800,SFN
2009-11-11,5.97,6.36,5.97,6.25,14600,SFN
2009-11-12,6.42,6.42,6.17,6.39,5300,SFN
2009-11-13,5.92,6.39,5.92,6.11,3600,SFN
2009-11-16,6.39,6.39,6.06,6.06,600,SFN
2009-11-17,6.31,6.31,6.06,6.17,10900,SFN
2009-11-18,6.17,6.31,6.11,6.31,5200,SFN
2009-11-19,6.28,6.48,6.28,6.48,9300,SFN
2009-11-20,6.34,6.34,6.31,6.31,2200,SFN
2009-11-23,6.08,6.11,6.0,6.03,8500,SFN
2009-11-24,5.97,5.97,5.83,5.83,9800,SFN
2009-11-25,5.75,6.34,5.55,6.03,3700,SFN
2009-11-26,5.33,5.33,5.3,5.3,5700,SFN
2009-11-27,4.96,5.49,4.96,5.47,7000,SFN
2009-11-30,5.38,5.44,5.38,5.44,2400,SFN
2009-12-01,5.8,5.8,5.61,5.61,3500,SFN
2009-12-02,6.17,6.17,5.78,6.11,2800,SFN
2009-12-03,5.75,5.75,5.69,5.69,4900,SFN
2009-12-04,5.61,5.61,5.61,5.61,500,SFN
2009-12-07,5.75,5.75,5.75,5.75,100,SFN
2009-12-08,5.89,5.89,5.38,5.38,3600,SFN
2009-12-09,5.07,5.07,5.05,5.05,10900,SFN
2009-12-10,4.79,4.79,4.74,4.74,5500,SFN
2009-12-11,4.65,4.65,4.49,4.49,11100,SFN
2009-12-14,4.91,4.91,4.88,4.91,2400,SFN
2009-12-15,4.91,4.91,4.91,4.91,100,SFN
2009-12-16,5.05,5.05,4.77,4.77,700,SFN
2009-12-17,4.77,4.91,4.77,4.85,5400,SFN
2009-12-18,5.05,5.05,4.93,4.93,6500,SFN
2009-12-21,5.27,5.38,5.24,5.38,6500,SFN
2009-12-22,5.05,5.1,5.05,5.07,1600,SFN
2009-12-23,4.93,5.3,4.93,5.3,700,SFN
2009-12-24,5.19,5.33,5.19,5.33,2200,SFN
2009-12-25,5.27,5.55,5.27,5.55,8000,SFN
2009-12-28,5.69,5.69,5.3,5.33,5700,SFN
2009-12-29,5.19,5.19,5.05,5.05,3900,SFN
2009-12-30,5.33,5.33,5.33,5.33,100,SFN
2009-12-31,5.58,5.58,5.16,5.16,3300,SFN
2010-01-04,5.47,5.61,5.27,5.61,26000,SFN
2010-01-05,5.86,5.86,5.72,5.78,16500,SFN
2010-01-06,6.03,6.14,6.03,6.14,5100,SFN
2010-01-07,6.31,6.31,5.66,5.66,700,SFN
2010-01-08,5.66,5.89,5.64,5.64,8600,SFN
2010-01-11,5.61,5.86,5.41,5.86,11100,SFN
2010-01-12,5.86,5.86,5.38,5.41,2600,SFN
2010-01-13,5.83,5.83,5.33,5.33,5600,SFN
2010-01-14,5.61,5.75,5.49,5.61,6100,SFN
2010-01-15,5.33,5.38,5.33,5.38,3200,SFN
2010-01-18,5.69,5.72,5.33,5.33,2000,SFN
2010-01-19,5.61,5.61,5.61,5.61,100,SFN
2010-01-20,5.24,5.61,5.24,5.61,1300,SFN
2010-01-21,5.8,5.8,5.33,5.33,800,SFN
2010-01-22,5.33,5.47,5.33,5.38,6600,SFN
2010-01-25,5.38,5.38,5.33,5.33,1300,SFN
2010-01-26,5.41,5.52,5.41,5.52,200,SFN
2010-01-27,5.35,5.35,5.24,5.24,2900,SFN
2010-01-28,5.44,5.44,5.27,5.27,1100,SFN
2010-01-29,5.05,5.27,5.05,5.05,9500,SFN
2010-02-01,5.21,5.21,5.1,5.1,1500,SFN
2010-02-02,5.13,5.13,4.99,5.07,4200,SFN
2010-02-03,5.02,5.1,5.02,5.1,3000,SFN
2010-02-04,5.38,5.38,5.1,5.1,200,SFN
2010-02-05,5.07,5.07,4.99,4.99,8400,SFN
2010-02-08,5.24,5.24,5.05,5.16,700,SFN
2010-02-09,5.05,5.05,4.91,4.91,1000,SFN
2010-02-10,5.27,5.27,5.27,5.27,100,SFN
2010-02-11,5.24,5.24,5.24,5.24,200,SFN
2010-02-12,5.24,5.27,5.24,5.24,2000,SFN
2010-02-22,5.21,5.21,5.21,5.21,700,SFN
2010-02-23,5.33,5.33,5.21,5.21,3000,SFN
2010-02-24,5.21,5.21,5.21,5.21,0,SFN
2010-02-25,5.44,5.44,5.21,5.27,4000,SFN
2010-02-26,5.33,5.33,5.19,5.19,2600,SFN
2010-03-01,5.33,5.35,5.33,5.35,9000,SFN
2010-03-02,5.33,5.33,5.33,5.33,2000,SFN
2010-03-03,5.33,5.47,5.33,5.41,4500,SFN
2010-03-04,5.58,5.58,5.35,5.35,3400,SFN
2010-03-05,5.27,5.41,5.24,5.41,7800,SFN
2010-03-08,5.55,5.55,5.49,5.52,2100,SFN
2010-03-09,5.61,5.61,5.47,5.47,1500,SFN
2010-03-10,5.72,5.72,5.41,5.41,11100,SFN
2010-03-11,5.41,5.47,5.41,5.47,5200,SFN
2010-03-12,5.41,5.47,5.41,5.47,1300,SFN
2010-03-15,5.41,5.66,5.41,5.66,16800,SFN
2010-03-16,5.66,5.86,5.55,5.55,24300,SFN
2010-03-17,5.58,5.86,5.58,5.61,10900,SFN
2010-03-18,5.8,5.86,5.64,5.64,3200,SFN
2010-03-19,5.83,5.83,5.49,5.8,15800,SFN
2010-03-22,5.92,5.92,5.8,5.8,600,SFN
2010-03-23,5.94,6.03,5.61,5.8,19200,SFN
2010-03-24,6.0,6.0,5.47,5.83,500,SFN
2010-03-25,5.61,5.61,5.52,5.52,11500,SFN
2010-03-26,5.69,5.69,5.69,5.69,100,SFN
2010-03-29,5.64,5.64,5.61,5.61,1600,SFN
2010-03-30,5.49,5.49,5.49,5.49,3500,SFN
2010-03-31,5.27,5.64,5.27,5.64,3200,SFN
2010-04-01,5.64,5.64,5.58,5.61,1600,SFN
2010-04-02,5.44,5.64,5.44,5.64,600,SFN
2010-04-05,5.69,5.94,5.58,5.58,2400,SFN
2010-04-06,5.49,5.61,5.49,5.61,2800,SFN
2010-04-07,5.61,5.61,5.61,5.61,2500,SFN
2010-04-08,5.61,5.61,5.55,5.61,4500,SFN
2010-04-09,5.61,5.66,5.55,5.58,13700,SFN
2010-04-12,5.61,5.75,5.61,5.61,6200,SFN
2010-04-13,5.66,5.66,5.47,5.47,7400,SFN
2010-04-14,5.55,5.55,5.55,5.55,8200,SFN
2010-04-15,5.61,5.66,5.61,5.66,3300,SFN
2010-04-16,5.72,5.72,5.61,5.61,5200,SFN
2010-04-19,5.61,5.89,5.61,5.72,12400,SFN
2010-04-20,5.75,6.14,5.75,6.14,37900,SFN
2010-04-21,6.45,6.45,6.17,6.42,33200,SFN
2010-04-22,6.45,6.45,5.94,5.97,39500,SFN
2010-04-26,6.11,6.31,5.86,5.97,10400,SFN
2010-04-27,5.92,6.14,5.92,6.14,3200,SFN
2010-04-28,6.08,6.08,5.97,5.97,12200,SFN
2010-04-29,6.03,6.22,6.03,6.08,8700,SFN
2010-05-04,6.08,6.36,6.08,6.17,13400,SFN
2010-05-05,6.17,6.17,5.89,6.0,18400,SFN
2010-05-06,5.92,6.33,5.92,6.33,34400,SFN
2010-05-07,6.47,6.53,6.18,6.53,35300,SFN
2010-05-10,6.33,6.33,6.12,6.12,7300,SFN
2010-05-11,6.18,6.24,6.09,6.12,9200,SFN
2010-05-12,6.33,6.47,5.97,6.0,15800,SFN
2010-05-13,5.92,5.92,5.89,5.89,4600,SFN
2010-05-14,5.89,5.89,5.89,5.89,3100,SFN
2010-05-17,6.03,6.03,5.77,5.77,16200,SFN
2010-05-18,5.53,5.92,5.53,5.92,20800,SFN
2010-05-19,5.42,5.94,5.27,5.33,8700,SFN
2010-05-20,5.12,5.71,5.12,5.68,18800,SFN
2010-05-21,5.71,5.71,5.71,5.71,100,SFN
2010-05-24,5.74,5.74,5.44,5.59,2300,SFN
2010-05-25,5.59,5.59,5.59,5.59,0,SFN
2010-05-26,5.39,5.59,5.39,5.59,2000,SFN
2010-05-27,5.44,5.56,5.44,5.56,2700,SFN
2010-05-28,5.59,5.89,5.59,5.89,14900,SFN
2010-05-31,6.0,6.0,6.0,6.0,100,SFN
2010-06-01,5.74,5.74,5.65,5.65,2400,SFN
2010-06-02,5.65,5.65,5.65,5.65,0,SFN
2010-06-03,5.89,5.89,5.89,5.89,100,SFN
2010-06-04,5.53,5.86,5.53,5.86,3600,SFN
2010-06-07,5.59,5.59,5.59,5.59,200,SFN
2010-06-08,5.44,5.47,5.44,5.47,5400,SFN
2010-06-09,5.83,5.83,5.83,5.83,100,SFN
2010-06-10,5.53,5.59,5.53,5.56,1000,SFN
2010-06-11,5.56,5.74,5.53,5.59,4600,SFN
2010-06-14,5.59,5.59,5.59,5.59,3000,SFN
2010-06-15,5.74,5.74,5.59,5.59,2900,SFN
2010-06-16,5.8,5.8,5.59,5.68,400,SFN
2010-06-17,5.65,5.65,5.65,5.65,900,SFN
2010-06-18,5.3,5.68,5.3,5.68,1800,SFN
2010-06-21,5.86,5.86,5.86,5.86,1800,SFN
2010-06-22,5.59,5.59,5.59,5.59,2000,SFN
2010-06-23,5.59,5.59,5.59,5.59,300,SFN
2010-06-24,5.86,5.86,5.59,5.59,8200,SFN
2010-06-25,5.65,5.65,5.47,5.47,14100,SFN
2010-06-28,5.59,5.62,5.53,5.53,6100,SFN
2010-06-29,5.44,5.74,5.44,5.74,1300,SFN
2010-06-30,5.65,5.65,5.47,5.5,4000,SFN
2010-07-01,5.68,5.68,5.53,5.53,1100,SFN
2010-07-02,5.59,5.59,5.59,5.59,5300,SFN
2010-07-05,5.59,5.59,5.59,5.59,1000,SFN
2010-07-06,5.59,5.59,5.59,5.59,2000,SFN
2010-07-07,5.53,5.53,5.53,5.53,1000,SFN
2010-07-08,5.59,5.59,5.5,5.5,1500,SFN
2010-07-09,5.5,5.5,5.5,5.5,0,SFN
2010-07-12,5.47,5.5,5.47,5.5,600,SFN
2010-07-13,5.5,5.5,5.5,5.5,1300,SFN
2010-07-14,5.53,5.53,5.53,5.53,100,SFN
2010-07-15,5.53,5.62,5.53,5.59,1500,SFN
2010-07-16,5.65,5.65,5.53,5.53,900,SFN
2010-07-19,5.59,5.86,5.59,5.86,3100,SFN
2010-07-20,5.74,5.8,5.59,5.59,10500,SFN
2010-07-21,5.65,5.68,5.62,5.62,19800,SFN
2010-07-22,5.59,5.59,5.47,5.47,6100,SFN
2010-07-23,5.74,5.74,5.5,5.53,16000,SFN
2010-07-26,5.53,5.65,5.53,5.53,3900,SFN
2010-07-27,5.89,5.92,5.62,5.71,10800,SFN
2010-07-28,6.03,6.03,5.65,5.89,7800,SFN
2010-07-29,5.83,5.83,5.5,5.5,3600,SFN
2010-07-30,5.62,5.62,5.5,5.56,10700,SFN
2010-08-02,5.56,5.56,5.56,5.56,500,SFN
2010-08-03,5.8,5.8,5.47,5.47,6200,SFN
2010-08-04,5.42,5.42,5.3,5.3,2800,SFN
2010-08-05,5.68,5.68,5.36,5.36,1200,SFN
2010-08-06,5.21,5.56,5.21,5.56,600,SFN
2010-08-09,5.68,5.68,5.53,5.53,2100,SFN
2010-08-10,5.24,5.24,5.24,5.24,1200,SFN
2010-08-11,5.5,5.5,5.3,5.3,1100,SFN
2010-08-12,5.65,5.65,4.97,4.97,9300,SFN
2010-08-13,5.12,5.12,4.97,4.97,3600,SFN
2010-08-16,5.36,5.36,5.36,5.36,100,SFN
2010-08-17,5.68,5.68,5.68,5.68,100,SFN
2010-08-18,5.86,5.86,5.3,5.3,6800,SFN
2010-08-19,5.56,5.56,4.94,4.97,7700,SFN
2010-08-20,5.3,5.3,4.86,4.94,6800,SFN
2010-08-23,5.24,5.24,4.86,4.86,1000,SFN
2010-08-24,5.21,5.21,4.62,4.65,9200,SFN
2010-08-25,5.0,5.0,4.68,4.68,3000,SFN
2010-08-26,4.94,4.94,4.94,4.94,100,SFN
2010-08-27,4.65,4.68,4.62,4.62,6500,SFN
2010-08-30,4.94,4.97,4.94,4.97,11700,SFN
2010-08-31,4.97,5.0,4.97,5.0,2000,SFN
2010-09-01,4.94,4.94,4.68,4.68,8700,SFN
2010-09-06,4.8,4.8,4.71,4.77,9000,SFN
2010-09-07,4.74,4.77,4.71,4.77,8300,SFN
2010-09-08,5.03,5.03,4.91,4.94,6500,SFN
2010-09-09,4.91,4.97,4.91,4.97,5000,SFN
2010-09-10,4.8,4.91,4.74,4.74,7200,SFN
2010-09-13,4.89,4.89,4.89,4.89,100,SFN
2010-09-14,4.71,4.71,4.56,4.56,33600,SFN
2010-09-15,4.65,4.71,4.44,4.71,25000,SFN
2010-09-16,4.59,4.77,4.59,4.77,6400,SFN
2010-09-17,4.94,4.97,4.89,4.89,700,SFN
2010-09-20,4.94,4.94,4.94,4.94,100,SFN
2010-09-21,4.71,4.71,4.65,4.65,14500,SFN
2010-09-22,4.71,4.71,4.62,4.62,4000,SFN
2010-09-23,4.62,4.62,4.62,4.62,0,SFN
2010-09-24,4.41,4.65,4.41,4.62,6000,SFN
2010-09-27,4.68,4.68,4.62,4.62,3200,SFN
2010-09-28,4.71,4.71,4.71,4.71,100,SFN
2010-09-29,4.71,4.71,4.44,4.47,3100,SFN
2010-09-30,4.47,4.47,4.44,4.47,4200,SFN
2010-10-01,4.47,4.5,4.47,4.5,1300,SFN
2010-10-04,4.47,4.47,4.47,4.47,2100,SFN
2010-10-05,4.39,4.39,4.3,4.3,800,SFN
2010-10-06,4.53,4.53,4.53,4.53,100,SFN
2010-10-07,4.59,4.59,4.5,4.59,5100,SFN
2010-10-08,4.59,4.65,4.59,4.59,11600,SFN
2010-10-11,4.53,4.53,4.5,4.5,3000,SFN
2010-10-12,4.56,4.62,4.5,4.56,16600,SFN
2010-10-13,4.33,4.5,4.33,4.44,4600,SFN
2010-10-14,4.47,4.47,4.47,4.47,2400,SFN
2010-10-15,4.69,4.69,4.69,4.69,0,SFN
2010-10-18,4.69,4.69,4.69,4.69,0,SFN
2010-10-19,4.26,4.32,4.2,4.2,3500,SFN
2010-10-20,4.2,4.2,4.2,4.2,0,SFN
2010-10-21,4.23,4.26,4.23,4.26,2500,SFN
2010-10-22,4.2,4.2,4.2,4.2,100,SFN
2010-10-25,4.41,4.41,4.41,4.41,100,SFN
2010-10-26,4.32,4.32,4.32,4.32,1100,SFN
2010-10-27,4.32,4.32,4.32,4.32,0,SFN
2010-10-28,4.2,4.2,4.13,4.13,1200,SFN
2010-10-29,4.41,4.41,4.41,4.41,400,SFN
2010-11-01,4.41,4.41,4.41,4.41,0,SFN
2010-11-02,4.1,4.1,4.1,4.1,500,SFN
2010-11-03,4.1,4.1,4.1,4.1,0,SFN
2010-11-04,4.1,4.1,4.1,4.1,0,SFN
2010-11-05,4.01,4.38,4.01,4.32,400,SFN
2010-11-08,4.41,4.41,4.41,4.41,100,SFN
2010-11-09,4.66,4.66,4.66,4.66,100,SFN
2010-11-10,4.75,4.75,4.75,4.75,100,SFN
2010-11-11,4.44,4.44,4.44,4.44,300,SFN
2010-11-12,4.57,4.57,4.13,4.13,1700,SFN
2010-11-15,4.41,4.41,3.89,3.92,4400,SFN
2010-11-16,4.17,4.17,3.67,3.7,5900,SFN
2010-11-17,3.86,3.86,3.86,3.86,100,SFN
2010-11-18,4.1,4.1,4.01,4.1,1100,SFN
2010-11-19,4.35,4.35,4.01,4.01,900,SFN
2010-11-22,4.01,4.01,3.76,3.76,11800,SFN
2010-11-23,3.86,3.98,3.86,3.98,2500,SFN
2010-11-24,3.7,3.7,3.7,3.7,1000,SFN
2010-11-25,3.95,3.95,3.95,3.95,2900,SFN
2010-11-26,3.95,3.95,3.95,3.95,4500,SFN
2010-11-29,3.83,3.98,3.83,3.98,400,SFN
2010-11-30,4.2,4.2,3.95,4.04,6300,SFN
2010-12-01,4.2,4.35,4.17,4.35,15100,SFN
2010-12-02,4.5,4.54,4.5,4.54,11400,SFN
2010-12-03,4.63,4.69,4.54,4.69,2300,SFN
2010-12-06,4.6,4.63,4.32,4.32,5700,SFN
2010-12-07,4.29,4.47,4.29,4.38,15100,SFN
