time,open,high,low,close,volume,ticker
2009-12-16,7.63,8.72,5.45,5.63,152300,SHN
2009-12-17,5.81,5.99,5.63,5.63,118300,SHN
2009-12-18,5.6,5.74,5.45,5.45,138900,SHN
2009-12-21,5.81,5.99,5.67,5.99,78700,SHN
2009-12-22,5.99,6.03,5.41,5.41,30600,SHN
2009-12-23,5.7,5.7,5.23,5.23,52100,SHN
2009-12-24,5.3,5.67,5.2,5.6,121600,SHN
2009-12-25,5.81,5.85,5.78,5.85,67300,SHN
2009-12-28,6.18,6.18,5.7,5.99,94200,SHN
2009-12-29,5.92,5.92,5.6,5.6,54000,SHN
2009-12-30,5.89,6.14,5.67,6.14,143200,SHN
2009-12-31,6.43,6.43,6.43,6.43,5000,SHN
2010-01-04,6.87,6.87,6.87,6.87,11000,SHN
2010-01-05,7.34,7.34,7.34,7.34,58300,SHN
2010-01-06,7.85,7.85,7.85,7.85,29500,SHN
2010-01-07,8.39,8.39,7.99,8.39,1212200,SHN
2010-01-08,8.97,8.97,8.54,8.97,910900,SHN
2010-01-11,9.26,9.26,8.32,8.32,272100,SHN
2010-01-12,8.47,8.47,7.88,7.88,189300,SHN
2010-01-13,7.38,8.36,7.38,7.81,557700,SHN
2010-01-14,7.88,8.03,7.63,8.03,247400,SHN
2010-01-15,8.47,8.47,7.81,7.88,128400,SHN
2010-01-18,7.92,7.92,7.48,7.48,141900,SHN
2010-01-19,7.45,7.7,7.19,7.34,208400,SHN
2010-01-20,7.81,7.81,6.98,7.08,128400,SHN
2010-01-21,7.7,7.7,6.79,6.87,186300,SHN
2010-01-22,6.61,6.94,6.54,6.54,130500,SHN
2010-01-25,7.05,7.08,6.54,7.08,156900,SHN
2010-01-26,7.41,7.45,7.41,7.45,51300,SHN
2010-01-27,7.96,7.96,6.94,7.45,116200,SHN
2010-01-28,7.63,7.7,6.83,6.87,124300,SHN
2010-01-29,6.98,7.05,6.79,6.83,34400,SHN
2010-02-01,7.08,7.27,6.76,6.94,87500,SHN
2010-02-02,7.01,7.19,6.61,6.76,54700,SHN
