time,open,high,low,close,volume,ticker
2019-06-06,5.01,5.01,5.01,5.01,0,SIP
2019-06-07,5.01,5.01,5.01,5.01,0,SIP
2019-06-10,5.01,5.01,5.01,5.01,0,SIP
2019-06-11,5.01,5.01,5.01,5.01,0,SIP
2019-06-12,5.01,5.01,5.01,5.01,0,SIP
2019-06-13,6.99,6.99,6.99,6.99,100,SIP
2019-06-14,8.04,8.04,8.04,8.04,100,SIP
2019-06-17,9.23,9.23,9.23,9.23,100,SIP
2019-06-18,10.6,10.6,10.6,10.6,100,SIP
2019-06-19,12.18,12.18,12.18,12.18,200,SIP
2019-06-20,13.98,13.98,13.98,13.98,110,SIP
2019-06-21,16.08,16.08,16.08,16.08,25377,SIP
2019-06-24,18.47,18.47,18.47,18.47,5200,SIP
2019-06-25,21.24,21.24,20.97,21.24,78444,SIP
2019-06-26,24.18,24.18,20.39,20.97,26330,SIP
2019-06-27,20.97,21.12,20.83,20.92,247500,SIP
2019-06-28,19.95,19.95,19.4,19.4,330300,SIP
2019-07-01,19.23,19.23,18.06,18.64,23436,SIP
2019-07-02,19.81,20.97,19.52,20.1,61599,SIP
2019-07-03,20.3,20.97,20.27,20.68,98859,SIP
2019-07-04,20.68,22.72,20.68,20.57,110219,SIP
2019-07-05,22.69,24.88,22.69,24.3,44964,SIP
2019-07-08,24.18,24.62,23.3,23.97,65908,SIP
2019-07-09,23.65,25.46,23.65,25.43,95410,SIP
2019-07-10,24.91,27.91,24.76,27.62,303850,SIP
2019-07-11,26.8,28.81,22.93,26.22,218461,SIP
2019-07-12,25.93,27.06,25.78,26.16,77760,SIP
2019-07-15,26.22,26.51,25.64,26.22,33795,SIP
2019-07-16,25.4,25.93,25.4,25.64,66600,SIP
2019-07-17,25.78,25.78,23.97,24.47,104502,SIP
2019-07-18,24.91,26.51,23.89,26.19,62700,SIP
2019-07-19,26.36,27.97,26.36,26.8,104370,SIP
2019-07-22,26.8,27.18,26.54,26.95,54055,SIP
2019-07-23,26.95,27.91,26.89,27.24,119577,SIP
2019-07-24,27.38,27.38,26.8,26.8,32103,SIP
2019-07-25,26.54,26.8,26.22,26.51,56420,SIP
2019-07-26,26.25,26.36,25.69,25.93,119352,SIP
2019-07-29,25.93,26.07,25.58,25.93,33341,SIP
2019-07-30,25.78,26.92,25.78,26.8,34455,SIP
2019-07-31,27.38,30.62,27.38,30.62,259373,SIP
2019-08-01,32.04,34.29,31.32,34.29,184092,SIP
2019-08-02,34.96,38.71,34.96,36.7,131781,SIP
2019-08-05,36.7,38.74,34.37,38.28,91230,SIP
2019-08-06,37.87,38.42,36.41,37.58,120906,SIP
2019-08-07,37.72,38.45,35.54,35.92,96931,SIP
2019-08-08,31.2,36.7,31.2,34.37,154297,SIP
