time,open,high,low,close,volume,ticker
2006-12-14,6.47,6.99,6.47,6.99,13900,SJE
2006-12-15,7.26,7.26,6.82,7.33,33800,SJE
2006-12-18,7.5,7.63,7.33,7.33,4000,SJE
2006-12-19,7.92,8.25,7.33,7.33,11900,SJE
2006-12-20,7.5,7.5,7.33,7.33,700,SJE
2006-12-21,7.29,7.33,7.29,7.33,900,SJE
2006-12-22,7.33,7.33,7.33,7.33,0,SJE
2006-12-25,6.64,6.64,6.64,6.64,100,SJE
2006-12-26,6.05,6.05,5.98,5.98,200,SJE
2006-12-27,5.98,5.98,5.96,5.96,1500,SJE
2006-12-28,5.79,5.79,5.37,5.96,600,SJE
2006-12-29,5.47,5.47,5.45,5.45,500,SJE
2007-01-02,5.54,5.62,5.54,5.45,6000,SJE
2007-01-03,5.62,5.62,5.62,5.62,4500,SJE
2007-01-04,5.66,5.96,5.62,5.96,4500,SJE
2007-01-05,5.71,5.79,5.62,5.79,12100,SJE
2007-01-08,5.76,5.76,5.76,5.76,1900,SJE
2007-01-09,5.96,6.3,5.96,5.96,3000,SJE
2007-01-10,6.47,6.47,6.13,6.47,300,SJE
2007-01-11,6.99,6.99,6.3,6.3,7300,SJE
2007-01-12,6.13,6.13,6.13,6.13,1300,SJE
2007-01-15,6.13,6.13,6.13,6.13,3000,SJE
2007-01-16,6.12,6.22,6.12,6.22,800,SJE
2007-01-17,6.3,6.3,5.96,6.05,9300,SJE
2007-01-18,6.13,6.13,5.96,6.08,4200,SJE
2007-01-19,6.05,6.22,6.05,6.22,7500,SJE
2007-01-22,6.3,6.47,6.3,6.22,11900,SJE
2007-01-23,6.44,6.73,6.44,6.73,4000,SJE
2007-01-24,6.82,6.9,6.73,6.73,10700,SJE
2007-01-25,6.9,6.9,6.13,6.13,9500,SJE
2007-01-26,6.82,7.07,6.47,6.47,17300,SJE
2007-01-29,6.56,6.82,6.56,6.82,4300,SJE
2007-01-30,6.99,7.16,6.73,6.73,16000,SJE
2007-01-31,7.17,7.33,7.17,7.33,7100,SJE
2007-02-01,7.33,7.99,7.33,7.92,16000,SJE
2007-02-02,7.97,8.5,7.84,8.5,47300,SJE
2007-02-05,9.05,9.05,8.86,9.05,29900,SJE
2007-02-06,9.93,9.93,9.93,9.93,25900,SJE
2007-02-07,10.92,10.92,10.92,10.92,18200,SJE
2007-02-08,12.01,12.01,10.99,11.59,35200,SJE
2007-02-09,10.58,11.93,10.58,10.58,11700,SJE
2007-02-12,9.97,10.22,9.97,9.97,15200,SJE
2007-02-13,9.54,10.39,9.54,9.88,8600,SJE
2007-02-14,10.22,10.96,10.02,10.96,13200,SJE
2007-02-15,11.59,11.59,11.59,11.59,10500,SJE
2007-02-26,12.74,12.74,12.74,12.74,5300,SJE
2007-02-27,14.01,14.01,14.01,14.01,11000,SJE
2007-02-28,15.4,15.4,14.01,14.82,32700,SJE
2007-03-01,16.61,16.61,14.82,15.08,20400,SJE
2007-03-02,15.33,15.33,14.65,15.08,9100,SJE
2007-03-05,16.77,16.77,14.99,14.99,12300,SJE
2007-03-06,17.04,17.57,16.7,17.21,15400,SJE
2007-03-07,19.01,19.01,18.06,19.01,39800,SJE
2007-03-08,20.53,20.53,19.25,20.27,21900,SJE
2007-03-09,20.45,22.17,19.59,19.59,6300,SJE
2007-03-12,22.58,22.58,18.49,19.42,13000,SJE
2007-03-13,18.74,18.74,17.55,17.55,5800,SJE
2007-03-14,16.24,16.24,16.24,17.55,9900,SJE
2007-03-15,14.62,15.33,14.62,15.33,16400,SJE
2007-03-16,16.24,16.24,16.24,16.24,3700,SJE
2007-03-19,17.86,17.86,17.86,17.86,5500,SJE
2007-03-20,19.63,19.63,19.56,19.56,39100,SJE
2007-03-21,19.64,19.64,18.06,18.74,8000,SJE
2007-03-22,19.93,20.65,17.04,18.91,29200,SJE
2007-03-23,19.08,19.59,18.74,18.74,16700,SJE
2007-03-26,19.27,19.42,17.89,18.74,11300,SJE
2007-03-27,17.89,18.4,16.78,18.74,7700,SJE
2007-03-28,16.19,17.04,15.85,17.04,23900,SJE
2007-03-29,18.01,18.01,17.55,18.01,15600,SJE
2007-03-30,19.76,19.76,17.97,18.01,11700,SJE
2007-04-02,16.87,17.89,16.87,17.89,1000,SJE
2007-04-03,15.67,15.76,15.67,15.76,800,SJE
2007-04-04,15.33,16.19,15.33,16.17,3500,SJE
2007-04-05,15.67,16.02,15.33,15.33,4400,SJE
2007-04-06,15.35,15.35,15.16,15.32,8600,SJE
2007-04-09,15.3,15.33,14.99,14.99,2100,SJE
2007-04-10,15.2,15.28,15.2,15.28,3100,SJE
2007-04-11,14.99,15.16,14.99,14.99,5900,SJE
2007-04-12,14.65,14.99,14.48,14.48,3400,SJE
2007-04-13,13.89,13.89,13.63,13.89,800,SJE
2007-04-16,13.29,13.29,12.44,12.44,3100,SJE
2007-04-17,11.55,11.55,11.55,11.55,2500,SJE
2007-04-18,10.41,12.69,10.41,12.69,3700,SJE
2007-04-19,12.66,12.66,12.27,12.35,7700,SJE
2007-04-20,12.13,12.13,11.76,11.76,2800,SJE
2007-04-23,12.01,12.01,10.73,10.9,3100,SJE
2007-04-24,10.41,10.56,10.22,10.22,12300,SJE
2007-04-25,10.43,10.48,10.36,10.48,8700,SJE
2007-05-02,10.05,10.65,10.05,10.65,1200,SJE
2007-05-03,10.56,10.56,10.22,10.22,1600,SJE
2007-05-04,10.39,10.48,10.39,10.48,1100,SJE
2007-05-07,10.61,10.73,10.22,10.72,4400,SJE
2007-05-08,10.82,10.9,10.56,10.9,8200,SJE
2007-05-09,11.16,11.42,11.07,11.4,9800,SJE
2007-05-10,10.9,11.07,10.9,11.07,1300,SJE
2007-05-11,11.07,11.07,10.9,10.9,4400,SJE
2007-05-14,10.9,11.16,10.9,11.16,4400,SJE
2007-05-15,11.07,11.5,10.9,11.01,15100,SJE
2007-05-16,11.18,11.18,10.87,11.13,1500,SJE
2007-05-17,11.04,11.06,10.9,10.9,2500,SJE
2007-05-18,11.07,11.07,10.9,10.99,5200,SJE
2007-05-21,11.02,12.01,10.75,12.01,25400,SJE
2007-05-22,12.44,12.44,12.44,12.44,200,SJE
2007-05-23,13.68,13.68,13.12,13.68,22100,SJE
2007-05-24,13.46,13.46,12.28,12.35,13700,SJE
2007-05-25,11.42,13.63,11.33,13.46,11600,SJE
2007-05-28,13.12,13.63,12.78,12.78,13300,SJE
2007-05-29,13.46,13.46,12.78,13.03,7100,SJE
2007-05-30,12.61,12.62,12.35,12.54,9100,SJE
2007-05-31,12.61,12.78,12.49,12.78,7600,SJE
2007-06-01,12.78,12.78,12.61,12.78,9900,SJE
2007-06-04,12.95,12.95,12.1,12.34,9300,SJE
2007-06-05,12.01,12.01,11.76,11.93,9300,SJE
