time,open,high,low,close,volume,ticker
2014-07-08,6.34,6.34,6.34,6.34,2680,SKG
2014-07-09,6.77,6.77,6.77,6.77,100,SKG
2014-07-10,7.25,7.25,7.25,7.25,2640,SKG
2014-07-11,7.74,7.74,7.74,7.74,21660,SKG
2014-07-14,8.27,8.27,7.23,7.3,6870,SKG
2014-07-15,7.81,7.81,7.79,7.81,8860,SKG
2014-07-16,8.36,8.36,8.27,8.34,17270,SKG
2014-07-17,8.38,8.38,8.16,8.38,2360,SKG
2014-07-18,8.92,8.92,8.38,8.74,4950,SKG
2014-07-21,8.25,9.1,8.25,8.98,13880,SKG
2014-07-22,9.09,9.09,8.65,8.89,2340,SKG
2014-07-23,8.92,8.92,8.74,8.89,2380,SKG
2014-07-24,8.78,8.92,8.34,8.34,10370,SKG
2014-07-25,8.56,8.56,7.92,8.32,5270,SKG
2014-07-28,8.25,8.38,7.76,8.32,3280,SKG
2014-07-29,8.38,8.38,7.83,8.34,5180,SKG
2014-07-30,8.38,8.38,8.19,8.38,3190,SKG
2014-07-31,8.38,8.5,8.23,8.32,3910,SKG
2014-08-01,8.34,8.38,8.19,8.38,2270,SKG
2014-08-04,8.36,8.59,8.36,8.59,9860,SKG
2014-08-05,8.5,8.92,8.5,8.89,15420,SKG
2014-08-06,8.89,8.89,8.56,8.65,3250,SKG
2014-08-07,8.7,8.7,8.7,8.7,760,SKG
2014-08-08,8.49,8.74,8.47,8.63,1790,SKG
2014-08-11,8.72,8.8,8.49,8.8,8400,SKG
2014-08-12,8.58,8.74,8.38,8.74,3550,SKG
2014-08-13,8.74,8.74,8.38,8.67,3320,SKG
2014-08-14,8.65,8.67,8.58,8.67,1140,SKG
2014-08-15,8.38,8.65,8.38,8.38,860,SKG
2014-08-18,8.38,8.61,8.38,8.56,4770,SKG
2014-08-19,8.49,8.49,8.49,8.49,200,SKG
2014-08-20,8.3,8.32,8.12,8.12,10570,SKG
2014-08-21,8.27,8.29,8.16,8.29,1550,SKG
2014-08-22,8.34,8.36,8.1,8.29,12400,SKG
2014-08-25,8.29,8.29,8.1,8.16,8370,SKG
2014-08-26,8.32,8.41,8.01,8.18,11220,SKG
2014-08-27,8.01,8.09,7.83,8.05,12060,SKG
2014-08-28,8.07,8.18,8.01,8.18,2190,SKG
2014-08-29,8.05,8.18,7.94,8.18,4600,SKG
2014-09-03,8.18,8.18,8.14,8.14,7870,SKG
2014-09-04,8.43,8.65,8.16,8.32,32700,SKG
2014-09-05,8.45,8.45,8.19,8.3,13480,SKG
2014-09-08,8.49,8.52,8.34,8.52,10300,SKG
2014-09-09,8.38,8.38,8.32,8.34,15060,SKG
2014-09-10,8.19,8.34,8.19,8.34,32290,SKG
2014-09-11,8.34,8.45,8.34,8.43,3440,SKG
2014-09-12,8.43,8.83,8.43,8.56,36320,SKG
2014-09-15,8.74,8.76,8.59,8.74,19740,SKG
2014-09-16,8.73,9.17,8.73,9.17,20230,SKG
2014-09-17,9.2,9.37,8.94,9.15,4350,SKG
2014-09-18,9.13,9.13,8.73,8.92,9910,SKG
2014-09-19,8.58,8.85,8.58,8.85,2530,SKG
2014-09-22,8.73,9.0,8.73,9.0,3230,SKG
2014-09-23,8.85,8.98,8.73,8.73,4140,SKG
2014-09-24,8.73,8.94,8.73,8.75,2760,SKG
2014-09-25,8.75,8.83,8.73,8.75,8710,SKG
2014-09-26,8.92,8.92,8.73,8.92,3100,SKG
2014-09-29,8.88,8.9,8.85,8.9,1630,SKG
2014-09-30,8.83,8.94,8.83,8.94,490,SKG
2014-10-01,8.94,9.49,8.94,9.37,44420,SKG
2014-10-02,9.47,9.47,9.05,9.47,4070,SKG
2014-10-03,9.07,9.37,9.07,9.15,6690,SKG
2014-10-06,8.96,9.79,8.96,9.39,5030,SKG
2014-10-07,9.47,9.79,9.47,9.79,610,SKG
2014-10-08,9.79,9.79,9.28,9.54,5760,SKG
2014-10-09,9.54,9.54,9.26,9.41,4210,SKG
2014-10-10,9.2,9.37,9.2,9.28,3170,SKG
2014-10-13,9.37,9.75,9.28,9.37,3110,SKG
2014-10-14,9.28,9.49,9.17,9.49,6870,SKG
2014-10-15,9.37,9.37,9.15,9.28,27770,SKG
2014-10-16,9.37,9.75,8.94,8.98,10580,SKG
2014-10-17,9.58,9.58,9.34,9.54,1970,SKG
2014-10-20,9.54,10.0,9.37,9.94,121670,SKG
2014-10-21,10.0,10.47,10.0,10.41,134480,SKG
2014-10-22,10.41,10.6,10.07,10.24,30760,SKG
2014-10-23,10.24,10.47,9.79,10.15,27300,SKG
2014-10-24,9.79,10.15,9.71,9.81,25370,SKG
2014-10-27,9.98,9.98,9.49,9.64,16540,SKG
2014-10-28,10.0,10.0,9.45,9.47,10210,SKG
2014-10-29,9.47,9.75,9.47,9.71,12920,SKG
2014-10-30,9.98,9.98,9.58,9.77,1790,SKG
2014-10-31,9.49,9.77,9.49,9.75,25630,SKG
2014-11-03,9.71,9.83,9.51,9.51,19740,SKG
2014-11-04,9.66,9.66,9.37,9.39,18270,SKG
2014-11-05,9.68,9.68,9.37,9.49,11660,SKG
2014-11-06,9.47,9.79,9.47,9.49,17080,SKG
2014-11-07,9.49,9.77,9.47,9.71,7060,SKG
2014-11-10,9.77,9.79,9.6,9.79,11880,SKG
2014-11-11,9.79,9.79,9.58,9.77,22340,SKG
2014-11-12,9.58,9.75,9.37,9.58,55470,SKG
2014-11-13,9.58,9.68,9.54,9.64,3830,SKG
2014-11-14,9.64,9.68,9.56,9.58,20880,SKG
2014-11-17,9.73,9.73,9.41,9.43,61580,SKG
