time,open,high,low,close,volume,ticker
2017-10-25,21.22,22.38,18.8,20.01,858200,SKH
2017-10-26,20.56,20.62,19.41,19.41,113900,SKH
2017-10-27,19.71,20.07,19.1,19.41,150000,SKH
2017-10-30,19.1,19.59,17.89,17.89,192400,SKH
2017-10-31,18.19,18.19,17.59,17.59,106600,SKH
2017-11-01,17.59,17.59,16.92,16.98,169300,SKH
2017-11-02,16.92,18.8,16.68,17.77,234400,SKH
2017-11-03,17.95,18.01,16.98,17.1,110300,SKH
2017-11-06,17.28,18.31,16.98,18.25,135900,SKH
2017-11-07,18.37,18.44,17.71,18.19,82100,SKH
2017-11-08,18.37,18.37,17.65,18.19,81300,SKH
2017-11-09,17.83,18.07,17.77,17.89,38600,SKH
2017-11-10,17.77,17.83,17.53,17.59,56600,SKH
2017-11-13,17.71,17.71,17.28,17.28,38400,SKH
2017-11-14,17.22,17.22,16.98,17.1,66800,SKH
2017-11-15,17.1,17.16,16.86,16.98,105100,SKH
2017-11-16,16.98,16.98,16.8,16.92,26900,SKH
2017-11-17,16.86,17.04,16.68,16.74,57300,SKH
2017-11-20,16.8,16.86,16.56,16.8,21400,SKH
2017-11-21,16.74,16.74,16.56,16.68,29100,SKH
2017-11-22,16.68,17.4,16.68,16.98,63400,SKH
2017-11-23,16.98,17.34,16.98,17.16,23500,SKH
2017-11-24,17.16,18.8,17.1,18.13,149700,SKH
2017-11-27,18.19,18.19,17.65,17.65,18100,SKH
2017-11-28,17.34,17.71,17.22,17.4,35400,SKH
2017-11-29,17.16,17.95,16.98,16.98,56900,SKH
2017-11-30,17.1,17.28,16.98,17.1,56300,SKH
2017-12-01,17.04,17.22,16.98,17.1,56800,SKH
2017-12-04,17.04,17.22,16.98,17.04,111500,SKH
2017-12-05,17.22,17.22,16.74,16.8,50500,SKH
2017-12-06,16.74,16.92,16.74,16.92,34300,SKH
2017-12-07,16.8,16.92,16.8,16.86,51100,SKH
2017-12-08,17.16,17.46,16.86,17.22,98600,SKH
2017-12-11,17.22,17.22,16.86,16.86,19300,SKH
2017-12-12,16.98,17.22,16.86,17.1,60700,SKH
2017-12-13,16.98,17.34,16.98,17.04,26000,SKH
2017-12-14,17.1,17.1,16.98,17.04,64800,SKH
2017-12-15,17.16,17.16,16.98,16.98,16800,SKH
2017-12-18,17.46,17.46,16.98,16.98,30200,SKH
2017-12-19,17.1,17.1,16.8,16.98,115200,SKH
2017-12-20,16.92,17.16,16.92,17.16,35600,SKH
2017-12-21,17.1,17.22,16.98,16.98,29500,SKH
2017-12-22,16.98,17.04,16.86,16.92,28300,SKH
2017-12-25,16.92,16.92,16.68,16.92,46400,SKH
2017-12-26,16.98,16.98,16.43,16.74,99400,SKH
2017-12-27,16.86,16.92,16.37,16.68,47600,SKH
2017-12-28,16.49,16.62,16.37,16.37,61300,SKH
2017-12-29,16.49,16.49,16.13,16.37,54900,SKH
2018-01-02,16.31,16.37,16.13,16.19,63200,SKH
2018-01-03,16.19,16.37,16.07,16.25,101000,SKH
2018-01-04,16.92,16.92,15.95,16.07,27205,SKH
2018-01-05,16.07,16.19,16.07,16.19,31000,SKH
2018-01-08,16.13,16.68,16.07,16.31,31500,SKH
2018-01-09,16.37,16.68,16.07,16.37,75500,SKH
2018-01-10,16.62,16.98,16.62,16.74,75915,SKH
2018-01-11,16.98,16.98,16.37,16.68,48900,SKH
2018-01-12,16.56,16.56,16.37,16.56,49300,SKH
2018-01-15,16.43,16.43,16.19,16.19,48800,SKH
2018-01-16,16.19,16.37,16.19,16.25,22344,SKH
2018-01-17,16.25,16.37,16.25,16.25,15000,SKH
2018-01-18,16.25,16.25,15.89,16.13,40800,SKH
2018-01-19,16.31,16.31,15.95,16.07,11700,SKH
2018-01-22,15.89,15.89,15.58,15.58,38500,SKH
