time,open,high,low,close,volume,ticker
2017-02-14,8.39,0.0,0.0,0.0,0,SPV
2017-02-15,8.39,0.0,0.0,0.0,0,SPV
2017-02-16,8.39,0.0,0.0,0.0,0,SPV
2017-02-17,8.39,0.0,0.0,0.0,0,SPV
2017-02-20,8.39,0.0,0.0,0.0,0,SPV
2017-02-21,8.39,0.0,0.0,0.0,0,SPV
2017-02-22,8.39,0.0,0.0,0.0,0,SPV
2017-02-23,8.39,0.0,0.0,0.0,0,SPV
2017-02-24,8.39,0.0,0.0,0.0,0,SPV
2017-02-27,8.39,0.0,0.0,0.0,0,SPV
2017-02-28,8.39,0.0,0.0,0.0,0,SPV
2017-03-01,8.39,0.0,0.0,0.0,0,SPV
2017-03-02,8.39,0.0,0.0,0.0,0,SPV
2017-03-03,5.05,5.05,5.05,5.05,2700,SPV
2017-03-06,5.05,5.05,5.05,5.05,0,SPV
2017-03-07,5.05,5.05,5.05,5.05,0,SPV
2017-03-08,5.05,5.05,5.05,5.05,0,SPV
2017-03-09,5.05,5.05,5.05,5.05,0,SPV
2017-03-10,5.05,5.05,5.05,5.05,0,SPV
2017-03-13,4.32,4.32,4.32,4.32,5000,SPV
2017-03-14,4.89,4.89,4.89,4.89,4400,SPV
2017-03-15,4.89,4.89,4.89,4.89,0,SPV
2017-03-16,4.89,4.89,4.89,4.89,0,SPV
2017-03-17,4.89,4.89,4.89,4.89,0,SPV
2017-03-20,4.89,4.89,4.89,4.89,0,SPV
2017-03-21,4.89,4.89,4.89,4.89,0,SPV
2017-03-22,4.89,4.89,4.89,4.89,0,SPV
2017-03-23,4.89,4.89,4.89,4.89,0,SPV
2017-03-24,4.89,4.89,4.89,4.89,0,SPV
2017-03-27,4.89,4.89,4.89,4.89,0,SPV
2017-03-28,4.89,4.89,4.89,4.89,0,SPV
2017-03-29,5.62,5.62,5.62,5.62,100,SPV
2017-03-30,6.44,6.44,6.44,6.44,100,SPV
2017-03-31,6.44,6.44,6.44,6.44,0,SPV
2017-04-03,6.44,6.44,6.44,6.44,0,SPV
2017-04-04,6.44,6.44,6.44,6.44,0,SPV
2017-04-05,6.44,6.44,6.44,6.44,0,SPV
2017-04-07,6.44,6.44,6.44,6.44,0,SPV
2017-04-10,6.44,6.44,6.44,6.44,0,SPV
2017-04-11,6.44,6.44,6.44,6.44,0,SPV
2017-04-12,6.44,6.44,6.44,6.44,0,SPV
2017-04-13,6.44,6.44,6.44,6.44,0,SPV
2017-04-14,6.44,6.44,6.44,6.44,0,SPV
2017-04-17,6.44,6.44,6.44,6.44,0,SPV
2017-04-18,6.44,6.44,6.44,6.44,0,SPV
2017-04-19,6.44,6.44,6.44,6.44,0,SPV
2017-04-20,6.44,6.44,6.44,6.44,0,SPV
2017-04-21,6.44,6.44,6.44,6.44,0,SPV
2017-04-24,6.44,6.44,6.44,6.44,0,SPV
2017-04-25,6.44,6.44,6.44,6.44,0,SPV
2017-04-26,6.44,6.44,6.44,6.44,0,SPV
2017-04-27,6.44,6.44,6.44,6.44,0,SPV
2017-04-28,6.44,6.44,6.44,6.44,0,SPV
2017-05-03,6.44,6.44,6.44,6.44,0,SPV
2017-05-04,6.44,6.44,6.44,6.44,0,SPV
2017-05-05,6.44,6.44,6.44,6.44,0,SPV
2017-05-08,6.44,6.44,6.44,6.44,0,SPV
2017-05-09,6.44,6.44,6.44,6.44,0,SPV
2017-05-10,6.44,6.44,6.44,6.44,0,SPV
2017-05-11,6.44,6.44,6.44,6.44,0,SPV
2017-05-12,6.44,6.44,6.44,6.44,0,SPV
2017-05-15,6.44,6.44,6.44,6.44,0,SPV
2017-05-16,6.44,6.44,6.44,6.44,0,SPV
2017-05-17,6.44,6.44,6.44,6.44,0,SPV
2017-05-18,6.44,6.44,6.44,6.44,0,SPV
2017-05-19,6.44,6.44,6.44,6.44,0,SPV
2017-05-22,6.44,6.44,6.44,6.44,0,SPV
2017-05-23,6.44,6.44,6.44,6.44,0,SPV
2017-05-24,6.44,6.44,6.44,6.44,0,SPV
2017-05-25,6.44,6.44,6.44,6.44,0,SPV
2017-05-26,6.44,6.44,6.44,6.44,0,SPV
2017-05-29,6.44,6.44,6.44,6.44,0,SPV
2017-05-30,6.44,6.44,6.44,6.44,0,SPV
2017-05-31,6.44,6.44,6.44,6.44,0,SPV
2017-06-01,6.44,6.44,6.44,6.44,0,SPV
2017-06-02,6.44,6.44,6.44,6.44,0,SPV
2017-06-05,6.44,6.44,6.44,6.44,0,SPV
2017-06-06,6.44,6.44,6.44,6.44,0,SPV
2017-06-07,6.44,6.44,6.44,6.44,0,SPV
2017-06-08,6.44,6.44,6.44,6.44,0,SPV
2017-06-09,6.44,6.44,6.44,6.44,0,SPV
2017-06-12,6.44,6.44,6.44,6.44,0,SPV
2017-06-13,6.11,6.11,6.11,6.11,2500,SPV
2017-06-14,6.11,6.11,6.11,6.11,6700,SPV
2017-06-15,6.11,6.11,6.11,6.11,0,SPV
2017-06-16,6.11,6.11,6.11,6.11,0,SPV
2017-06-19,6.11,6.11,6.11,6.11,0,SPV
2017-06-20,6.11,6.11,6.11,6.11,0,SPV
2017-06-21,6.11,6.11,6.11,6.11,0,SPV
2017-06-22,6.11,6.11,6.11,6.11,0,SPV
2017-06-23,6.11,6.11,6.11,6.11,0,SPV
2017-06-26,6.11,6.11,6.11,6.11,0,SPV
2017-06-27,6.11,6.11,6.11,6.11,0,SPV
2017-06-28,6.11,6.11,6.11,6.11,0,SPV
2017-06-29,6.11,6.11,6.11,6.11,0,SPV
2017-06-30,6.11,6.11,6.11,6.11,0,SPV
2017-07-03,7.01,7.01,7.01,7.01,100,SPV
2017-07-04,7.01,7.01,7.01,7.01,0,SPV
2017-07-05,7.01,7.01,7.01,7.01,0,SPV
2017-07-06,7.01,7.01,7.01,7.01,0,SPV
2017-07-07,7.01,7.01,7.01,7.01,0,SPV
2017-07-10,7.01,7.01,7.01,7.01,0,SPV
2017-07-11,7.01,7.01,7.01,7.01,0,SPV
2017-07-12,7.01,7.01,7.01,7.01,0,SPV
2017-07-13,7.01,7.01,7.01,7.01,0,SPV
2017-07-14,7.01,7.01,7.01,7.01,0,SPV
2017-07-17,7.01,7.01,7.01,7.01,0,SPV
2017-07-18,6.76,6.76,6.76,6.76,13000,SPV
2017-07-19,6.76,6.76,6.76,6.76,0,SPV
2017-07-20,6.76,6.76,6.76,6.76,0,SPV
2017-07-21,6.76,6.76,6.76,6.76,0,SPV
2017-07-24,6.76,6.76,6.76,6.76,16000,SPV
2017-07-25,6.76,6.76,6.76,6.76,13000,SPV
2017-07-26,6.76,6.76,6.76,6.76,0,SPV
2017-07-27,6.68,6.68,6.68,6.68,5900,SPV
2017-07-28,6.52,6.52,6.52,6.52,20000,SPV
2017-07-31,6.52,6.52,6.52,6.52,0,SPV
2017-08-01,6.52,6.52,6.52,6.52,0,SPV
2017-08-02,6.52,6.52,6.52,6.52,0,SPV
2017-08-03,6.52,6.52,6.52,6.52,0,SPV
2017-08-04,6.52,6.52,6.52,6.52,0,SPV
2017-08-07,6.68,6.68,6.52,6.52,25000,SPV
2017-08-08,6.52,6.52,6.52,6.52,10000,SPV
2017-08-09,6.52,6.52,6.52,6.52,0,SPV
2017-08-10,6.52,6.52,6.52,6.52,0,SPV
2017-08-11,6.52,6.52,6.52,6.52,0,SPV
2017-08-14,6.52,6.52,6.52,6.52,0,SPV
2017-08-15,6.68,6.68,6.68,6.68,20000,SPV
2017-08-16,6.68,6.68,6.68,6.68,0,SPV
2017-08-17,6.68,6.68,6.68,6.68,0,SPV
2017-08-18,6.68,6.68,6.68,6.68,0,SPV
2017-08-21,6.68,6.68,6.68,6.68,0,SPV
2017-08-22,6.68,6.68,6.68,6.68,9500,SPV
2017-08-23,6.68,6.68,6.68,6.68,0,SPV
2017-08-24,6.68,6.68,6.68,6.68,0,SPV
2017-08-25,6.68,6.68,6.68,6.68,0,SPV
2017-08-28,6.68,6.68,6.68,6.68,0,SPV
2017-08-29,6.68,6.68,6.68,6.68,0,SPV
2017-08-30,6.68,6.68,6.68,6.68,0,SPV
2017-08-31,6.68,6.68,6.68,6.68,0,SPV
2017-09-01,6.68,6.68,6.68,6.68,0,SPV
