time,open,high,low,close,volume,ticker
2005-03-01,9.72,9.72,9.72,9.72,27280,SSC
2005-03-02,10.1,10.1,10.1,10.1,15580,SSC
2005-03-03,10.26,10.26,10.26,10.26,7260,SSC
2005-03-04,10.22,10.22,10.22,10.22,14880,SSC
2005-03-07,10.26,10.26,10.26,10.26,4230,SSC
2005-03-08,10.03,10.03,10.03,10.03,8690,SSC
2005-03-09,10.03,10.03,10.03,10.03,2100,SSC
2005-03-10,10.03,10.03,10.03,10.03,1000,SSC
2005-03-11,10.1,10.1,10.1,10.1,1500,SSC
2005-03-14,10.1,10.1,10.1,10.1,4500,SSC
2005-03-15,10.26,10.26,10.26,10.26,15450,SSC
2005-03-16,10.35,10.35,10.35,10.35,7410,SSC
2005-03-17,10.35,10.35,10.35,10.35,6900,SSC
2005-03-18,10.41,10.41,10.41,10.41,23530,SSC
2005-03-21,10.41,10.41,10.41,10.41,9200,SSC
2005-03-22,10.82,10.82,10.82,10.82,15470,SSC
2005-03-23,10.82,10.82,10.82,10.82,21590,SSC
2005-03-24,11.04,11.04,11.04,11.04,13910,SSC
2005-03-25,11.04,11.04,11.04,11.04,4140,SSC
2005-03-28,10.98,10.98,10.98,10.98,7260,SSC
2005-03-29,10.92,10.92,10.92,10.92,4430,SSC
2005-03-30,11.01,11.01,11.01,11.01,13910,SSC
2005-03-31,11.04,11.04,11.04,11.04,11630,SSC
2005-04-01,11.01,11.01,11.01,11.01,10180,SSC
2005-04-04,10.95,10.95,10.95,10.95,1500,SSC
2005-04-05,11.01,11.01,11.01,11.01,5600,SSC
2005-04-06,10.98,10.98,10.98,10.98,6500,SSC
2005-04-07,10.95,10.95,10.95,10.95,16060,SSC
2005-04-08,10.95,10.95,10.95,10.95,5470,SSC
2005-04-11,10.95,10.95,10.95,10.95,1010,SSC
2005-04-12,10.98,10.98,10.98,10.98,6260,SSC
2005-04-13,10.95,10.95,10.95,10.95,7920,SSC
2005-04-14,10.95,10.95,10.95,10.95,6000,SSC
2005-04-15,10.95,10.95,10.95,10.95,2050,SSC
2005-04-18,10.92,10.92,10.92,10.92,4120,SSC
2005-04-19,10.92,10.92,10.92,10.92,4270,SSC
2005-04-20,10.89,10.89,10.89,10.89,7020,SSC
2005-04-21,10.92,10.92,10.92,10.92,16250,SSC
2005-04-22,10.92,10.92,10.92,10.92,1560,SSC
2005-04-25,10.92,10.92,10.92,10.92,7350,SSC
2005-04-26,10.98,10.98,10.98,10.98,1580,SSC
2005-04-27,11.04,11.04,11.04,11.04,3030,SSC
2005-04-28,11.04,11.04,11.04,11.04,2180,SSC
2005-04-29,10.98,10.98,10.98,10.98,7500,SSC
2005-05-04,11.01,11.01,11.01,11.01,10,SSC
2005-05-05,10.95,10.95,10.95,10.95,3000,SSC
2005-05-06,10.98,10.98,10.98,10.98,4650,SSC
2005-05-09,10.92,10.92,10.92,10.92,8000,SSC
2005-05-10,10.95,10.95,10.95,10.95,3510,SSC
2005-05-11,10.92,10.92,10.92,10.92,9000,SSC
2005-05-12,10.89,10.89,10.89,10.89,4230,SSC
2005-05-13,10.92,10.92,10.92,10.92,7510,SSC
2005-05-16,10.89,10.89,10.89,10.89,1400,SSC
2005-05-17,10.76,10.76,10.76,10.76,4000,SSC
2005-05-18,10.76,10.76,10.76,10.76,920,SSC
2005-05-19,10.86,10.86,10.86,10.86,1530,SSC
2005-05-20,10.92,10.92,10.92,10.92,9690,SSC
2005-05-23,10.92,10.92,10.92,10.92,3700,SSC
2005-05-24,10.95,10.95,10.95,10.95,10,SSC
2005-05-25,10.95,10.95,10.95,10.95,3000,SSC
2005-05-26,10.92,10.92,10.92,10.92,1150,SSC
2005-05-27,10.98,10.98,10.98,10.98,10,SSC
2005-05-30,10.92,10.92,10.92,10.92,4840,SSC
2005-05-31,10.95,10.95,10.95,10.95,2800,SSC
2005-06-01,10.98,10.98,10.98,10.98,10330,SSC
2005-06-02,11.04,11.04,11.04,11.04,1010,SSC
2005-06-03,11.04,11.04,11.04,11.04,3560,SSC
2005-06-06,11.04,11.04,11.04,11.04,2610,SSC
2005-06-07,11.14,11.14,11.14,11.14,900,SSC
2005-06-08,11.2,11.2,11.2,11.2,6770,SSC
2005-06-09,11.23,11.23,11.23,11.23,11280,SSC
2005-06-10,11.23,11.23,11.23,11.23,1500,SSC
2005-06-13,11.2,11.2,11.2,11.2,100,SSC
2005-06-14,11.2,11.2,11.2,11.2,0,SSC
2005-06-15,11.2,11.2,11.2,11.2,20700,SSC
2005-06-16,11.2,11.2,11.2,11.2,5380,SSC
2005-06-17,11.2,11.2,11.2,11.2,100,SSC
2005-06-20,11.23,11.23,11.23,11.23,22800,SSC
2005-06-21,11.3,11.3,11.3,11.3,5530,SSC
2005-06-22,11.3,11.3,11.3,11.3,600,SSC
2005-06-23,11.33,11.33,11.33,11.33,520,SSC
2005-06-24,11.3,11.3,11.3,11.3,7280,SSC
2005-06-27,11.3,11.3,11.3,11.3,12700,SSC
2005-06-28,11.01,11.01,11.01,11.01,4700,SSC
2005-06-29,11.01,11.01,11.01,11.01,5030,SSC
2005-06-30,11.27,11.27,11.27,11.27,150,SSC
2005-07-01,11.17,11.17,11.17,11.17,10530,SSC
2005-07-04,11.17,11.17,11.17,11.17,2670,SSC
2005-07-05,11.17,11.17,11.17,11.17,350,SSC
2005-07-06,11.2,11.2,11.2,11.2,100,SSC
2005-07-07,11.14,11.14,11.14,11.14,13120,SSC
2005-07-08,11.17,11.17,11.17,11.17,9980,SSC
2005-07-11,11.17,11.17,11.17,11.17,6850,SSC
2005-07-12,11.17,11.17,11.17,11.17,20360,SSC
2005-07-13,11.2,11.2,11.2,11.2,7000,SSC
2005-07-14,11.27,11.27,11.27,11.27,11280,SSC
2005-07-15,11.3,11.3,11.3,11.3,7980,SSC
2005-07-18,11.3,11.3,11.3,11.3,1930,SSC
2005-07-19,11.33,11.33,11.33,11.33,3450,SSC
2005-07-20,11.36,11.36,11.36,11.36,21800,SSC
2005-07-21,11.45,11.45,11.45,11.45,7640,SSC
2005-07-22,11.45,11.45,11.45,11.45,3650,SSC
2005-07-25,11.52,11.52,11.52,11.52,860,SSC
2005-07-26,11.45,11.45,11.45,11.45,5580,SSC
2005-07-27,11.45,11.45,11.45,11.45,7650,SSC
2005-07-28,11.45,11.45,11.45,11.45,9080,SSC
2005-07-29,11.61,11.61,11.61,11.61,39030,SSC
2005-08-01,11.71,11.71,11.71,11.71,15030,SSC
2005-08-02,12.18,12.18,12.18,12.18,500,SSC
2005-08-03,12.18,12.18,12.18,12.18,2850,SSC
2005-08-04,12.59,12.59,12.59,12.59,900,SSC
2005-08-05,12.31,12.31,12.31,12.31,50,SSC
2005-08-08,12.02,12.02,12.02,12.02,900,SSC
2005-08-09,12.12,12.12,12.12,12.12,4270,SSC
2005-08-10,12.15,12.15,12.15,12.15,700,SSC
2005-08-11,12.09,12.09,12.09,12.09,2000,SSC
2005-08-12,12.09,12.09,12.09,12.09,470,SSC
2005-08-15,12.15,12.15,12.15,12.15,21790,SSC
2005-08-16,12.15,12.15,12.15,12.15,5700,SSC
2005-08-17,12.09,12.09,12.09,12.09,670,SSC
2005-08-18,11.99,11.99,11.99,11.99,1500,SSC
2005-08-19,12.09,12.09,12.09,12.09,7230,SSC
2005-08-22,12.15,12.15,12.15,12.15,8300,SSC
2005-08-23,12.28,12.28,12.28,12.28,16350,SSC
2005-08-24,12.31,12.31,12.31,12.31,8400,SSC
2005-08-25,12.31,12.31,12.31,12.31,6010,SSC
2005-08-26,12.31,12.31,12.31,12.31,0,SSC
2005-08-29,12.37,12.37,12.37,12.37,16120,SSC
2005-08-30,12.37,12.37,12.37,12.37,7220,SSC
2005-08-31,12.53,12.53,12.53,12.53,13410,SSC
2005-09-01,12.62,12.62,12.62,12.62,7040,SSC
2005-09-05,12.62,12.62,12.62,12.62,10000,SSC
2005-09-06,13.25,13.25,13.25,13.25,10,SSC
2005-09-07,13.16,13.16,13.16,13.16,250,SSC
2005-09-08,13.19,13.19,13.19,13.19,2340,SSC
2005-09-09,13.25,13.25,13.25,13.25,11660,SSC
2005-09-12,13.32,13.32,13.32,13.32,5500,SSC
2005-09-13,13.57,13.57,13.57,13.57,16420,SSC
2005-09-14,13.57,13.57,13.57,13.57,0,SSC
2005-09-15,13.57,13.57,13.57,13.57,3040,SSC
2005-09-16,13.57,13.57,13.57,13.57,2220,SSC
2005-09-19,13.88,13.88,13.88,13.88,11960,SSC
2005-09-20,14.52,14.52,14.52,14.52,13930,SSC
2005-09-21,13.79,13.79,13.79,13.79,5800,SSC
2005-09-22,14.42,14.42,14.42,14.42,4610,SSC
2005-09-23,14.42,14.42,14.42,14.42,1100,SSC
2005-09-26,14.04,14.04,14.04,14.04,2440,SSC
2005-09-27,14.2,14.2,14.2,14.2,5000,SSC
2005-09-28,14.11,14.11,14.11,14.11,14460,SSC
2005-09-29,14.23,14.23,14.23,14.23,10560,SSC
2005-09-30,14.93,14.93,14.93,14.93,9210,SSC
2005-10-03,14.83,14.83,14.83,14.83,6940,SSC
2005-10-04,14.2,14.2,14.2,14.2,780,SSC
2005-10-05,14.61,14.61,14.61,14.61,11730,SSC
2005-10-06,14.61,14.61,14.61,14.61,14500,SSC
2005-10-07,14.71,14.71,14.71,14.71,1160,SSC
2005-10-10,14.71,14.71,14.71,14.71,4680,SSC
2005-10-11,14.67,14.67,14.67,14.67,1310,SSC
2005-10-12,14.67,14.67,14.67,14.67,7110,SSC
2005-10-13,14.61,14.61,14.61,14.61,19540,SSC
2005-10-14,14.83,14.83,14.83,14.83,3540,SSC
2005-10-17,14.99,14.99,14.99,14.99,10400,SSC
2005-10-18,14.77,14.77,14.77,14.77,25530,SSC
2005-10-19,14.77,14.77,14.77,14.77,21560,SSC
2005-10-20,14.67,14.67,14.67,14.67,8580,SSC
2005-10-21,14.64,14.64,14.64,14.64,21210,SSC
2005-10-24,14.52,14.52,14.52,14.52,18980,SSC
2005-10-25,14.55,14.55,14.55,14.55,6090,SSC
2005-10-26,14.45,14.45,14.45,14.45,15200,SSC
2005-10-27,14.36,14.36,14.36,14.36,6790,SSC
2005-10-28,14.67,14.67,14.67,14.67,12700,SSC
2005-10-31,14.83,14.83,14.83,14.83,13500,SSC
2005-11-01,14.93,14.93,14.93,14.93,9700,SSC
2005-11-02,14.93,14.93,14.93,14.93,10180,SSC
2005-11-03,15.15,15.15,15.15,15.15,21330,SSC
2005-11-04,15.15,15.15,15.15,15.15,200,SSC
2005-11-07,15.15,15.15,15.15,15.15,2500,SSC
2005-11-08,14.99,14.99,14.99,14.99,3120,SSC
2005-11-09,14.86,14.86,14.86,14.86,1120,SSC
2005-11-10,14.71,14.71,14.71,14.71,10,SSC
2005-11-11,14.64,14.64,14.64,14.64,3360,SSC
2005-11-14,14.64,14.64,14.64,14.64,8000,SSC
2005-11-15,14.77,14.77,14.77,14.77,3130,SSC
2005-11-16,14.71,14.71,14.71,14.71,17810,SSC
2005-11-17,14.64,14.64,14.64,14.64,5500,SSC
2005-11-18,14.52,14.52,14.52,14.52,5950,SSC
2005-11-21,14.52,14.52,14.52,14.52,6550,SSC
2005-11-22,14.52,14.52,14.52,14.52,1050,SSC
2005-11-23,14.33,14.33,14.33,14.33,450,SSC
2005-11-24,14.2,14.2,14.2,14.2,3200,SSC
2005-11-25,14.26,14.26,14.26,14.26,3500,SSC
2005-11-28,14.14,14.14,14.14,14.14,3290,SSC
2005-11-29,14.2,14.2,14.2,14.2,320,SSC
