time,open,high,low,close,volume,ticker
2021-02-02,13.33,13.33,13.33,13.33,1037200,SVD
2021-02-03,14.24,14.24,13.83,14.24,1358300,SVD
2021-02-04,15.23,15.23,13.74,15.23,651000,SVD
2021-02-05,14.37,15.32,14.28,14.46,626000,SVD
2021-02-08,14.28,14.28,13.47,13.47,20100,SVD
2021-02-09,12.57,13.56,12.57,13.56,597200,SVD
2021-02-17,13.56,14.51,13.52,14.51,549200,SVD
2021-02-18,15.1,15.41,14.87,15.23,603500,SVD
2021-02-19,15.23,15.82,14.74,15.37,474900,SVD
2021-02-22,15.37,15.82,15.23,15.41,395200,SVD
2021-02-23,15.41,15.41,14.92,15.23,269700,SVD
2021-02-24,15.23,16.27,14.92,16.27,773700,SVD
2021-02-25,16.91,16.91,15.19,16.45,482400,SVD
2021-02-26,16.45,16.5,15.37,15.82,351400,SVD
2021-03-01,15.82,15.87,15.37,15.82,251700,SVD
2021-03-02,15.82,16.72,15.37,16.09,383800,SVD
2021-03-03,16.09,16.09,15.01,15.55,432500,SVD
2021-03-04,15.5,16.0,14.46,15.37,425400,SVD
2021-03-05,15.37,15.37,14.33,15.1,347500,SVD
2021-03-08,15.1,15.37,14.06,15.28,556900,SVD
2021-03-09,14.46,15.32,14.24,14.74,367500,SVD
2021-03-10,14.74,14.74,13.74,14.28,535400,SVD
2021-03-11,14.1,15.28,13.29,14.92,776400,SVD
2021-03-12,13.88,15.19,13.88,14.78,272000,SVD
2021-03-15,13.92,14.28,13.79,14.28,115200,SVD
2021-03-16,13.29,13.38,13.29,13.33,146900,SVD
2021-03-17,12.48,14.24,12.43,14.19,717100,SVD
2021-03-18,13.56,13.56,13.24,13.56,123800,SVD
2021-03-19,13.33,13.52,12.61,12.61,176700,SVD
2021-03-22,12.61,13.38,11.75,12.66,491700,SVD
2021-03-23,12.02,12.61,11.8,12.25,179400,SVD
2021-03-24,11.48,12.11,11.44,11.44,632900,SVD
2021-03-25,10.8,11.75,10.67,11.62,337300,SVD
2021-03-26,11.44,11.57,10.85,11.39,170500,SVD
2021-03-29,11.39,11.71,10.62,11.48,1068000,SVD
2021-03-30,11.39,11.48,10.71,11.26,544100,SVD
2021-03-31,10.71,12.02,10.49,11.75,1348000,SVD
2021-04-01,11.3,11.66,10.94,10.98,496700,SVD
2021-04-02,10.85,10.85,10.22,10.85,615000,SVD
2021-04-05,10.31,10.76,10.13,10.67,589600,SVD
2021-04-06,10.67,10.67,9.94,9.94,794600,SVD
2021-04-07,9.31,10.53,9.27,10.03,1109800,SVD
2021-04-08,9.94,9.94,9.36,9.76,403200,SVD
2021-04-09,9.22,9.45,9.09,9.09,602000,SVD
2021-04-12,8.5,9.09,8.45,8.45,1028600,SVD
2021-04-13,8.14,8.68,7.87,8.3,401300,SVD
2021-04-14,8.31,8.88,8.23,8.88,841200,SVD
2021-04-15,9.18,9.49,9.18,9.49,358200,SVD
