time,open,high,low,close,volume,ticker
2006-12-26,18.6,18.6,18.6,18.6,610,TAC
2006-12-27,17.73,17.73,17.73,17.73,19930,TAC
2006-12-28,16.86,16.86,16.86,16.86,11680,TAC
2006-12-29,16.12,16.12,16.12,16.12,6090,TAC
2006-12-28,16.86,16.86,16.86,16.86,11680,TAC
2006-12-29,16.12,16.12,16.12,16.12,6090,TAC
2007-01-02,15.37,15.37,15.37,15.37,4620,TAC
2007-01-03,15.12,15.12,14.63,15.12,78760,TAC
2007-01-04,15.87,15.87,15.87,15.87,92180,TAC
2007-01-05,16.11,16.12,15.87,15.87,88740,TAC
2007-01-08,15.62,15.62,15.12,15.62,85840,TAC
2007-01-09,15.37,15.37,15.37,15.37,36400,TAC
2007-01-10,15.37,15.37,15.12,15.12,50430,TAC
2007-01-11,15.12,15.12,14.88,14.88,43810,TAC
2007-01-12,14.88,14.88,14.88,14.88,45860,TAC
2007-01-15,14.88,14.88,14.88,14.88,30400,TAC
2007-01-16,15.37,15.37,14.88,15.37,138950,TAC
2007-01-17,16.11,16.12,15.87,15.87,112340,TAC
2007-01-18,15.37,15.37,15.12,15.37,41700,TAC
2007-01-19,15.37,15.37,14.88,14.88,37430,TAC
2007-01-22,14.88,14.88,14.38,14.38,43980,TAC
2007-01-23,14.63,14.63,14.38,14.63,70090,TAC
2007-01-24,14.63,14.63,14.63,14.63,49990,TAC
2007-01-25,14.88,14.88,14.38,14.38,44480,TAC
2007-01-26,14.5,14.5,14.38,14.5,20120,TAC
2007-01-29,14.88,15.12,14.63,14.88,68390,TAC
2007-01-30,15.25,15.25,15.12,15.12,61360,TAC
2007-01-31,15.37,15.37,15.25,15.25,40530,TAC
2007-02-01,15.37,15.37,15.12,15.25,28080,TAC
2007-02-02,14.5,14.5,14.5,14.5,31180,TAC
2007-02-05,14.63,14.63,14.5,14.63,51240,TAC
2007-02-06,15.12,15.12,14.63,14.63,47970,TAC
2007-02-07,14.13,14.38,14.01,14.13,72410,TAC
2007-02-08,14.01,14.01,13.88,13.88,54470,TAC
2007-02-09,13.64,13.88,13.26,13.64,36390,TAC
2007-02-12,14.26,14.26,14.26,14.26,14100,TAC
2007-02-13,14.88,14.88,14.88,14.88,53130,TAC
2007-02-14,14.88,14.88,14.88,14.88,39090,TAC
2007-02-15,14.88,14.88,14.63,14.88,16320,TAC
2007-02-26,14.88,14.88,14.88,14.88,55560,TAC
