time,open,high,low,close,volume,ticker
2012-02-27,3.57,3.57,3.5,3.5,20000,TCO
2012-02-28,3.4,3.5,3.4,3.5,60,TCO
2012-02-29,3.5,3.5,3.5,3.5,10,TCO
2012-03-01,3.5,3.5,3.5,3.5,0,TCO
2012-03-02,3.57,3.57,3.57,3.57,100,TCO
2012-03-05,3.4,3.5,3.4,3.4,36620,TCO
2012-03-06,3.4,3.4,3.4,3.4,0,TCO
2012-03-07,3.57,3.57,3.23,3.23,40,TCO
2012-03-08,3.37,3.37,3.23,3.23,540,TCO
2012-03-09,3.23,3.37,3.23,3.37,50,TCO
2012-03-12,3.47,3.47,3.47,3.47,20,TCO
2012-03-13,3.54,3.54,3.54,3.54,50,TCO
2012-03-14,3.54,3.6,3.43,3.43,90,TCO
2012-03-15,3.4,3.47,3.4,3.47,8130,TCO
2012-03-16,3.3,3.47,3.3,3.47,15010,TCO
2012-03-19,3.4,3.4,3.4,3.4,3000,TCO
2012-03-20,3.23,3.4,3.23,3.37,120,TCO
2012-03-21,3.4,3.4,3.4,3.4,10,TCO
2012-03-22,3.23,3.4,3.23,3.4,1120,TCO
2012-03-23,3.23,3.4,3.23,3.4,470,TCO
2012-03-26,3.4,3.4,3.4,3.4,0,TCO
2012-03-27,3.4,3.4,3.4,3.4,0,TCO
2012-03-28,3.43,3.43,3.4,3.4,3000,TCO
2012-03-29,3.37,3.4,3.37,3.4,12470,TCO
2012-03-30,3.4,3.4,3.4,3.4,0,TCO
2012-04-03,3.23,3.4,3.23,3.4,2600,TCO
2012-04-04,3.4,3.4,3.4,3.4,0,TCO
2012-04-05,3.54,3.54,3.54,3.54,10,TCO
2012-04-06,3.69,3.69,3.61,3.61,220,TCO
2012-04-09,3.44,3.69,3.44,3.69,5230,TCO
2012-04-10,3.69,3.69,3.69,3.69,0,TCO
2012-04-11,3.69,3.69,3.69,3.69,250,TCO
2012-04-12,3.69,3.69,3.69,3.69,0,TCO
2012-04-13,3.72,3.72,3.72,3.72,10,TCO
2012-04-16,3.72,3.72,3.72,3.72,0,TCO
2012-04-17,3.65,3.65,3.65,3.65,17610,TCO
2012-04-18,3.58,3.58,3.58,3.58,3000,TCO
2012-04-19,3.4,3.58,3.4,3.58,5070,TCO
2012-04-20,3.58,3.58,3.58,3.58,0,TCO
2012-04-23,3.4,3.54,3.4,3.54,3010,TCO
2012-04-24,3.51,3.54,3.51,3.54,10010,TCO
2012-04-25,3.51,3.51,3.51,3.51,10,TCO
2012-04-26,3.65,3.65,3.65,3.65,10,TCO
2012-04-27,3.51,3.54,3.51,3.54,4930,TCO
2012-05-02,3.47,3.54,3.47,3.54,20,TCO
2012-05-03,3.58,3.69,3.58,3.69,16820,TCO
2012-05-04,3.58,3.58,3.58,3.58,3030,TCO
2012-05-07,3.54,3.54,3.47,3.54,8590,TCO
2012-05-08,3.44,3.51,3.4,3.44,5170,TCO
2012-05-09,3.44,3.58,3.29,3.29,4660,TCO
2012-05-10,3.44,3.44,3.29,3.44,3260,TCO
2012-05-11,3.44,3.58,3.44,3.58,5430,TCO
2012-05-14,3.58,3.58,3.4,3.54,4010,TCO
2012-05-15,3.51,3.51,3.51,3.51,5000,TCO
