time,open,high,low,close,volume,ticker
2018-05-25,12.19,12.19,12.14,12.19,515600,TGG
2018-05-28,13.0,13.0,12.91,13.0,399000,TGG
2018-05-29,13.91,13.91,13.57,13.91,665890,TGG
2018-05-30,14.1,14.24,13.62,13.62,604060,TGG
2018-05-31,13.57,13.62,13.29,13.33,237300,TGG
2018-06-01,13.29,13.38,13.19,13.33,181350,TGG
2018-06-04,13.33,13.38,13.24,13.29,161900,TGG
2018-06-05,13.29,13.43,13.19,13.38,206220,TGG
2018-06-06,13.38,13.38,13.24,13.33,268940,TGG
2018-06-07,13.33,13.38,13.24,13.33,115630,TGG
2018-06-08,13.33,14.24,13.24,14.24,1296600,TGG
2018-06-11,14.24,15.19,13.81,15.19,987650,TGG
2018-06-12,15.24,15.71,14.29,14.38,494530,TGG
2018-06-13,14.24,14.24,13.38,13.76,702310,TGG
2018-06-14,13.76,13.86,13.29,13.81,323710,TGG
2018-06-15,13.81,13.86,13.62,13.76,200880,TGG
2018-06-18,13.76,13.95,13.62,13.86,251610,TGG
2018-06-19,13.86,13.91,13.62,13.81,232120,TGG
2018-06-20,13.81,13.86,13.67,13.81,204540,TGG
2018-06-21,13.81,13.86,13.67,13.76,184590,TGG
2018-06-22,13.76,13.81,13.67,13.76,167800,TGG
2018-06-25,13.76,14.71,13.43,14.71,1022220,TGG
2018-06-26,14.76,14.76,13.71,14.05,1508370,TGG
2018-06-27,14.05,14.33,14.05,14.19,737080,TGG
2018-06-28,14.19,14.29,13.91,14.19,153020,TGG
2018-06-29,14.19,14.24,14.1,14.14,127490,TGG
2018-07-02,14.14,14.14,13.95,14.1,136500,TGG
2018-07-03,14.1,14.14,14.0,14.1,116180,TGG
2018-07-04,14.1,14.24,13.95,14.19,189460,TGG
2018-07-05,14.19,14.48,14.1,14.48,291910,TGG
2018-07-06,14.52,14.57,14.19,14.33,199970,TGG
2018-07-09,14.33,14.48,14.19,14.38,248010,TGG
2018-07-10,14.38,14.43,14.24,14.29,206680,TGG
2018-07-11,14.29,14.38,13.91,14.33,241840,TGG
2018-07-12,14.33,15.33,14.24,15.33,634820,TGG
2018-07-13,15.38,16.29,15.33,16.29,444580,TGG
2018-07-16,16.29,17.05,16.29,17.05,259300,TGG
2018-07-17,17.05,17.76,17.0,17.76,301050,TGG
2018-07-18,17.76,17.81,17.43,17.62,158730,TGG
2018-07-19,17.62,18.19,17.52,18.19,297460,TGG
2018-07-20,18.24,18.29,16.95,17.62,439970,TGG
2018-07-23,17.62,18.33,17.57,18.33,321680,TGG
2018-07-24,18.33,18.57,17.95,18.48,336570,TGG
2018-07-25,18.48,19.29,18.24,19.29,799840,TGG
2018-07-26,19.33,20.62,19.29,20.0,1175960,TGG
2018-07-27,20.05,21.33,19.52,21.33,750420,TGG
2018-07-30,21.24,21.29,19.86,19.86,113180,TGG
2018-07-31,19.05,19.91,18.48,18.48,141130,TGG
2018-08-01,18.29,18.52,17.19,18.48,791190,TGG
2018-08-02,18.52,18.81,18.05,18.1,421060,TGG
2018-08-03,18.1,18.14,17.67,18.14,152830,TGG
2018-08-06,18.14,18.19,17.81,18.1,96150,TGG
2018-08-07,18.1,19.33,17.91,19.33,676670,TGG
2018-08-08,19.43,20.67,19.43,20.67,128930,TGG
2018-08-09,21.7,22.1,21.7,22.1,58100,TGG
2018-08-10,23.1,23.6,23.1,23.6,307180,TGG
2018-08-13,24.0,25.25,22.1,25.25,375780,TGG
2018-08-14,25.6,27.0,23.8,27.0,506980,TGG
2018-08-15,27.4,27.65,25.15,26.55,739340,TGG
2018-08-16,26.55,26.55,24.7,25.5,566110,TGG
2018-08-17,25.5,26.8,25.1,26.5,289950,TGG
2018-08-20,26.55,28.35,26.0,28.35,397260,TGG
2018-08-21,28.5,30.3,26.4,30.3,797150,TGG
2018-08-22,30.5,30.65,28.6,29.0,142850,TGG
2018-08-23,29.0,29.05,28.6,29.05,343420,TGG
2018-08-24,29.0,29.0,27.05,28.3,407470,TGG
2018-08-27,28.3,28.55,27.8,28.35,222550,TGG
2018-08-28,28.35,28.35,27.9,28.1,91750,TGG
2018-08-29,28.1,28.3,26.15,28.3,266060,TGG
2018-08-30,28.3,28.3,26.35,28.05,126020,TGG
2018-08-31,28.05,28.05,26.1,27.0,16490,TGG
2018-09-04,26.8,26.95,25.15,25.15,54450,TGG
2018-09-05,24.5,24.5,23.4,23.4,7130,TGG
2018-09-06,21.8,21.8,21.8,21.8,790,TGG
2018-09-07,20.3,20.3,20.3,20.3,7560,TGG
2018-09-10,18.9,18.9,18.9,18.9,8460,TGG
2018-09-11,17.6,18.5,17.6,18.0,61180,TGG
2018-09-12,18.0,19.0,16.75,19.0,157880,TGG
2018-09-13,19.05,19.7,17.7,19.55,163280,TGG
2018-09-14,19.55,19.65,18.2,19.0,138280,TGG
2018-09-17,19.0,19.0,17.7,18.5,450060,TGG
2018-09-18,18.4,18.85,17.25,18.85,500440,TGG
2018-09-19,18.85,18.9,17.55,18.85,400050,TGG
2018-09-20,18.8,18.8,17.55,17.55,204000,TGG
2018-09-21,17.6,17.7,16.35,16.35,614270,TGG
2018-09-24,15.25,16.0,15.25,15.25,70040,TGG
2018-09-25,14.2,14.2,14.2,14.2,212930,TGG
2018-09-26,13.25,15.15,13.25,15.15,873740,TGG
2018-09-27,16.0,16.0,14.1,15.0,471160,TGG
2018-09-28,15.0,15.8,13.95,15.8,782430,TGG
2018-10-01,15.4,15.4,14.7,14.7,169430,TGG
2018-10-02,13.7,14.2,13.7,13.7,247580,TGG
2018-10-03,13.7,13.7,12.75,13.3,1114960,TGG
2018-10-04,13.3,13.3,12.4,12.4,628500,TGG
