time,open,high,low,close,volume,ticker
2010-05-21,16.53,16.53,16.53,16.53,17000,TNT
2010-05-24,17.28,17.33,17.22,17.33,274990,TNT
2010-05-25,18.14,18.14,17.22,18.08,143110,TNT
2010-05-26,18.37,18.48,17.56,18.37,87400,TNT
2010-05-27,18.37,18.37,17.45,18.25,70130,TNT
2010-05-28,18.14,18.37,17.68,18.37,146910,TNT
2010-05-31,18.54,18.54,17.45,18.31,243720,TNT
2010-06-01,19.17,19.17,18.08,19.17,114260,TNT
2010-06-02,19.98,20.09,19.98,20.09,86000,TNT
2010-06-03,21.07,21.07,21.07,21.07,13610,TNT
2010-06-04,22.1,22.1,20.66,21.98,523940,TNT
2010-06-07,20.89,21.24,20.89,20.89,115300,TNT
2010-06-08,19.92,20.55,19.86,19.98,160690,TNT
2010-06-09,20.95,20.95,20.61,20.84,133550,TNT
2010-06-10,20.03,20.66,19.98,19.98,158510,TNT
2010-06-11,20.61,20.61,19.98,20.55,109600,TNT
2010-06-14,20.66,20.95,20.2,20.66,160630,TNT
2010-06-15,21.52,21.52,20.66,20.66,197100,TNT
2010-06-16,20.89,21.12,20.66,20.78,148220,TNT
2010-06-17,20.78,21.81,20.66,21.81,305880,TNT
2010-06-18,22.33,22.39,21.52,22.1,182300,TNT
2010-06-21,22.1,22.67,22.1,22.5,134950,TNT
2010-06-22,21.41,22.96,21.41,21.41,93660,TNT
2010-06-23,21.01,21.47,20.95,21.01,82690,TNT
2010-06-24,21.24,21.24,20.43,20.43,46780,TNT
2010-06-25,20.49,21.41,20.43,21.41,147870,TNT
2010-06-28,21.75,21.81,20.61,20.61,40000,TNT
2010-06-29,20.61,20.66,20.09,20.49,71430,TNT
2010-06-30,20.09,20.09,19.86,19.86,21820,TNT
2010-07-01,19.52,19.86,18.88,19.52,122110,TNT
2010-07-02,19.52,19.52,18.94,19.23,28420,TNT
2010-07-05,20.09,20.09,18.94,19.06,50410,TNT
2010-07-06,18.83,18.83,18.14,18.14,75730,TNT
2010-07-07,18.77,18.83,18.14,18.14,56880,TNT
2010-07-08,18.54,18.54,18.14,18.14,61730,TNT
2010-07-09,17.68,18.54,17.68,17.74,18100,TNT
2010-07-12,16.99,17.56,16.99,17.51,38830,TNT
2010-07-13,17.51,18.37,17.51,18.37,83440,TNT
2010-07-14,18.94,18.94,17.56,17.56,50280,TNT
2010-07-15,18.43,18.43,18.43,18.43,16990,TNT
2010-07-16,19.34,19.34,19.34,19.34,19180,TNT
2010-07-19,19.34,19.34,18.48,18.6,102760,TNT
2010-07-20,18.88,19.34,18.37,18.88,30510,TNT
2010-07-21,19.17,19.17,18.14,18.94,85400,TNT
2010-07-22,18.66,19.06,18.66,18.94,91800,TNT
2010-07-23,18.94,18.94,18.37,18.37,34100,TNT
2010-07-26,18.83,18.83,18.08,18.08,37530,TNT
2010-07-27,17.62,18.08,17.51,17.62,47670,TNT
2010-07-28,16.93,17.51,16.93,16.93,61570,TNT
2010-07-29,16.53,17.22,16.53,16.82,45540,TNT
2010-07-30,17.39,17.62,17.22,17.62,62070,TNT
2010-08-02,17.68,18.43,17.62,17.62,80080,TNT
2010-08-03,17.97,17.97,17.51,17.51,97140,TNT
2010-08-04,16.93,17.79,16.93,17.22,42880,TNT
2010-08-05,17.79,17.79,16.99,17.45,11140,TNT
2010-08-06,17.45,17.45,16.99,17.39,64990,TNT
2010-08-09,17.39,17.39,16.53,16.53,43700,TNT
2010-08-10,15.78,16.36,15.73,15.78,65240,TNT
2010-08-11,15.27,16.53,15.27,16.53,34600,TNT
2010-08-12,16.07,16.07,15.73,15.73,23150,TNT
2010-08-13,15.04,15.44,14.98,14.98,57750,TNT
2010-08-16,15.73,15.73,14.41,15.73,36430,TNT
2010-08-17,16.47,16.47,16.47,16.47,113400,TNT
2010-08-18,17.28,17.28,17.22,17.28,312090,TNT
2010-08-19,16.7,17.16,16.53,16.59,48650,TNT
2010-08-20,16.24,16.24,15.78,16.07,89390,TNT
2010-08-23,15.78,16.59,15.78,15.78,12530,TNT
2010-08-24,15.04,15.04,15.04,15.04,37550,TNT
2010-08-25,14.29,14.29,14.29,14.29,55680,TNT
2010-08-26,13.72,13.89,13.6,13.78,86770,TNT
2010-08-27,13.09,13.49,13.09,13.09,45790,TNT
2010-08-30,13.66,13.72,13.66,13.72,38000,TNT
2010-08-31,14.18,14.35,14.06,14.35,39620,TNT
2010-09-01,14.35,15.04,14.35,15.04,68450,TNT
2010-09-06,15.78,15.78,15.78,15.78,22340,TNT
2010-09-07,16.3,16.53,15.78,16.53,134210,TNT
2010-09-08,17.16,17.33,16.47,17.33,207460,TNT
2010-09-09,18.2,18.2,18.02,18.2,106580,TNT
2010-09-10,18.2,19.06,17.33,17.33,159670,TNT
2010-09-13,18.08,18.08,16.47,17.33,139070,TNT
2010-09-14,16.53,18.14,16.53,17.85,93490,TNT
2010-09-15,17.79,18.54,17.62,17.79,60100,TNT
