time,open,high,low,close,volume,ticker
2021-09-08,33.4,33.4,33.4,33.4,9000,TOS
2021-09-09,38.4,38.4,38.4,38.4,8000,TOS
2021-09-10,44.14,44.14,44.14,44.14,10000,TOS
2021-09-13,50.7,50.7,50.7,50.7,12100,TOS
2021-09-14,57.41,58.31,57.41,58.31,16500,TOS
2021-09-15,64.87,67.03,64.13,67.03,21900,TOS
2021-09-16,74.56,76.95,59.58,59.58,8621,TOS
2021-09-17,53.91,59.58,53.91,58.83,8829,TOS
2021-09-20,46.45,49.96,46.45,46.45,33700,TOS
2021-09-21,44.89,46.45,39.59,46.45,15700,TOS
2021-09-22,46.53,46.53,44.74,44.74,4706,TOS
2021-09-23,44.74,44.74,43.99,43.99,3001,TOS
2021-09-24,41.01,41.16,38.92,39.07,19603,TOS
2021-09-27,37.88,39.15,35.79,36.54,8301,TOS
2021-09-28,37.8,42.5,37.8,42.5,2500,TOS
2021-09-29,42.43,42.43,42.13,42.35,1100,TOS
2021-09-30,42.35,42.35,41.09,41.09,700,TOS
2021-10-01,35.57,42.35,35.49,42.13,1301,TOS
2021-10-04,42.35,42.35,42.35,42.35,400,TOS
2021-10-05,42.35,42.35,41.01,42.35,5200,TOS
2021-10-06,42.05,42.05,42.05,42.05,4200,TOS
2021-10-07,42.05,42.05,42.05,42.05,0,TOS
2021-10-08,41.98,42.05,41.76,42.05,5700,TOS
2021-10-11,42.05,42.05,41.98,42.05,6900,TOS
2021-10-12,42.05,42.13,41.76,42.05,4800,TOS
2021-10-13,42.05,42.05,42.05,42.05,0,TOS
2021-10-14,42.05,42.05,42.05,42.05,4000,TOS
2021-10-15,39.52,40.26,39.52,40.26,300,TOS
2021-10-18,40.04,40.04,40.04,40.04,200,TOS
2021-10-19,40.04,43.25,40.04,41.76,7201,TOS
2021-10-20,37.28,43.25,37.28,43.25,9400,TOS
2021-10-21,40.26,40.26,39.52,39.52,3404,TOS
2021-10-22,39.97,39.97,39.74,39.74,4968,TOS
2021-10-25,40.12,40.12,40.12,40.12,5200,TOS
2021-10-26,40.26,40.26,40.12,40.26,3400,TOS
2021-10-27,40.26,40.26,40.26,40.26,1800,TOS
2021-10-28,40.26,40.26,40.26,40.26,0,TOS
2021-10-29,43.25,43.25,40.41,42.13,1837,TOS
2021-11-01,42.5,47.72,42.5,46.98,46800,TOS
2021-11-02,50.7,50.7,46.98,46.98,12000,TOS
2021-11-03,48.47,51.45,47.35,47.35,8400,TOS
2021-11-04,46.98,46.98,45.04,45.11,18700,TOS
2021-11-05,45.11,45.34,44.74,44.89,5400,TOS
2021-11-08,45.71,45.86,44.96,45.04,9100,TOS
2021-11-09,45.19,45.19,44.29,44.29,5900,TOS
2021-11-10,44.74,44.74,43.99,44.74,11470,TOS
2021-11-11,45.11,45.11,43.99,43.99,17100,TOS
2021-11-12,45.48,45.48,43.25,44.59,2900,TOS
2021-11-15,45.04,45.04,43.99,43.99,6700,TOS
2021-11-16,44.96,44.96,44.07,44.07,3100,TOS
2021-11-17,43.02,44.07,42.95,43.02,4500,TOS
2021-11-18,43.02,43.25,43.02,43.25,2300,TOS
