time,open,high,low,close,volume,ticker
2008-09-26,3.45,3.45,2.78,3.08,21400,TPP
2008-09-29,2.87,2.87,2.87,2.87,2900,TPP
2008-09-30,2.87,2.87,2.87,2.87,0,TPP
2008-10-01,2.67,2.67,2.67,2.67,5000,TPP
2008-10-02,2.48,2.5,2.48,2.48,9800,TPP
2008-10-03,2.31,2.39,2.31,2.31,15700,TPP
2008-10-06,2.17,2.19,2.17,2.17,45200,TPP
2008-10-07,2.04,2.16,2.04,2.16,16600,TPP
2008-10-08,2.22,2.22,2.16,2.22,17800,TPP
2008-10-09,2.37,2.37,2.37,2.37,16000,TPP
2008-10-10,2.51,2.53,2.22,2.22,23700,TPP
2008-10-13,2.16,2.31,2.16,2.16,11300,TPP
2008-10-14,2.31,2.31,2.31,2.31,32400,TPP
2008-10-15,2.39,2.39,2.16,2.16,7700,TPP
2008-10-16,2.05,2.05,2.05,2.05,17000,TPP
2008-10-17,2.05,2.05,2.05,2.05,1000,TPP
2008-10-20,2.0,2.0,2.0,2.0,500,TPP
2008-10-21,2.0,2.0,1.87,1.93,13600,TPP
2008-10-22,1.84,2.0,1.84,2.0,1400,TPP
2008-10-23,1.79,1.79,1.79,1.79,12500,TPP
2008-10-24,1.77,1.77,1.71,1.71,400,TPP
2008-10-27,1.62,1.62,1.62,1.62,9700,TPP
2008-10-28,1.51,1.71,1.51,1.62,6300,TPP
2008-10-29,1.76,1.79,1.7,1.77,7600,TPP
2008-10-30,1.68,1.77,1.68,1.77,1700,TPP
2008-10-31,1.85,1.9,1.84,1.9,13900,TPP
2008-11-03,1.76,1.76,1.74,1.74,3000,TPP
2008-11-04,1.85,1.87,1.84,1.87,13100,TPP
2008-11-05,1.97,1.97,1.96,1.96,800,TPP
2008-11-06,1.84,1.84,1.84,1.84,500,TPP
2008-11-07,1.71,1.71,1.71,1.71,1600,TPP
2008-11-10,1.71,1.73,1.71,1.73,1100,TPP
2008-11-11,1.63,1.63,1.6,1.62,3000,TPP
2008-11-12,1.71,1.73,1.71,1.73,11000,TPP
2008-11-13,1.77,1.84,1.77,1.84,6900,TPP
2008-11-14,1.85,1.93,1.85,1.85,18000,TPP
2008-11-17,1.85,1.85,1.85,1.85,0,TPP
2008-11-18,1.79,1.79,1.79,1.79,2800,TPP
2008-11-19,1.84,1.84,1.84,1.84,100,TPP
2008-11-20,1.73,1.77,1.73,1.76,5000,TPP
2008-11-21,1.67,1.67,1.65,1.65,7000,TPP
2008-11-24,1.65,1.65,1.65,1.65,0,TPP
2008-11-25,1.7,1.7,1.7,1.7,100,TPP
2008-11-26,1.7,1.7,1.7,1.7,0,TPP
2008-11-27,1.6,1.8,1.6,1.62,3000,TPP
2008-11-28,1.68,1.68,1.68,1.68,700,TPP
2008-12-01,1.59,1.59,1.59,1.59,2000,TPP
2008-12-02,1.59,1.59,1.59,1.59,2000,TPP
2008-12-03,1.59,1.59,1.59,1.59,1600,TPP
2008-12-04,1.59,1.59,1.59,1.59,0,TPP
2008-12-05,1.59,1.59,1.59,1.59,0,TPP
2008-12-08,1.54,1.54,1.54,1.54,200,TPP
2008-12-09,1.54,1.57,1.54,1.57,3100,TPP
2008-12-10,1.57,1.57,1.57,1.57,0,TPP
2008-12-11,1.63,1.67,1.63,1.67,4700,TPP
2008-12-12,1.62,1.67,1.62,1.62,5300,TPP
2008-12-15,1.74,1.74,1.7,1.74,4300,TPP
2008-12-16,1.74,1.74,1.74,1.74,0,TPP
2008-12-17,1.57,1.57,1.57,1.57,400,TPP
2008-12-18,1.57,1.57,1.57,1.57,0,TPP
2008-12-19,1.46,1.46,1.46,1.46,1000,TPP
2008-12-22,1.46,1.46,1.46,1.46,0,TPP
2008-12-23,1.54,1.54,1.54,1.54,200,TPP
2008-12-24,1.48,1.48,1.48,1.48,1400,TPP
2008-12-25,1.39,1.39,1.39,1.39,1300,TPP
2008-12-26,1.48,1.48,1.48,1.48,300,TPP
2008-12-29,1.51,1.51,1.51,1.51,1100,TPP
2008-12-30,1.45,1.45,1.45,1.45,800,TPP
2008-12-31,1.54,1.54,1.54,1.54,1000,TPP
2009-01-02,1.62,1.62,1.62,1.62,1000,TPP
2009-01-05,1.62,1.62,1.62,1.62,0,TPP
2009-01-06,1.62,1.62,1.62,1.62,0,TPP
2009-01-07,1.67,1.67,1.67,1.67,100,TPP
2009-01-08,1.67,1.67,1.67,1.67,0,TPP
2009-01-09,1.67,1.67,1.67,1.67,0,TPP
2009-01-12,1.67,1.67,1.67,1.67,0,TPP
2009-01-13,1.56,1.59,1.56,1.59,200,TPP
2009-01-14,1.46,1.46,1.46,1.46,1400,TPP
2009-01-15,1.46,1.46,1.46,1.46,0,TPP
2009-01-16,1.39,1.39,1.39,1.39,500,TPP
2009-01-19,1.39,1.39,1.39,1.39,1000,TPP
2009-01-20,1.31,1.31,1.31,1.31,900,TPP
2009-01-21,1.31,1.31,1.31,1.31,0,TPP
2009-01-22,1.31,1.31,1.31,1.31,0,TPP
2009-01-23,1.31,1.31,1.31,1.31,0,TPP
2009-02-02,1.31,1.31,1.31,1.31,0,TPP
2009-02-03,1.31,1.31,1.31,1.31,0,TPP
2009-02-04,1.23,1.23,1.23,1.23,2100,TPP
2009-02-05,1.23,1.23,1.23,1.23,1900,TPP
2009-02-06,1.23,1.23,1.23,1.23,0,TPP
2009-02-09,1.23,1.23,1.23,1.23,2000,TPP
