time,open,high,low,close,volume,ticker
2008-07-22,8.73,8.73,1.96,2.04,40900,TV4
2008-07-23,2.21,2.39,2.21,2.39,27500,TV4
2008-07-24,2.4,2.4,2.4,2.4,400,TV4
2008-07-25,2.49,2.49,2.49,2.49,100,TV4
2008-07-28,2.58,2.58,2.58,2.58,200,TV4
2008-07-29,2.68,2.68,2.68,2.68,100,TV4
2008-07-30,2.78,2.78,2.78,2.78,4300,TV4
2008-07-31,2.88,2.88,2.88,2.88,4200,TV4
2008-08-01,2.98,2.98,2.98,2.98,1000,TV4
2008-08-04,3.1,3.1,3.1,3.1,600,TV4
2008-08-05,3.22,3.22,2.98,3.22,113500,TV4
2008-08-06,3.29,3.29,3.29,3.29,200,TV4
2008-08-07,3.42,3.42,3.42,3.42,200,TV4
2008-08-08,3.55,3.55,3.29,3.33,51900,TV4
2008-08-11,3.27,3.54,3.27,3.27,22800,TV4
2008-08-12,3.19,3.45,3.19,3.19,35200,TV4
2008-08-13,3.1,3.14,3.08,3.08,6000,TV4
2008-08-14,2.98,3.22,2.98,3.22,58600,TV4
2008-08-15,3.27,3.27,3.2,3.27,63700,TV4
2008-08-18,3.49,3.49,3.06,3.27,26200,TV4
2008-08-19,3.03,3.03,2.97,2.97,9200,TV4
2008-08-20,2.78,2.78,2.78,2.78,2200,TV4
2008-08-21,2.59,2.97,2.59,2.94,59900,TV4
2008-08-22,2.69,2.95,2.62,2.72,41300,TV4
2008-08-25,2.87,2.87,2.87,2.87,34200,TV4
2008-08-26,3.06,3.06,3.04,3.06,23900,TV4
2008-08-27,3.2,3.26,2.85,3.06,29100,TV4
2008-08-28,2.98,2.98,2.98,2.98,200,TV4
2008-08-29,2.78,2.78,2.78,2.78,2700,TV4
2008-09-03,2.59,2.97,2.59,2.97,62800,TV4
2008-09-04,3.07,3.07,2.71,2.91,24300,TV4
2008-09-05,2.98,3.06,2.71,2.9,31700,TV4
2008-09-08,2.84,2.98,2.71,2.91,18800,TV4
2008-09-09,2.98,3.06,2.84,2.9,22300,TV4
2008-09-10,2.98,3.06,2.76,2.76,8700,TV4
2008-09-11,2.84,2.84,2.69,2.69,14300,TV4
2008-09-12,2.59,2.59,2.53,2.53,15500,TV4
2008-09-15,2.37,2.72,2.37,2.5,8800,TV4
2008-09-16,2.47,2.47,2.36,2.37,15700,TV4
2008-09-17,2.23,2.37,2.21,2.21,12300,TV4
2008-09-18,2.12,2.18,2.12,2.12,16100,TV4
2008-09-19,2.18,2.28,2.12,2.28,4600,TV4
2008-09-22,2.4,2.4,2.4,2.4,1300,TV4
2008-09-23,2.33,2.44,2.26,2.26,10700,TV4
2008-09-24,2.27,2.36,2.2,2.26,5200,TV4
2008-09-25,2.18,2.31,2.12,2.31,13600,TV4
2008-09-26,2.33,2.33,2.1,2.21,5700,TV4
2008-09-29,2.14,2.26,2.14,2.26,3400,TV4
2008-09-30,2.02,2.08,2.02,2.02,23500,TV4
2008-10-01,2.17,2.17,2.11,2.17,8200,TV4
2008-10-02,2.28,2.3,2.28,2.3,8500,TV4
2008-10-03,2.46,2.46,2.44,2.46,31000,TV4
2008-10-06,2.55,2.55,2.33,2.37,5000,TV4
2008-10-07,2.31,2.33,2.28,2.28,5500,TV4
2008-10-08,2.14,2.21,2.14,2.17,9300,TV4
2008-10-09,2.11,2.33,2.11,2.18,6600,TV4
2008-10-10,2.08,2.18,2.08,2.08,13100,TV4
2008-10-13,2.24,2.24,2.12,2.15,8600,TV4
2008-10-14,2.3,2.3,2.3,2.3,1000,TV4
2008-10-15,2.36,2.4,2.3,2.33,9400,TV4
2008-10-16,2.17,2.28,2.17,2.27,3400,TV4
2008-10-17,2.3,2.33,2.11,2.18,3500,TV4
2008-10-20,2.05,2.05,2.05,2.05,5200,TV4
2008-10-21,2.18,2.18,2.18,2.18,10000,TV4
2008-10-22,2.21,2.21,2.17,2.17,3500,TV4
2008-10-23,2.11,2.11,2.05,2.05,14800,TV4
2008-10-24,2.04,2.04,1.99,1.99,8200,TV4
2008-10-27,1.94,1.96,1.91,1.92,6700,TV4
2008-10-28,1.91,1.92,1.91,1.92,16500,TV4
2008-10-29,2.04,2.04,1.96,2.04,16400,TV4
2008-10-30,2.04,2.14,2.02,2.02,3400,TV4
2008-10-31,2.07,2.11,2.07,2.11,1500,TV4
2008-11-03,1.94,1.96,1.94,1.94,2600,TV4
2008-11-04,1.96,2.04,1.96,2.04,10000,TV4
2008-11-05,2.15,2.15,2.14,2.15,10100,TV4
2008-11-06,2.15,2.15,2.15,2.15,200,TV4
2008-11-07,2.04,2.04,2.04,2.04,500,TV4
2008-11-10,1.99,1.99,1.96,1.96,3000,TV4
2008-11-11,1.91,1.91,1.88,1.89,3900,TV4
2008-11-12,2.02,2.02,2.02,2.02,1100,TV4
2008-11-13,2.15,2.15,2.07,2.07,1100,TV4
2008-11-14,2.11,2.11,2.1,2.1,400,TV4
2008-11-17,1.96,1.96,1.96,1.96,300,TV4
2008-11-18,2.01,2.01,2.01,2.01,200,TV4
2008-11-19,2.11,2.11,2.11,2.11,100,TV4
2008-11-20,2.04,2.04,1.96,1.96,300,TV4
2008-11-21,1.86,1.86,1.86,1.86,6000,TV4
2008-11-24,1.86,1.86,1.86,1.86,6600,TV4
2008-11-25,1.83,1.83,1.83,1.83,2000,TV4
2008-11-26,1.76,1.76,1.72,1.72,6700,TV4
2008-11-27,1.73,1.73,1.62,1.62,8000,TV4
2008-11-28,1.66,1.72,1.66,1.72,9600,TV4
2008-12-01,1.75,1.75,1.75,1.75,500,TV4
2008-12-02,1.75,1.75,1.75,1.75,0,TV4
2008-12-03,1.8,1.8,1.75,1.75,1300,TV4
2008-12-04,1.75,1.75,1.75,1.75,0,TV4
2008-12-05,1.64,1.67,1.64,1.66,2700,TV4
2008-12-08,1.6,1.6,1.6,1.6,2800,TV4
2008-12-09,1.67,1.67,1.66,1.66,1000,TV4
2008-12-10,1.67,1.73,1.63,1.73,1500,TV4
2008-12-11,1.73,1.73,1.73,1.73,0,TV4
2008-12-12,1.6,1.7,1.6,1.69,3600,TV4
2008-12-15,1.69,1.72,1.69,1.69,2600,TV4
2008-12-16,1.67,1.69,1.67,1.67,3400,TV4
2008-12-17,1.66,1.69,1.66,1.69,2900,TV4
2008-12-18,1.72,1.73,1.67,1.67,900,TV4
2008-12-19,1.72,1.72,1.72,1.72,3700,TV4
2008-12-22,1.72,1.72,1.72,1.72,0,TV4
2008-12-23,1.72,1.72,1.72,1.72,0,TV4
2008-12-24,1.72,1.72,1.72,1.72,0,TV4
2008-12-25,1.72,1.72,1.72,1.72,2900,TV4
2008-12-26,1.72,1.72,1.69,1.72,12000,TV4
