time,open,high,low,close,volume,ticker
2009-05-14,6.79,6.79,5.18,6.36,92100,VC1
2009-05-15,6.32,6.32,6.32,6.32,16400,VC1
2009-05-18,6.74,6.74,6.74,6.74,9200,VC1
2009-05-19,7.21,7.21,7.21,7.21,8800,VC1
2009-05-20,7.71,7.71,7.71,7.71,97400,VC1
2009-05-21,8.22,8.22,8.22,8.22,56300,VC1
2009-05-22,8.79,8.79,8.25,8.72,140400,VC1
2009-05-25,8.95,8.95,7.92,8.74,47800,VC1
2009-05-26,8.72,8.72,8.25,8.37,56500,VC1
2009-05-27,8.25,8.37,7.78,7.8,33000,VC1
2009-05-28,7.87,7.87,7.42,7.42,24500,VC1
2009-05-29,7.59,7.59,6.97,7.54,43800,VC1
2009-06-01,7.54,7.63,7.54,7.63,13700,VC1
2009-06-02,8.13,8.13,7.61,8.11,34900,VC1
2009-06-03,7.94,7.94,7.54,7.66,26400,VC1
2009-06-04,8.2,8.25,7.75,7.89,55500,VC1
2009-06-05,8.29,8.34,8.2,8.22,90700,VC1
2009-06-08,8.48,8.84,8.27,8.84,152500,VC1
2009-06-09,9.07,9.07,8.25,8.39,38600,VC1
2009-06-10,7.89,7.92,7.87,7.87,11000,VC1
2009-06-11,8.01,8.39,8.01,8.32,21800,VC1
2009-06-12,8.37,8.46,7.78,7.78,45400,VC1
2009-06-15,7.96,7.96,7.42,7.42,46000,VC1
2009-06-16,7.75,7.75,6.93,6.93,20200,VC1
2009-06-17,6.57,7.07,6.57,6.95,37100,VC1
2009-06-18,7.07,7.26,7.07,7.23,20100,VC1
2009-06-19,7.3,7.3,6.74,6.83,13300,VC1
2009-06-22,6.65,6.65,6.57,6.57,18500,VC1
2009-06-23,6.15,6.15,6.13,6.13,15600,VC1
2009-06-24,5.7,6.48,5.7,6.36,39000,VC1
2009-06-25,6.13,6.13,5.89,5.89,17300,VC1
2009-06-26,6.32,6.32,6.13,6.13,9000,VC1
2009-06-29,5.77,5.91,5.77,5.89,4000,VC1
2009-06-30,6.01,6.01,5.47,5.47,10400,VC1
2009-07-01,5.42,6.08,5.4,5.4,25800,VC1
2009-07-02,5.54,5.54,5.44,5.49,9300,VC1
2009-07-03,5.73,5.73,5.42,5.66,2600,VC1
2009-07-06,5.84,5.96,5.84,5.96,5200,VC1
2009-07-07,5.94,5.94,5.8,5.89,9000,VC1
2009-07-08,5.96,5.96,5.54,5.54,2400,VC1
2009-07-09,5.89,5.99,5.77,5.99,15100,VC1
2009-07-10,5.68,5.75,5.56,5.66,10900,VC1
2009-07-13,5.89,5.89,5.3,5.3,6200,VC1
2009-07-14,5.21,5.4,5.21,5.3,20300,VC1
2009-07-15,5.28,5.61,5.25,5.61,17700,VC1
2009-07-16,5.96,5.96,5.77,5.96,19200,VC1
2009-07-17,6.32,6.32,5.91,5.94,13300,VC1
2009-07-20,5.66,5.66,5.58,5.58,2800,VC1
2009-07-21,5.37,5.66,5.33,5.63,7300,VC1
2009-07-22,5.42,5.42,5.25,5.25,16100,VC1
2009-07-23,5.3,5.66,5.3,5.66,6300,VC1
2009-07-24,5.91,5.91,5.91,5.91,21900,VC1
2009-07-27,6.32,6.32,6.17,6.32,40400,VC1
2009-07-28,6.27,6.36,5.87,5.87,16600,VC1
2009-07-29,5.82,6.2,5.82,5.84,5700,VC1
2009-07-30,5.61,6.01,5.61,5.68,1800,VC1
2009-07-31,5.99,6.01,5.8,5.89,16800,VC1
2009-08-03,5.89,5.91,5.84,5.84,10100,VC1
2009-08-04,5.91,5.91,5.89,5.89,1300,VC1
2009-08-05,5.84,5.89,5.8,5.89,7600,VC1
2009-08-06,5.77,5.94,5.77,5.82,12200,VC1
2009-08-07,5.87,5.87,5.77,5.8,13700,VC1
2009-08-10,5.84,6.22,5.84,6.17,30700,VC1
2009-08-11,6.01,6.24,5.99,6.17,17700,VC1
2009-08-12,5.94,6.13,5.91,6.01,32200,VC1
2009-08-13,6.03,6.13,5.7,5.7,31600,VC1
2009-08-14,5.73,6.01,5.73,5.7,12500,VC1
