time,open,high,low,close,volume,ticker
2006-12-25,31.01,31.01,31.01,31.01,11610,VID
2006-12-26,31.59,32.38,31.59,32.38,1950,VID
2006-12-27,33.75,33.95,33.75,33.95,2090,VID
2006-12-28,35.52,35.52,35.52,35.52,4300,VID
2006-12-29,37.09,37.09,35.72,35.72,2750,VID
2007-01-02,35.72,35.72,33.95,33.95,3100,VID
2007-01-03,33.95,33.95,33.95,33.95,0,VID
2007-01-04,33.95,33.95,32.38,32.38,700,VID
2007-01-05,30.81,30.81,30.81,30.81,12580,VID
2007-01-08,29.44,29.44,29.44,29.44,4010,VID
2007-01-09,29.04,29.04,28.06,28.06,8770,VID
2007-01-10,26.69,26.69,26.69,26.69,18490,VID
2007-01-11,25.51,27.47,25.51,27.47,40470,VID
2007-01-12,27.47,27.47,26.1,26.1,6640,VID
2007-01-15,24.92,24.92,24.92,24.92,5820,VID
2007-01-16,23.94,23.94,23.75,23.75,3760,VID
2007-01-17,23.75,23.75,22.57,22.57,10620,VID
2007-01-18,21.59,21.59,21.59,21.59,8520,VID
2007-01-19,20.61,20.61,20.61,20.61,26190,VID
2007-01-22,19.58,19.58,19.58,19.58,45410,VID
2007-01-23,18.64,18.64,18.64,18.64,13600,VID
2007-01-24,17.74,19.55,17.74,19.55,28440,VID
2007-01-25,20.41,20.41,20.41,20.41,112150,VID
2007-01-26,21.39,21.39,21.39,21.39,35090,VID
2007-01-29,22.37,22.37,22.37,22.37,57460,VID
2007-01-30,23.35,23.35,23.35,23.35,42110,VID
2007-01-31,23.35,23.35,22.37,22.37,29890,VID
2007-02-01,22.37,22.37,21.39,21.39,10630,VID
2007-02-02,22.37,22.37,22.37,22.37,24660,VID
2007-02-05,22.57,22.57,21.59,21.59,23860,VID
2007-02-06,21.59,21.98,20.8,21.98,20390,VID
2007-02-07,21.98,21.98,21.0,21.19,13880,VID
2007-02-08,20.41,20.41,20.21,20.21,14310,VID
2007-02-09,19.23,19.23,19.23,19.23,23550,VID
2007-02-12,19.23,19.82,19.23,19.82,22280,VID
2007-02-13,19.23,20.02,19.23,20.02,30840,VID
2007-02-14,20.8,20.8,20.02,20.02,34360,VID
2007-02-15,20.02,20.02,19.62,20.02,4160,VID
2007-02-26,20.21,20.61,20.21,20.61,14960,VID
2007-02-27,20.8,21.19,20.8,21.19,24320,VID
2007-02-28,22.18,22.18,20.8,20.8,44580,VID
2007-03-01,21.39,21.39,20.8,20.8,47910,VID
2007-03-02,21.78,21.78,21.78,21.78,179120,VID
2007-03-05,22.76,22.76,22.76,22.76,188030,VID
2007-03-06,23.75,23.75,23.75,23.75,220660,VID
2007-03-07,23.75,24.92,23.75,24.92,1110,VID
2007-03-08,24.92,26.1,24.92,26.1,68030,VID
2007-03-09,27.28,27.28,27.28,27.28,82570,VID
2007-03-12,28.45,28.45,28.45,28.45,94750,VID
2007-03-13,28.45,28.45,27.08,27.08,287820,VID
2007-03-14,27.08,28.26,27.08,28.26,167970,VID
2007-03-15,27.08,27.47,27.08,27.47,111290,VID
2007-03-16,28.85,28.85,28.85,28.85,79110,VID
2007-03-19,30.22,30.22,30.22,30.22,74440,VID
2007-03-20,31.59,31.59,29.44,29.44,198070,VID
2007-03-21,29.44,29.44,29.44,29.44,99930,VID
2007-03-22,28.26,28.45,28.06,28.06,55040,VID
2007-03-23,26.69,27.08,26.69,27.08,117130,VID
2007-03-26,25.9,25.9,25.9,25.9,27280,VID
2007-03-27,24.73,24.73,24.73,24.73,9500,VID
2007-03-28,23.94,23.94,23.55,23.55,71960,VID
2007-03-29,24.73,24.73,24.73,24.73,60160,VID
2007-03-30,25.9,25.9,25.9,25.9,76920,VID
2007-04-02,24.73,24.73,24.73,24.73,38470,VID
2007-04-03,24.73,24.73,24.33,24.73,30890,VID
2007-04-04,24.73,25.9,24.73,25.9,38070,VID
2007-04-05,25.9,25.9,25.12,25.12,46340,VID
2007-04-06,25.12,25.12,24.73,24.73,17000,VID
2007-04-09,24.33,24.73,24.33,24.73,16790,VID
2007-04-10,25.12,25.12,24.73,24.73,25350,VID
2007-04-11,25.12,25.12,24.73,24.73,26700,VID
2007-04-12,24.33,24.33,23.94,24.14,15250,VID
2007-04-13,23.94,23.94,23.94,23.94,24800,VID
2007-04-16,23.35,23.35,22.76,22.76,8100,VID
2007-04-17,21.78,21.78,21.78,21.78,19310,VID
2007-04-18,21.19,22.76,21.19,22.76,43110,VID
2007-04-19,23.75,23.75,21.98,21.98,57290,VID
2007-04-20,21.98,22.76,21.59,22.76,26200,VID
2007-04-23,22.76,22.76,21.78,22.76,19290,VID
