time,open,high,low,close,volume,ticker
2016-09-22,11.87,0.0,0.0,0.0,0,VLB
2016-09-23,11.87,0.0,0.0,0.0,0,VLB
2016-09-26,16.6,16.6,16.6,16.6,100,VLB
2016-09-27,16.6,16.6,16.6,16.6,0,VLB
2016-09-28,16.6,16.6,16.6,16.6,0,VLB
2016-09-29,16.6,16.6,16.6,16.6,0,VLB
2016-09-30,16.6,16.6,16.6,16.6,0,VLB
2016-10-03,19.07,19.07,19.07,19.07,100,VLB
2016-10-04,21.91,21.91,21.91,21.91,100,VLB
2016-10-05,25.19,25.19,25.19,25.19,800,VLB
2016-10-06,25.19,25.19,25.19,25.19,50,VLB
2016-10-07,25.19,25.19,25.19,25.19,0,VLB
2016-10-10,25.19,25.19,25.19,25.19,0,VLB
2016-10-11,25.19,25.19,25.19,25.19,0,VLB
2016-10-12,25.19,25.19,25.19,25.19,0,VLB
2016-10-13,28.92,28.92,28.92,28.92,100,VLB
2016-10-14,28.92,32.83,28.92,32.83,2200,VLB
2016-10-17,29.04,29.04,29.04,29.04,200,VLB
2016-10-18,29.04,29.04,29.04,29.04,1800,VLB
2016-10-19,29.04,29.04,29.04,29.04,0,VLB
2016-10-20,32.2,32.2,32.2,32.2,1100,VLB
2016-10-21,32.2,32.2,32.2,32.2,0,VLB
2016-10-24,32.2,32.2,32.2,32.2,0,VLB
2016-10-25,32.2,32.2,32.2,32.2,0,VLB
2016-10-26,32.2,32.2,32.2,32.2,0,VLB
2016-10-27,32.2,32.2,32.2,32.2,0,VLB
2016-10-28,32.2,32.2,32.2,32.2,0,VLB
2016-10-31,27.4,31.57,27.4,31.57,400,VLB
2016-11-01,24.31,24.31,24.24,24.24,1900,VLB
2016-11-02,22.1,22.41,22.1,22.1,2800,VLB
2016-11-03,19.57,25.57,19.57,25.57,2000,VLB
2016-11-04,26.26,26.26,21.84,22.86,1200,VLB
2016-11-07,22.86,22.86,22.86,22.86,0,VLB
2016-11-08,27.15,27.78,27.15,27.78,2000,VLB
2016-11-09,30.94,30.94,30.94,30.94,300,VLB
2016-11-10,27.15,28.41,27.15,28.41,3350,VLB
2016-11-11,28.41,28.41,28.41,28.41,0,VLB
2016-11-14,28.41,28.41,28.41,28.41,0,VLB
2016-11-15,24.62,27.78,24.62,27.78,200,VLB
2016-11-16,27.78,27.78,27.78,27.78,0,VLB
2016-11-17,27.78,27.78,27.78,27.78,0,VLB
2016-11-18,24.31,25.25,24.31,25.25,1200,VLB
2016-11-21,25.25,25.25,25.25,25.25,1700,VLB
2016-11-22,25.57,28.41,25.57,28.41,700,VLB
2016-11-23,25.57,25.57,25.57,25.57,2300,VLB
2016-11-24,25.57,25.57,25.57,25.57,0,VLB
2016-11-25,25.57,25.57,25.57,25.57,0,VLB
2016-11-28,25.57,25.57,25.57,25.57,0,VLB
2016-11-29,24.62,24.62,24.62,24.62,1000,VLB
2016-11-30,25.57,25.57,25.57,25.57,1700,VLB
2016-12-01,25.57,25.57,25.57,25.57,0,VLB
2016-12-02,25.57,25.57,25.57,25.57,0,VLB
2016-12-05,25.57,25.57,25.57,25.57,0,VLB
2016-12-06,22.16,22.16,22.16,22.16,100,VLB
2016-12-07,25.44,25.44,19.64,25.44,1400,VLB
2016-12-08,25.44,25.44,25.44,25.44,0,VLB
2016-12-09,25.44,25.44,25.44,25.44,0,VLB
2016-12-12,25.44,25.44,25.44,25.44,0,VLB
2016-12-13,25.44,25.44,25.44,25.44,0,VLB
2016-12-14,25.44,25.44,25.44,25.44,0,VLB
