time,open,high,low,close,volume,ticker
2006-12-11,6.29,9.27,6.29,9.27,45700,VMC
2006-12-12,8.96,8.96,8.96,8.96,58000,VMC
2006-12-13,9.85,9.85,9.27,9.51,110700,VMC
2006-12-14,10.06,10.76,10.06,10.68,75200,VMC
2006-12-15,11.58,11.58,11.0,11.78,71700,VMC
2006-12-18,12.41,12.57,11.44,11.78,59000,VMC
2006-12-19,12.57,12.65,11.78,11.78,99600,VMC
2006-12-20,12.41,12.41,11.78,11.78,41800,VMC
2006-12-21,10.7,11.78,10.7,10.7,11000,VMC
2006-12-22,10.68,11.31,10.21,10.21,4400,VMC
2006-12-25,9.69,9.9,9.69,9.9,26800,VMC
2006-12-26,9.74,10.29,9.74,10.06,10800,VMC
2006-12-27,10.06,10.39,10.06,10.37,18400,VMC
2006-12-28,10.21,11.33,10.21,10.37,37900,VMC
2006-12-29,11.16,11.31,11.0,11.16,8100,VMC
2007-01-02,11.63,11.71,11.16,11.16,11800,VMC
2007-01-03,11.16,11.16,11.0,11.0,3100,VMC
2007-01-04,10.68,11.0,10.68,11.0,10100,VMC
2007-01-05,10.76,10.81,10.68,10.68,6000,VMC
2007-01-08,10.21,10.68,10.21,10.29,8800,VMC
2007-01-09,10.21,10.53,10.21,10.37,12200,VMC
2007-01-10,10.43,10.61,10.37,10.37,15600,VMC
2007-01-11,10.37,10.53,10.21,10.45,40900,VMC
2007-01-12,10.37,10.45,10.29,10.29,10700,VMC
2007-01-15,10.39,10.39,9.82,9.9,8100,VMC
2007-01-16,10.17,10.17,9.16,9.82,20800,VMC
2007-01-17,9.71,9.9,9.58,9.58,4100,VMC
2007-01-18,9.43,9.66,9.43,9.58,3900,VMC
2007-01-19,9.43,9.82,9.43,9.62,2700,VMC
2007-01-22,10.54,10.54,10.21,9.62,22100,VMC
2007-01-23,11.34,11.34,10.61,11.31,30700,VMC
2007-01-24,12.37,12.38,11.03,11.71,34200,VMC
2007-01-25,11.52,12.33,11.08,11.08,15700,VMC
2007-01-26,11.31,11.31,10.84,10.84,13000,VMC
2007-01-29,11.31,11.31,10.21,10.92,12900,VMC
2007-01-30,10.92,10.92,10.84,10.87,11500,VMC
2007-01-31,10.84,11.16,10.84,10.87,19700,VMC
2007-02-01,11.31,11.31,11.16,11.16,27400,VMC
2007-02-02,12.13,12.13,11.31,11.47,20500,VMC
2007-02-05,12.74,12.74,11.94,12.74,83800,VMC
2007-02-06,13.2,13.86,12.81,13.84,86000,VMC
2007-02-07,15.04,15.04,14.69,15.02,53500,VMC
2007-02-08,16.34,16.42,15.71,15.71,55100,VMC
2007-02-09,15.71,15.71,14.42,14.42,33500,VMC
2007-02-12,13.42,14.77,13.42,14.14,39500,VMC
2007-02-13,15.52,15.52,13.83,14.38,16500,VMC
2007-02-14,14.14,14.46,13.28,14.11,27800,VMC
2007-02-15,14.13,15.38,14.13,15.38,9800,VMC
2007-02-26,16.04,16.04,16.04,16.04,4500,VMC
2007-02-27,17.65,17.65,17.65,17.65,13200,VMC
2007-02-28,19.41,19.41,18.84,18.86,85000,VMC
2007-03-01,19.36,19.36,18.07,18.7,62500,VMC
2007-03-02,18.93,19.96,18.7,18.7,53800,VMC
2007-03-05,20.11,20.43,19.48,19.64,78500,VMC
2007-03-06,21.65,21.65,19.81,20.58,16900,VMC
2007-03-07,21.21,22.55,20.43,20.9,27100,VMC
2007-03-08,21.06,21.21,20.43,20.74,26400,VMC
2007-03-09,21.21,21.21,19.64,20.4,21100,VMC
2007-03-12,20.43,20.43,19.34,19.64,15300,VMC
2007-03-13,19.64,19.64,18.86,18.86,5000,VMC
2007-03-14,17.28,19.09,17.28,18.86,14400,VMC
2007-03-15,16.53,16.53,16.53,16.53,5000,VMC
2007-03-16,16.53,18.18,16.18,18.18,11400,VMC
2007-03-19,19.53,19.56,17.79,18.86,27900,VMC
2007-03-20,19.01,19.01,17.28,18.38,10600,VMC
2007-03-21,17.28,18.07,16.5,17.28,11900,VMC
2007-03-22,17.3,17.3,16.11,16.11,11900,VMC
2007-03-23,15.4,16.5,15.4,16.5,9400,VMC
2007-03-26,15.56,15.56,14.61,16.5,12900,VMC
2007-03-27,14.14,14.14,13.67,16.5,6000,VMC
2007-03-28,12.59,15.21,12.46,15.21,13400,VMC
2007-03-29,14.46,14.91,14.46,14.91,13500,VMC
2007-03-30,16.34,16.36,14.14,14.91,35800,VMC
2007-04-02,13.95,14.93,13.95,14.93,9400,VMC
2007-04-03,14.11,14.3,13.36,14.3,7900,VMC
2007-04-04,14.46,15.05,14.46,14.61,4800,VMC
2007-04-05,15.08,16.11,14.16,14.46,7000,VMC
2007-04-06,14.77,14.77,14.14,14.61,25900,VMC
