time,open,high,low,close,volume,ticker
2023-01-06,16.6,16.6,16.6,16.6,0,VMT
2023-01-09,16.6,16.6,16.6,16.6,0,VMT
2023-01-10,16.6,16.6,16.6,16.6,0,VMT
2023-01-11,23.2,23.2,23.2,23.2,100,VMT
2023-01-12,26.6,26.6,26.6,26.6,100,VMT
2023-01-13,26.6,26.6,26.6,26.6,0,VMT
2023-01-16,26.6,26.6,26.6,26.6,0,VMT
2023-01-17,26.6,26.6,26.6,26.6,0,VMT
2023-01-18,26.6,26.6,26.6,26.6,0,VMT
2023-01-19,26.6,26.6,26.6,26.6,0,VMT
2023-01-27,26.6,26.6,26.6,26.6,0,VMT
2023-01-30,26.6,26.6,26.6,26.6,0,VMT
2023-01-31,26.6,26.6,26.6,26.6,0,VMT
2023-02-01,26.6,26.6,26.6,26.6,0,VMT
2023-02-02,26.6,26.6,26.6,26.6,0,VMT
2023-02-03,26.6,26.6,26.6,26.6,0,VMT
2023-02-06,26.6,26.6,26.6,26.6,0,VMT
2023-02-07,26.6,26.6,26.6,26.6,0,VMT
2023-02-08,26.6,26.6,26.6,26.6,0,VMT
2023-02-09,26.6,26.6,26.6,26.6,0,VMT
2023-02-10,26.6,26.6,26.6,26.6,0,VMT
2023-02-13,30.5,30.5,30.5,30.5,1100,VMT
2023-02-14,35.0,35.0,35.0,35.0,2000,VMT
2023-02-15,40.2,40.2,40.2,40.2,1000,VMT
2023-02-16,46.2,46.2,46.2,46.2,2100,VMT
2023-02-17,39.3,39.3,39.3,39.3,300,VMT
2023-02-20,39.3,45.1,39.3,45.1,600,VMT
2023-02-21,43.9,43.9,43.9,43.9,0,VMT
2023-02-22,43.9,43.9,43.9,43.9,0,VMT
2023-02-23,43.9,43.9,43.9,43.9,0,VMT
2023-02-24,43.9,43.9,43.9,43.9,100,VMT
2023-02-27,43.9,43.9,43.9,43.9,0,VMT
2023-02-28,43.9,43.9,43.9,43.9,0,VMT
2023-03-01,43.9,43.9,43.9,43.9,0,VMT
2023-03-02,43.9,43.9,43.9,43.9,0,VMT
2023-03-03,43.9,43.9,43.9,43.9,100,VMT
2023-03-06,43.9,43.9,43.9,43.9,0,VMT
2023-03-07,43.9,43.9,43.9,43.9,0,VMT
2023-03-08,43.9,43.9,43.9,43.9,0,VMT
2023-03-09,43.9,43.9,43.9,43.9,0,VMT
2023-03-10,43.9,43.9,43.9,43.9,0,VMT
2023-03-13,43.9,43.9,43.9,43.9,0,VMT
2023-03-14,43.9,43.9,43.9,43.9,0,VMT
2023-03-15,43.9,43.9,43.9,43.9,0,VMT
2023-03-16,43.9,43.9,37.4,37.4,1900,VMT
2023-03-17,38.8,38.8,38.8,38.8,0,VMT
2023-03-20,38.8,38.8,38.8,38.8,0,VMT
2023-03-21,38.8,38.8,38.8,38.8,0,VMT
2023-03-22,38.8,38.8,38.8,38.8,0,VMT
2023-03-23,35.5,35.5,35.5,35.5,100,VMT
2023-03-24,35.5,35.5,35.5,35.5,0,VMT
2023-03-27,35.5,35.5,35.5,35.5,0,VMT
2023-03-28,35.5,35.5,35.5,35.5,0,VMT
2023-03-29,35.5,35.5,35.5,35.5,0,VMT
2023-03-30,35.5,35.5,35.5,35.5,0,VMT
2023-03-31,35.5,35.5,35.5,35.5,0,VMT
2023-04-03,35.5,35.5,35.5,35.5,0,VMT
2023-04-04,35.5,35.5,35.5,35.5,0,VMT
2023-04-05,35.5,35.5,35.5,35.5,0,VMT
2023-04-06,35.5,35.5,35.5,35.5,0,VMT
2023-04-07,35.5,35.5,35.5,35.5,0,VMT
2023-04-10,35.5,35.5,35.5,35.5,0,VMT
2023-04-11,35.5,35.5,35.5,35.5,0,VMT
2023-04-12,35.5,35.5,35.5,35.5,0,VMT
2023-04-13,35.5,35.5,35.5,35.5,0,VMT
2023-04-14,35.5,35.5,35.5,35.5,0,VMT
2023-04-17,35.5,35.5,35.5,35.5,0,VMT
2023-04-18,35.5,35.5,35.5,35.5,0,VMT
2023-04-19,35.5,35.5,35.5,35.5,0,VMT
2023-04-20,35.5,35.5,35.5,35.5,0,VMT
2023-04-21,35.5,35.5,35.5,35.5,0,VMT
2023-04-24,35.5,35.5,35.5,35.5,0,VMT
2023-04-25,37.0,40.8,30.2,35.5,900,VMT
2023-04-26,38.2,38.2,38.2,38.2,0,VMT
2023-04-27,38.2,38.2,38.2,38.2,0,VMT
2023-04-28,43.8,43.8,43.8,43.8,100,VMT
2023-05-04,43.8,43.8,43.8,43.8,0,VMT
2023-05-05,43.8,43.8,43.8,43.8,0,VMT
2023-05-08,40.4,40.4,40.4,40.4,100,VMT
2023-05-09,40.4,40.4,40.4,40.4,0,VMT
2023-05-10,40.4,40.4,40.4,40.4,0,VMT
2023-05-11,40.4,40.4,40.4,40.4,0,VMT
2023-05-12,40.4,40.4,40.4,40.4,0,VMT
2023-05-15,40.4,40.4,40.4,40.4,0,VMT
2023-05-16,40.4,40.4,40.4,40.4,0,VMT
2023-05-17,40.4,40.4,40.4,40.4,0,VMT
2023-05-18,40.4,40.4,40.4,40.4,0,VMT
