time,open,high,low,close,volume,ticker
2009-09-09,30.0,30.0,30.0,30.0,26500,VNI
2009-09-10,31.5,31.5,31.5,31.5,13130,VNI
2009-09-11,33.0,33.0,33.0,33.0,19320,VNI
2009-09-14,34.6,34.6,34.6,34.6,13120,VNI
2009-09-15,36.3,36.3,36.3,36.3,17860,VNI
2009-09-16,38.1,38.1,38.1,38.1,4000,VNI
2009-09-17,40.0,40.0,40.0,40.0,174490,VNI
2009-09-18,42.0,42.0,42.0,42.0,259560,VNI
2009-09-21,44.1,44.1,44.1,44.1,18070,VNI
2009-09-22,46.3,46.3,46.3,46.3,38540,VNI
2009-09-23,48.6,48.6,48.6,48.6,30670,VNI
2009-09-24,51.0,51.0,51.0,51.0,59160,VNI
2009-09-25,53.5,53.5,53.5,53.5,98470,VNI
2009-09-28,56.0,56.0,56.0,56.0,16500,VNI
2009-09-29,58.5,58.5,58.5,58.5,24000,VNI
2009-09-30,61.0,61.0,61.0,61.0,37740,VNI
2009-10-01,64.0,64.0,58.0,58.0,85570,VNI
2009-10-02,55.5,55.5,55.5,55.5,5540,VNI
2009-10-05,53.0,53.0,53.0,53.0,3180,VNI
2009-10-06,50.5,50.5,50.5,50.5,6760,VNI
2009-10-07,48.0,53.0,48.0,48.1,274690,VNI
2009-10-08,50.5,50.5,50.0,50.5,129200,VNI
2009-10-09,53.0,53.0,53.0,53.0,65070,VNI
2009-10-12,55.0,55.5,53.0,55.5,167280,VNI
2009-10-13,53.5,55.0,53.0,53.0,119370,VNI
2009-10-14,51.0,53.5,51.0,53.0,110640,VNI
2009-10-15,54.0,54.0,52.0,52.0,74110,VNI
2009-10-16,50.5,51.5,50.0,50.0,79030,VNI
2009-10-19,48.3,49.0,48.0,48.3,78220,VNI
2009-10-20,50.5,50.5,50.0,50.5,37090,VNI
2009-10-21,52.5,53.0,50.0,52.0,51120,VNI
2009-10-22,49.4,49.6,49.4,49.4,48690,VNI
2009-10-23,47.0,47.0,47.0,47.0,56380,VNI
2009-10-26,44.7,44.7,44.7,44.7,31660,VNI
2009-10-27,42.5,42.5,42.5,42.5,9200,VNI
2009-10-28,40.4,42.0,40.4,40.5,102110,VNI
2009-10-29,38.5,39.0,38.5,38.5,26000,VNI
2009-10-30,38.5,39.0,38.0,38.9,34900,VNI
2009-11-02,37.0,37.0,37.0,37.0,8750,VNI
2009-11-03,35.2,35.2,35.2,35.2,5650,VNI
2009-11-04,33.5,33.5,33.5,33.5,12170,VNI
2009-11-05,31.9,35.1,31.9,35.1,60930,VNI
2009-11-06,36.0,36.0,34.1,34.1,21930,VNI
2009-11-09,32.4,32.5,32.4,32.5,11840,VNI
2009-11-10,33.8,33.8,30.9,30.9,19000,VNI
2009-11-11,30.0,32.0,29.5,31.9,23410,VNI
2009-11-12,33.4,33.4,33.0,33.4,19860,VNI
2009-11-13,35.0,35.0,34.8,35.0,34600,VNI
2009-11-16,36.7,36.7,36.7,36.7,16390,VNI
2009-11-17,38.5,38.5,38.5,38.5,3150,VNI
2009-11-18,40.4,40.4,39.0,40.4,96140,VNI
2009-11-19,42.4,42.4,41.0,42.4,63410,VNI
2009-11-20,44.4,44.4,40.3,40.3,48950,VNI
2009-11-23,38.3,38.4,38.3,38.3,25850,VNI
2009-11-24,37.1,39.0,36.4,36.4,21830,VNI
2009-11-25,34.7,34.7,34.6,34.6,26640,VNI
2009-11-26,32.9,32.9,32.9,32.9,4880,VNI
2009-11-27,31.3,34.5,31.3,34.5,42240,VNI
2009-11-30,33.6,36.2,33.6,33.7,6400,VNI
2009-12-01,34.8,35.0,34.0,35.0,13690,VNI
2009-12-02,34.0,34.0,33.3,33.3,23820,VNI
2009-12-03,32.0,34.6,31.8,33.9,7130,VNI
2009-12-04,32.5,33.7,32.4,33.4,6000,VNI
2009-12-07,32.4,34.3,33.0,33.0,1900,VNI
2009-12-08,31.8,32.4,31.5,32.0,7110,VNI
2009-12-09,30.4,30.4,30.4,30.4,9050,VNI
2009-12-10,29.3,31.7,29.1,29.1,18430,VNI
2009-12-11,29.1,29.1,27.7,27.7,20040,VNI
2009-12-14,26.7,29.0,26.7,29.0,17160,VNI
2009-12-15,29.5,29.5,29.2,29.5,12210,VNI
2009-12-16,28.2,30.0,28.1,28.1,10830,VNI
2009-12-17,26.7,28.1,26.7,26.7,9390,VNI
2009-12-18,27.7,28.0,27.0,28.0,10400,VNI
2009-12-21,29.4,29.4,29.3,29.4,3250,VNI
2009-12-22,30.7,30.7,29.0,30.3,4870,VNI
2009-12-23,31.5,31.5,29.5,29.5,14910,VNI
2009-12-24,28.5,29.0,28.4,29.0,17800,VNI
2009-12-25,30.4,30.4,30.4,30.4,34200,VNI
2009-12-28,31.6,31.6,30.4,30.4,17500,VNI
2009-12-29,30.1,30.1,29.1,29.1,8260,VNI
2009-12-30,28.2,30.5,28.2,30.5,34560,VNI
2009-12-31,32.0,32.0,30.0,30.0,20830,VNI
2010-01-04,31.5,31.5,31.5,31.5,4020,VNI
2010-01-05,33.0,33.0,33.0,33.0,34860,VNI
2010-01-06,34.6,34.6,31.5,34.0,34180,VNI
2010-01-07,34.0,34.0,32.3,33.0,21860,VNI
2010-01-08,33.0,33.5,31.6,31.7,23500,VNI
2010-01-11,30.5,32.0,30.5,32.0,17790,VNI
2010-01-12,32.0,32.0,30.4,30.4,14540,VNI
2010-01-13,30.4,30.4,29.0,30.2,29340,VNI
2010-01-14,31.7,31.7,31.0,31.7,13880,VNI
2010-01-15,30.7,31.9,30.6,30.7,6850,VNI
2010-01-18,29.3,30.7,29.3,29.4,21670,VNI
2010-01-19,30.5,30.5,29.5,30.0,9230,VNI
2010-01-20,29.6,30.0,29.0,29.6,9130,VNI
2010-01-21,28.3,29.5,28.3,28.6,11370,VNI
2010-01-22,27.2,28.6,27.2,27.2,22010,VNI
2010-01-25,27.2,28.5,27.2,27.4,3620,VNI
2010-01-26,28.5,28.7,28.4,28.7,7160,VNI
2010-01-27,28.7,29.9,27.5,27.5,11040,VNI
2010-01-28,26.9,28.0,26.9,27.2,9220,VNI
2010-01-29,26.6,27.5,26.5,26.6,6700,VNI
2010-02-01,27.4,27.9,27.4,27.9,3360,VNI
2010-02-02,26.9,28.8,26.9,27.2,3520,VNI
2010-02-03,28.0,28.0,27.9,28.0,5800,VNI
2010-02-04,28.0,28.1,28.0,28.0,5380,VNI
2010-02-05,27.0,27.5,26.7,27.0,9590,VNI
2010-02-08,27.0,27.0,26.8,27.0,6790,VNI
2010-02-09,28.0,28.0,27.0,28.0,1590,VNI
2010-02-10,28.7,28.7,27.0,28.3,920,VNI
2010-02-11,27.9,28.0,27.4,27.9,1620,VNI
2010-02-12,28.0,28.3,28.0,28.0,2240,VNI
2010-02-22,28.5,28.5,28.0,28.0,6460,VNI
2010-02-23,27.0,27.3,27.0,27.0,4640,VNI
2010-02-24,27.0,27.0,26.8,27.0,1840,VNI
2010-02-25,28.0,28.0,26.8,27.5,2540,VNI
2010-02-26,27.5,27.5,27.5,27.5,1260,VNI
2010-03-01,27.5,27.5,27.0,27.5,6990,VNI
2010-03-02,27.5,27.7,27.3,27.5,5450,VNI
2010-03-03,27.5,27.5,27.1,27.5,12030,VNI
2010-03-04,27.5,28.5,27.5,28.2,18470,VNI
2010-03-05,28.8,28.8,27.6,28.2,3170,VNI
2010-03-08,28.7,29.0,28.4,29.0,23160,VNI
2010-03-09,29.9,29.9,29.7,29.9,19780,VNI
2010-03-10,28.6,30.3,28.6,29.1,8070,VNI
2010-03-11,30.0,30.0,29.5,29.5,16190,VNI
2010-03-12,30.7,30.7,29.5,29.5,8040,VNI
2010-03-15,29.3,30.0,29.3,29.9,15990,VNI
2010-03-16,29.0,29.2,28.8,28.8,13230,VNI
2010-03-17,28.0,29.2,27.4,27.4,17750,VNI
2010-03-18,27.9,27.9,27.0,27.1,15930,VNI
2010-03-19,27.1,27.9,27.1,27.7,11510,VNI
2010-03-22,29.0,29.0,29.0,29.0,51920,VNI
2010-03-23,30.4,30.4,29.5,30.4,64030,VNI
2010-03-24,30.5,30.5,29.0,30.0,65970,VNI
2010-03-25,28.9,29.1,28.5,28.5,8680,VNI
2010-03-26,27.3,28.0,27.1,27.5,44420,VNI
2010-03-29,27.3,28.0,27.3,27.8,7410,VNI
2010-03-30,27.5,28.0,27.4,27.5,5020,VNI
2010-03-31,27.9,28.0,27.0,27.9,12440,VNI
2010-04-01,27.0,27.4,26.6,27.4,22760,VNI
2010-04-02,27.5,27.6,27.0,27.2,15220,VNI
2010-04-05,27.1,27.4,27.0,27.1,23290,VNI
2010-04-06,27.1,27.3,27.1,27.1,44310,VNI
2010-04-07,28.4,28.4,28.2,28.4,116500,VNI
2010-04-08,29.8,29.8,29.8,29.8,94180,VNI
2010-04-09,30.0,30.0,28.8,28.8,98880,VNI
2010-04-12,29.6,29.6,28.1,28.1,38440,VNI
2010-04-13,28.0,28.4,27.8,27.8,34730,VNI
2010-04-14,27.1,29.1,27.1,28.0,28750,VNI
2010-04-15,27.9,28.1,27.6,27.8,38810,VNI
2010-04-16,27.8,28.2,27.7,27.7,29920,VNI
2010-04-19,27.5,27.8,27.5,27.8,65130,VNI
2010-04-20,28.0,28.0,27.5,27.5,33650,VNI
2010-04-21,27.2,27.4,27.0,27.2,69110,VNI
2010-04-22,27.2,27.9,27.2,27.7,31970,VNI
2010-04-26,27.8,27.8,27.1,27.1,22850,VNI
2010-04-27,27.1,27.2,26.9,27.0,27220,VNI
2010-04-28,26.9,26.9,26.7,26.8,27810,VNI
2010-04-29,26.8,27.6,26.8,27.5,96000,VNI
2010-05-04,28.8,28.8,28.7,28.8,105000,VNI
2010-05-05,29.0,29.0,28.0,28.0,62150,VNI
2010-05-06,28.4,29.0,28.0,28.5,67950,VNI
2010-05-07,28.0,28.0,27.2,27.5,52930,VNI
2010-05-10,27.3,27.8,27.0,27.7,56580,VNI
2010-05-11,28.4,28.4,27.4,27.5,31590,VNI
2010-05-12,27.5,27.5,26.8,26.8,59860,VNI
2010-05-13,26.8,27.8,26.5,26.5,30080,VNI
2010-05-14,26.3,27.0,26.3,26.3,45790,VNI
2010-05-17,26.2,26.4,25.9,26.0,31140,VNI
2010-05-18,27.0,27.0,26.2,26.3,25320,VNI
2010-05-19,25.4,26.8,25.0,25.4,12650,VNI
2010-05-20,24.2,25.2,24.2,24.9,14290,VNI
2010-05-21,23.7,23.7,23.7,23.7,28200,VNI
2010-05-24,23.7,24.6,23.7,23.9,18070,VNI
2010-05-25,24.5,24.5,24.0,24.0,11180,VNI
2010-05-26,24.3,24.6,24.0,24.3,5520,VNI
2010-05-27,24.0,24.0,23.5,24.0,5360,VNI
2010-05-28,25.0,25.1,24.5,24.5,39430,VNI
2010-05-31,23.5,24.8,23.5,23.9,2220,VNI
2010-06-01,23.6,24.1,23.6,24.1,9430,VNI
2010-06-02,24.1,24.1,24.0,24.1,4050,VNI
2010-06-03,24.1,24.2,23.8,23.9,41030,VNI
2010-06-04,24.2,24.2,23.8,24.0,29340,VNI
2010-06-07,23.4,23.5,22.8,23.5,21000,VNI
2010-06-08,23.9,23.9,23.8,23.9,850,VNI
2010-06-09,24.2,24.2,23.5,24.2,12450,VNI
2010-06-10,24.0,24.3,24.0,24.0,13700,VNI
2010-06-11,23.8,24.5,23.8,23.9,14810,VNI
2010-06-14,23.8,24.3,23.7,24.0,8240,VNI
2010-06-15,24.0,24.1,23.8,24.0,16690,VNI
2010-06-16,24.2,24.2,24.0,24.1,21980,VNI
2010-06-17,24.1,24.9,24.0,24.3,9970,VNI
2010-06-18,24.1,24.5,24.1,24.5,12390,VNI
2010-06-21,24.5,25.7,24.5,25.7,45870,VNI
2010-06-22,25.8,25.8,25.0,25.5,22400,VNI
2010-06-23,25.0,25.9,25.0,25.4,9930,VNI
2010-06-24,25.4,25.8,25.1,25.1,21190,VNI
2010-06-25,25.0,25.3,24.2,24.2,930,VNI
2010-06-28,24.2,24.3,23.9,24.2,4030,VNI
2010-06-29,24.8,24.8,24.2,24.8,22770,VNI
2010-06-30,24.8,24.8,24.5,24.8,21090,VNI
2010-07-01,25.0,26.0,24.8,25.8,48350,VNI
2010-07-02,26.5,26.5,25.6,25.6,41280,VNI
2010-07-05,25.3,26.2,25.3,25.8,25560,VNI
2010-07-06,24.6,25.8,24.6,24.6,34900,VNI
2010-07-07,25.0,25.3,24.1,24.6,26900,VNI
2010-07-08,25.0,25.7,24.5,25.7,66220,VNI
2010-07-09,26.2,26.9,25.7,26.9,136240,VNI
2010-07-12,28.2,28.2,28.2,28.2,69600,VNI
2010-07-13,29.6,29.6,29.6,29.6,86730,VNI
2010-07-14,31.0,31.0,28.2,28.5,276030,VNI
2010-07-15,27.1,28.0,27.1,27.2,150990,VNI
2010-07-16,28.0,28.5,27.0,28.0,53060,VNI
2010-07-19,27.0,28.2,27.0,28.2,16050,VNI
2010-07-20,28.0,28.0,26.9,26.9,37870,VNI
2010-07-21,27.0,27.0,25.6,25.8,57980,VNI
2010-07-22,26.6,26.6,24.8,25.1,110420,VNI
2010-07-23,25.0,25.4,25.0,25.0,43570,VNI
2010-07-26,25.0,26.0,24.8,25.0,12900,VNI
2010-07-27,24.5,25.5,24.5,24.9,51070,VNI
2010-07-28,24.5,25.0,24.5,24.5,17680,VNI
2010-07-29,25.0,25.2,24.5,25.0,12000,VNI
2010-07-30,25.0,25.1,24.5,24.5,20960,VNI
2010-08-02,24.5,25.1,24.1,24.5,43020,VNI
2010-08-03,24.5,25.0,24.4,24.4,11860,VNI
2010-08-04,24.4,24.4,24.0,24.2,8700,VNI
2010-08-05,24.2,24.4,24.2,24.2,18360,VNI
2010-08-06,23.7,24.6,23.7,23.9,7750,VNI
2010-08-09,24.6,24.6,23.4,23.4,8150,VNI
2010-08-10,23.0,23.0,22.5,22.5,26190,VNI
2010-08-11,23.0,23.5,22.5,23.5,6930,VNI
2010-08-12,22.8,23.0,22.4,22.4,34960,VNI
2010-08-13,22.4,23.0,22.4,22.4,2910,VNI
2010-08-16,23.5,23.5,23.0,23.5,16880,VNI
2010-08-17,23.5,23.5,22.7,22.8,22240,VNI
2010-08-18,21.9,22.9,21.7,21.9,10510,VNI
2010-08-19,21.9,22.6,21.9,21.9,210,VNI
2010-08-20,21.8,22.0,21.0,21.8,9240,VNI
2010-08-23,21.8,21.8,21.8,21.8,200,VNI
2010-08-24,21.0,21.0,20.8,20.8,17570,VNI
2010-08-25,19.8,20.0,19.8,19.8,11120,VNI
2010-08-26,19.0,20.0,18.9,20.0,28590,VNI
2010-08-27,19.9,19.9,19.0,19.9,3130,VNI
2010-08-30,19.5,20.8,19.5,20.8,33370,VNI
2010-08-31,21.3,21.8,21.1,21.8,55470,VNI
2010-09-01,22.8,22.8,21.8,22.8,67160,VNI
2010-09-06,22.8,23.9,22.8,23.9,18800,VNI
2010-09-07,23.9,24.9,23.5,24.3,26080,VNI
2010-09-08,24.3,24.3,23.1,23.1,11810,VNI
2010-09-09,24.0,24.0,22.0,23.1,41800,VNI
2010-09-10,23.0,23.0,22.0,22.0,32680,VNI
2010-09-13,20.9,21.0,20.9,20.9,24810,VNI
2010-09-14,20.0,21.9,20.0,21.9,61910,VNI
2010-09-15,22.8,22.9,21.9,22.9,30850,VNI
2010-09-16,22.9,23.5,21.8,23.5,37550,VNI
2010-09-17,23.0,24.1,22.4,24.1,56440,VNI
2010-09-20,23.1,25.2,22.9,22.9,95670,VNI
2010-09-21,22.9,23.8,21.8,22.9,12990,VNI
2010-09-22,22.1,22.9,22.0,22.1,3920,VNI
2010-09-23,22.2,22.8,21.0,22.2,44440,VNI
2010-09-24,21.2,22.3,21.2,22.3,45220,VNI
2010-09-27,21.2,22.9,21.2,21.2,46380,VNI
2010-09-28,21.8,21.8,20.5,21.8,41360,VNI
2010-09-29,21.6,21.7,21.0,21.6,5580,VNI
2010-09-30,20.6,21.9,20.6,21.9,35800,VNI
2010-10-01,21.9,21.9,21.0,21.9,8570,VNI
2010-10-04,20.9,21.8,20.9,20.9,13000,VNI
2010-10-05,20.9,21.7,19.9,20.9,86130,VNI
2010-10-06,20.9,20.9,20.3,20.4,14690,VNI
2010-10-07,20.6,20.6,19.7,20.6,6150,VNI
2010-10-08,19.8,21.0,19.8,19.8,14590,VNI
2010-10-11,20.4,20.4,19.8,20.4,21630,VNI
2010-10-12,19.8,20.4,19.8,20.4,11690,VNI
2010-10-13,20.0,20.2,19.8,20.0,12900,VNI
2010-10-14,20.7,20.7,19.0,19.0,10700,VNI
2010-10-15,19.0,19.9,19.0,19.0,18610,VNI
2010-10-18,19.7,19.7,18.5,18.5,1220,VNI
2010-10-19,17.7,19.0,17.7,17.7,17830,VNI
2010-10-20,17.7,17.7,16.9,16.9,20860,VNI
2010-10-21,16.2,17.6,16.2,16.2,7880,VNI
2010-10-22,15.9,16.7,15.9,15.9,8780,VNI
2010-10-25,15.3,16.5,15.2,16.5,122520,VNI
2010-10-26,17.0,17.0,15.7,17.0,24140,VNI
2010-10-27,16.2,17.5,16.2,17.5,17890,VNI
2010-10-28,17.5,18.0,16.8,18.0,14370,VNI
2010-10-29,17.5,18.9,17.1,17.5,94720,VNI
2010-11-01,16.8,17.0,16.7,16.7,18870,VNI
2010-11-02,15.9,16.6,15.9,15.9,15610,VNI
2010-11-03,15.2,15.8,15.2,15.2,27560,VNI
2010-11-04,14.5,15.2,14.5,14.5,28220,VNI
2010-11-05,15.0,15.0,14.5,15.0,9590,VNI
2010-11-08,14.3,14.9,14.3,14.3,19640,VNI
2010-11-09,14.3,14.3,13.6,13.6,47600,VNI
2010-11-10,13.0,13.5,13.0,13.0,19060,VNI
2010-11-11,12.5,13.3,12.5,12.6,5730,VNI
2010-11-12,13.0,13.0,12.0,12.0,15930,VNI
2010-11-15,11.5,12.6,11.5,11.5,5870,VNI
2010-11-16,11.1,12.0,11.0,11.0,11930,VNI
2010-11-17,11.5,11.5,10.6,11.5,7680,VNI
2010-11-18,12.0,12.0,11.8,12.0,6400,VNI
2010-11-19,11.8,12.5,11.8,11.8,7590,VNI
2010-11-22,11.3,11.7,11.3,11.3,4130,VNI
2010-11-23,10.8,11.8,10.8,11.8,3630,VNI
2010-11-24,12.0,12.0,12.0,12.0,4480,VNI
2010-11-25,12.1,12.5,12.0,12.1,1490,VNI
2010-11-26,11.7,12.1,11.5,11.7,9670,VNI
2010-11-29,11.9,11.9,11.7,11.9,7020,VNI
2010-11-30,12.3,12.4,12.3,12.4,19250,VNI
2010-12-01,12.9,13.0,12.0,12.9,24950,VNI
2010-12-02,12.4,13.4,12.4,13.4,19920,VNI
2010-12-03,13.8,14.0,13.8,14.0,40880,VNI
2010-12-06,14.0,14.6,13.5,14.0,42870,VNI
2010-12-07,14.0,14.0,13.5,13.5,19080,VNI
2010-12-08,13.1,13.5,13.0,13.0,25360,VNI
2010-12-09,13.5,13.5,12.5,13.5,7280,VNI
2010-12-10,13.5,14.0,13.1,13.5,5650,VNI
2010-12-13,14.1,14.1,14.0,14.1,28270,VNI
2010-12-14,14.6,14.6,13.6,13.7,21920,VNI
2010-12-15,13.5,14.1,13.5,13.5,9350,VNI
2010-12-16,13.5,13.7,13.1,13.1,5560,VNI
2010-12-17,13.7,13.7,13.3,13.7,25940,VNI
2010-12-20,14.3,14.3,14.0,14.0,28670,VNI
2010-12-21,13.7,14.2,13.5,13.7,10150,VNI
2010-12-22,13.8,14.0,13.8,13.8,8350,VNI
2010-12-23,13.5,14.0,13.4,13.5,9060,VNI
2010-12-24,13.5,13.9,13.3,13.5,7560,VNI
2010-12-27,13.5,13.6,13.5,13.5,1810,VNI
2010-12-28,13.2,13.8,13.2,13.8,2650,VNI
2010-12-29,13.8,13.9,13.4,13.4,22460,VNI
2010-12-30,13.3,13.7,13.3,13.5,4350,VNI
2010-12-31,13.5,13.6,13.5,13.6,3470,VNI
2011-01-04,13.6,13.9,13.4,13.4,2860,VNI
2011-01-05,13.4,13.5,13.3,13.3,5310,VNI
2011-01-06,13.3,13.3,13.2,13.2,8010,VNI
2011-01-07,13.2,13.3,13.1,13.1,1700,VNI
2011-01-10,13.1,13.1,12.8,12.8,11120,VNI
2011-01-11,12.8,12.8,12.6,12.7,13150,VNI
2011-01-12,12.7,12.9,12.7,12.7,4840,VNI
2011-01-13,13.3,13.3,12.7,13.0,4460,VNI
2011-01-14,13.0,13.2,13.0,13.1,9080,VNI
2011-01-17,13.1,13.1,13.0,13.0,5360,VNI
2011-01-18,12.8,13.2,12.8,13.2,6220,VNI
2011-01-19,12.8,13.2,12.8,13.2,17010,VNI
2011-01-20,12.9,12.9,12.9,12.9,1290,VNI
2011-01-21,13.2,13.2,13.0,13.0,5910,VNI
2011-01-24,13.5,13.5,12.9,12.9,15480,VNI
2011-01-25,12.5,12.5,12.5,12.5,6330,VNI
2011-01-26,13.1,13.1,13.1,13.1,4530,VNI
2011-01-27,13.3,13.3,13.1,13.1,4010,VNI
2011-01-28,12.7,12.7,12.7,12.7,30,VNI
2011-02-08,13.0,13.1,13.0,13.1,3300,VNI
2011-02-09,13.2,13.3,13.1,13.2,4600,VNI
2011-02-10,13.4,13.4,13.2,13.2,350,VNI
2011-02-11,13.1,13.1,13.0,13.0,1170,VNI
2011-02-14,13.0,13.3,13.0,13.0,2530,VNI
2011-02-15,13.0,13.2,12.5,13.0,1130,VNI
2011-02-16,12.6,12.6,12.6,12.6,990,VNI
2011-02-17,12.2,13.0,12.2,13.0,980,VNI
2011-02-18,12.6,12.9,12.4,12.9,930,VNI
2011-02-21,12.3,12.7,12.3,12.5,7040,VNI
