time,open,high,low,close,volume,ticker
2015-08-19,7.59,7.59,7.59,7.59,6460,VPS
2015-08-20,8.1,8.1,8.1,8.1,10,VPS
2015-08-21,8.65,8.65,8.65,8.65,10,VPS
2015-08-24,9.24,9.24,9.24,9.24,10,VPS
2015-08-25,9.87,9.87,9.24,9.24,1720,VPS
2015-08-26,9.28,9.28,8.6,9.28,360,VPS
2015-08-27,9.28,9.28,9.28,9.28,10,VPS
2015-08-28,9.66,9.66,9.66,9.66,10,VPS
2015-08-31,8.98,9.87,8.98,9.7,80,VPS
2015-09-01,9.07,9.32,9.02,9.32,1240,VPS
2015-09-03,8.73,9.66,8.69,9.66,230,VPS
2015-09-04,9.66,9.66,9.66,9.66,0,VPS
2015-09-07,8.98,9.28,8.98,9.28,110,VPS
2015-09-08,9.19,9.24,9.11,9.24,310,VPS
2015-09-09,8.65,8.65,8.6,8.6,150,VPS
2015-09-10,8.31,8.31,8.01,8.01,380,VPS
2015-09-11,8.01,8.56,7.46,7.46,3330,VPS
2015-09-14,6.96,7.97,6.96,6.96,3850,VPS
2015-09-15,6.54,7.42,6.49,6.62,1670,VPS
2015-09-16,7.04,7.04,6.2,6.24,10730,VPS
2015-09-17,6.03,6.66,6.03,6.66,1450,VPS
2015-09-18,7.08,7.13,7.08,7.08,3800,VPS
2015-09-21,6.96,6.96,6.62,6.87,1380,VPS
2015-09-22,6.92,6.96,6.54,6.92,4150,VPS
2015-09-23,7.04,7.04,7.04,7.04,20,VPS
2015-09-24,7.04,7.04,7.04,7.04,0,VPS
2015-09-25,6.66,6.66,6.66,6.66,220,VPS
2015-09-28,6.75,6.75,6.66,6.66,2180,VPS
2015-09-29,6.62,6.79,6.62,6.79,1050,VPS
2015-09-30,6.66,6.79,6.66,6.79,340,VPS
2015-10-01,6.54,6.75,6.54,6.54,70,VPS
2015-10-02,6.58,6.92,6.58,6.92,20,VPS
2015-10-05,6.92,6.92,6.92,6.92,0,VPS
2015-10-06,6.96,6.96,6.96,6.96,400,VPS
2015-10-07,7.25,7.25,7.25,7.25,20,VPS
2015-10-08,7.38,7.38,7.38,7.38,10,VPS
2015-10-09,6.87,7.59,6.87,7.59,1130,VPS
2015-10-12,7.08,7.8,7.08,7.8,30,VPS
2015-10-13,7.89,7.89,7.89,7.89,200,VPS
2015-10-14,7.89,7.89,7.89,7.89,0,VPS
2015-10-15,8.01,8.01,8.01,8.01,10,VPS
2015-10-16,7.46,7.46,7.46,7.46,170,VPS
2015-10-19,6.96,7.46,6.96,7.38,870,VPS
2015-10-20,7.38,7.38,7.38,7.38,0,VPS
2015-10-21,7.38,7.38,7.38,7.38,0,VPS
2015-10-22,7.68,7.68,6.92,6.96,4060,VPS
2015-10-23,6.96,6.96,6.96,6.96,0,VPS
2015-10-26,7.38,7.42,7.38,7.42,60,VPS
2015-10-27,7.42,7.42,7.42,7.42,0,VPS
2015-10-28,7.42,7.42,7.42,7.42,0,VPS
2015-10-29,7.42,7.42,7.42,7.42,0,VPS
2015-10-30,7.42,7.42,7.42,7.42,1000,VPS
2015-11-02,7.42,7.42,7.42,7.42,0,VPS
2015-11-03,7.42,7.42,7.42,7.42,0,VPS
2015-11-04,6.92,7.21,6.92,7.21,20,VPS
2015-11-05,6.75,6.75,6.75,6.75,30,VPS
2015-11-06,6.71,7.17,6.71,7.17,100,VPS
2015-11-09,6.71,7.25,6.71,6.75,30,VPS
2015-11-10,6.71,7.17,6.71,7.17,30,VPS
2015-11-11,6.75,7.17,6.75,7.17,20,VPS
2015-11-12,7.17,7.17,7.17,7.17,10,VPS
2015-11-13,6.75,7.13,6.75,6.79,200,VPS
2015-11-16,7.17,7.25,6.71,6.71,1080,VPS
2015-11-17,7.13,7.17,7.13,7.17,30,VPS
2015-11-18,7.17,7.21,7.13,7.21,180,VPS
2015-11-19,7.21,7.25,7.21,7.25,30,VPS
2015-11-20,7.25,7.38,7.25,7.38,310,VPS
2015-11-23,7.51,7.51,7.51,7.51,10,VPS
2015-11-24,7.38,7.38,7.38,7.38,10,VPS
2015-11-25,7.38,7.38,7.38,7.38,0,VPS
2015-11-26,6.96,6.96,6.96,6.96,200,VPS
2015-11-27,7.42,7.42,6.96,7.3,620,VPS
2015-11-30,6.87,7.3,6.87,6.87,40,VPS
2015-12-01,7.21,7.21,7.21,7.21,10,VPS
2015-12-02,7.46,7.46,7.46,7.46,10,VPS
2015-12-03,7.46,7.46,7.46,7.46,0,VPS
2015-12-04,7.0,7.97,7.0,7.76,90,VPS
2015-12-07,8.1,8.1,7.25,7.25,1160,VPS
2015-12-08,7.25,7.25,7.25,7.25,0,VPS
2015-12-09,6.83,7.34,6.83,7.34,1680,VPS
2015-12-10,7.17,7.17,7.17,7.17,1680,VPS
2015-12-11,7.17,7.34,7.17,7.34,510,VPS
2015-12-14,7.76,7.76,7.76,7.76,10,VPS
2015-12-15,7.89,7.89,7.25,7.72,70,VPS
2015-12-16,7.21,7.59,7.21,7.59,20,VPS
2015-12-17,8.1,8.1,7.21,7.97,40,VPS
2015-12-18,8.43,8.43,8.43,8.43,10,VPS
2015-12-21,8.43,8.43,8.43,8.43,0,VPS
2015-12-22,7.84,7.84,7.84,7.84,10,VPS
2015-12-23,7.84,7.84,7.84,7.84,0,VPS
2015-12-24,7.84,7.84,7.84,7.84,0,VPS
2015-12-25,7.3,7.3,7.3,7.3,10,VPS
2015-12-28,7.51,7.51,7.17,7.17,220,VPS
2015-12-29,7.63,7.63,7.63,7.63,10,VPS
2015-12-30,7.13,7.13,7.13,7.13,10,VPS
2015-12-31,7.59,7.59,7.59,7.59,10,VPS
2016-01-04,7.68,7.68,7.68,7.68,10,VPS
2016-01-05,7.25,7.55,7.25,7.55,30,VPS
2016-01-06,7.55,7.55,7.55,7.55,0,VPS
2016-01-07,7.72,7.72,7.13,7.13,20,VPS
2016-01-08,7.59,7.59,7.59,7.59,110,VPS
2016-01-11,7.21,7.21,7.21,7.21,190,VPS
2016-01-12,7.21,7.21,7.21,7.21,0,VPS
2016-01-13,7.17,7.17,7.17,7.17,50,VPS
2016-01-14,7.17,7.17,7.17,7.17,0,VPS
2016-01-15,7.59,7.59,7.59,7.59,20,VPS
2016-01-18,7.17,7.17,7.17,7.17,970,VPS
2016-01-19,7.59,7.59,7.59,7.59,10,VPS
2016-01-20,7.59,7.59,7.59,7.59,0,VPS
2016-01-21,7.13,7.13,7.08,7.08,1100,VPS
2016-01-22,7.55,7.55,7.55,7.55,10,VPS
2016-01-25,7.55,7.55,7.55,7.55,0,VPS
2016-01-26,8.01,8.01,8.01,8.01,10,VPS
2016-01-27,8.22,8.56,8.22,8.56,40,VPS
2016-01-28,8.56,8.56,8.56,8.56,0,VPS
2016-01-29,8.22,8.22,8.18,8.18,2010,VPS
2016-02-01,7.97,7.97,7.97,7.97,100,VPS
2016-02-02,7.97,7.97,7.97,7.97,0,VPS
2016-02-03,7.42,8.05,7.42,8.05,1500,VPS
2016-02-04,8.05,8.05,8.05,8.05,0,VPS
2016-02-05,8.05,8.05,8.05,8.05,0,VPS
2016-02-15,8.1,8.1,7.59,7.59,30,VPS
2016-02-16,8.01,8.01,8.01,8.01,10,VPS
2016-02-17,7.46,7.46,7.46,7.46,20,VPS
2016-02-18,7.46,7.46,7.46,7.46,0,VPS
2016-02-19,7.63,7.63,7.63,7.63,10,VPS
2016-02-22,7.68,7.68,7.51,7.51,60,VPS
2016-02-23,7.76,7.76,7.76,7.76,10,VPS
2016-02-24,8.27,8.27,7.25,7.68,1290,VPS
2016-02-25,7.68,7.68,7.68,7.68,0,VPS
2016-02-26,7.68,7.68,7.68,7.68,0,VPS
2016-02-29,7.51,7.59,7.38,7.59,1150,VPS
2016-03-01,7.21,8.05,7.21,8.05,40,VPS
2016-03-02,7.55,7.59,7.55,7.59,360,VPS
2016-03-03,8.05,8.1,7.76,7.76,120,VPS
2016-03-04,7.59,7.76,7.55,7.59,460,VPS
2016-03-07,7.76,7.76,7.76,7.76,10,VPS
2016-03-08,7.76,7.76,7.76,7.76,0,VPS
2016-03-09,8.27,8.27,8.27,8.27,10,VPS
2016-03-10,8.27,8.27,8.27,8.27,0,VPS
2016-03-11,7.72,7.72,7.72,7.72,190,VPS
2016-03-14,7.59,7.68,7.51,7.68,600,VPS
2016-03-15,8.18,8.18,7.59,7.97,70,VPS
2016-03-16,8.43,8.43,8.43,8.43,10,VPS
2016-03-17,8.01,8.65,7.84,8.65,2990,VPS
2016-03-18,8.65,9.24,8.05,8.1,4020,VPS
2016-03-21,8.01,8.43,7.84,8.43,280,VPS
2016-03-22,8.48,8.48,8.01,8.01,1300,VPS
2016-03-23,8.39,8.39,8.01,8.1,620,VPS
2016-03-24,8.35,8.6,7.84,8.01,3130,VPS
2016-03-25,8.05,8.31,8.05,8.31,190,VPS
2016-03-28,8.35,8.35,8.35,8.35,150,VPS
2016-03-29,8.1,8.1,8.1,8.1,70,VPS
2016-03-30,8.22,8.43,8.22,8.43,170,VPS
2016-03-31,8.43,8.43,8.01,8.43,1920,VPS
2016-04-01,8.1,8.65,8.1,8.65,3810,VPS
2016-04-04,8.18,8.65,8.18,8.18,50,VPS
2016-04-05,8.18,8.18,8.18,8.18,0,VPS
2016-04-06,8.18,8.18,8.18,8.18,0,VPS
2016-04-07,8.18,8.73,8.18,8.73,610,VPS
2016-04-08,9.24,9.28,9.24,9.24,180,VPS
2016-04-11,9.49,9.66,9.24,9.24,2420,VPS
2016-04-12,8.9,9.19,8.86,9.15,2460,VPS
2016-04-13,8.94,9.07,8.86,9.02,1530,VPS
2016-04-14,8.86,8.86,8.86,8.86,1000,VPS
2016-04-15,8.69,9.07,8.65,9.07,630,VPS
2016-04-19,8.69,9.07,8.69,9.07,130,VPS
2016-04-20,9.28,9.28,8.77,9.07,180,VPS
2016-04-21,8.65,8.94,8.52,8.94,1610,VPS
2016-04-22,8.69,8.98,8.43,8.98,2490,VPS
2016-04-25,8.48,8.48,8.48,8.48,10,VPS
2016-04-26,9.02,9.02,8.43,8.43,240,VPS
2016-04-27,8.77,8.77,8.48,8.52,330,VPS
2016-04-28,8.05,8.05,8.05,8.05,200,VPS
2016-04-29,8.05,8.6,8.01,8.01,280,VPS
2016-05-04,8.56,8.56,7.76,7.8,150,VPS
2016-05-05,7.8,8.31,7.8,7.84,190,VPS
2016-05-06,8.22,8.22,7.84,7.84,60,VPS
2016-05-09,7.84,7.84,7.8,7.8,3620,VPS
