time,open,high,low,close,volume,ticker
2017-08-03,12.87,12.87,12.87,12.87,100,YTC
2017-08-04,14.77,14.77,14.77,14.77,3000,YTC
2017-08-07,14.77,14.77,14.77,14.77,500,YTC
2017-08-08,14.77,14.77,12.57,12.57,5500,YTC
2017-08-09,15.11,15.42,15.11,15.42,10000,YTC
2017-08-10,13.82,13.82,13.39,13.39,1500,YTC
2017-08-11,13.6,13.6,13.6,13.6,500,YTC
2017-08-14,13.39,13.39,13.39,13.39,500,YTC
2017-08-15,13.39,13.39,13.39,13.39,0,YTC
2017-08-16,13.17,13.17,13.17,13.17,500,YTC
2017-08-17,12.95,12.95,12.95,12.95,500,YTC
2017-08-18,13.17,13.17,13.17,13.17,2500,YTC
2017-08-21,12.95,12.95,12.74,12.74,1200,YTC
2017-08-22,12.95,14.68,12.95,14.68,67700,YTC
2017-08-23,12.95,12.95,12.74,12.74,5500,YTC
2017-08-24,12.95,12.95,12.95,12.95,5000,YTC
2017-08-25,12.95,12.95,12.95,12.95,0,YTC
2017-08-28,12.95,12.95,12.95,12.95,0,YTC
2017-08-29,12.95,12.95,12.95,12.95,0,YTC
2017-08-30,11.66,11.66,11.66,11.66,100,YTC
2017-08-31,11.66,11.66,11.66,11.66,0,YTC
2017-09-01,11.66,11.66,11.66,11.66,0,YTC
2017-09-05,13.39,13.39,13.39,13.39,1500,YTC
2017-09-06,13.82,13.82,13.82,13.82,5000,YTC
2017-09-07,15.89,15.89,15.89,15.89,100,YTC
2017-09-08,17.27,17.27,17.27,17.27,100,YTC
2017-09-11,19.86,19.86,16.84,16.84,1100,YTC
2017-09-12,17.23,17.23,17.23,17.23,0,YTC
2017-09-13,14.68,14.68,14.68,14.68,100,YTC
2017-09-14,14.68,14.68,14.68,14.68,0,YTC
2017-09-15,14.68,14.68,14.68,14.68,0,YTC
2017-09-18,15.76,15.76,15.76,15.76,100,YTC
2017-09-19,15.76,15.76,15.76,15.76,0,YTC
2017-09-20,17.06,17.06,17.06,17.06,100,YTC
2017-09-21,14.51,14.51,14.51,14.51,100,YTC
2017-09-22,15.98,15.98,15.98,15.98,100,YTC
2017-09-25,17.27,17.27,17.06,17.06,400,YTC
2017-09-26,17.1,17.1,17.1,17.1,0,YTC
2017-09-27,14.55,14.55,14.55,14.55,100,YTC
2017-09-28,12.39,16.41,12.39,16.41,300,YTC
2017-09-29,17.27,17.27,17.27,17.27,100,YTC
2017-10-02,17.27,17.27,17.27,17.27,0,YTC
2017-10-03,17.27,17.27,17.27,17.27,0,YTC
2017-10-04,17.27,17.27,17.27,17.27,0,YTC
2017-10-05,15.54,15.54,15.54,15.54,200,YTC
2017-10-06,15.54,15.54,15.54,15.54,0,YTC
2017-10-09,15.54,15.54,15.54,15.54,0,YTC
2017-10-10,15.54,15.54,15.54,15.54,0,YTC
2017-10-11,15.54,15.54,15.54,15.54,0,YTC
2017-10-12,15.54,15.54,15.54,15.54,0,YTC
2017-10-13,15.54,15.54,15.54,15.54,0,YTC
2017-10-16,15.54,15.54,15.54,15.54,0,YTC
2017-10-17,15.54,15.54,15.54,15.54,0,YTC
2017-10-18,15.54,15.54,15.54,15.54,0,YTC
2017-10-19,15.54,15.54,15.54,15.54,0,YTC
2017-10-20,15.54,15.54,15.54,15.54,0,YTC
2017-10-23,15.54,15.54,15.54,15.54,0,YTC
2017-10-24,13.39,13.39,13.39,13.39,2200,YTC
2017-10-25,13.39,13.39,13.39,13.39,0,YTC
2017-10-26,13.39,13.39,13.39,13.39,0,YTC
2017-10-27,13.39,13.39,13.39,13.39,0,YTC
2017-10-30,13.39,13.39,13.39,13.39,0,YTC
2017-10-31,14.64,14.64,14.64,14.64,100,YTC
2017-11-01,16.41,16.41,16.41,16.41,100,YTC
2017-11-02,15.24,15.24,15.24,15.24,100,YTC
2017-11-03,15.24,15.24,15.24,15.24,0,YTC
2017-11-06,15.24,15.24,15.24,15.24,0,YTC
2017-11-07,15.24,15.24,15.24,15.24,0,YTC
2017-11-08,15.24,15.24,15.24,15.24,0,YTC
2017-11-09,15.24,15.24,15.24,15.24,0,YTC
2017-11-10,13.0,13.0,13.0,13.0,100,YTC
2017-11-13,13.0,13.0,13.0,13.0,0,YTC
2017-11-14,14.94,14.94,14.94,14.94,100,YTC
2017-11-15,14.94,14.94,14.94,14.94,0,YTC
2017-11-16,14.94,14.94,14.94,14.94,0,YTC
2017-11-17,14.94,14.94,14.94,14.94,0,YTC
2017-11-20,14.94,14.94,14.94,14.94,0,YTC
2017-11-21,14.94,14.94,14.94,14.94,0,YTC
2017-11-22,14.94,14.94,14.94,14.94,0,YTC
2017-11-23,14.94,14.94,14.94,14.94,0,YTC
2017-11-24,14.94,14.94,14.94,14.94,0,YTC
2017-11-27,14.94,14.94,14.94,14.94,0,YTC
2017-11-28,12.95,12.95,12.74,12.74,900,YTC
2017-11-29,14.72,14.72,14.72,14.72,100,YTC
2017-11-30,16.41,16.41,16.41,16.41,100,YTC
2017-12-01,13.95,13.95,13.95,13.95,25500,YTC
2017-12-04,13.95,13.95,13.95,13.95,0,YTC
2017-12-05,15.76,16.02,15.76,16.02,600,YTC
2017-12-06,15.98,15.98,15.98,15.98,0,YTC
2017-12-07,15.98,15.98,15.98,15.98,0,YTC
2017-12-08,15.98,15.98,15.98,15.98,0,YTC
2017-12-11,13.6,13.6,13.6,13.6,600,YTC
2017-12-12,12.09,15.63,12.09,15.63,400,YTC
2017-12-13,13.0,13.0,13.0,15.63,50,YTC
2017-12-14,14.9,14.9,14.9,14.9,100,YTC
2017-12-15,14.9,14.9,14.9,14.9,10,YTC
2017-12-18,14.9,14.9,14.9,14.9,0,YTC
2017-12-19,12.69,12.69,12.69,12.69,200,YTC
2017-12-20,12.69,12.69,12.69,12.69,10,YTC
2017-12-21,12.69,12.69,12.69,12.69,31,YTC
2017-12-22,12.69,12.69,12.69,12.69,0,YTC
2017-12-25,14.55,14.55,14.55,14.55,100,YTC
2017-12-26,14.55,14.55,14.55,14.55,2500,YTC
2017-12-27,14.55,14.55,14.55,14.55,0,YTC
2017-12-28,14.55,14.55,14.55,14.55,0,YTC
2017-12-29,14.55,14.55,14.55,14.55,0,YTC
2018-01-02,14.55,14.55,14.55,14.55,0,YTC
2018-01-03,16.41,16.41,16.41,16.41,100,YTC
2018-01-04,16.41,16.41,16.41,16.41,0,YTC
2018-01-05,16.41,16.41,16.41,16.41,0,YTC
2018-01-08,16.41,16.41,16.41,16.41,0,YTC
2018-01-09,16.41,16.41,16.41,16.41,0,YTC
2018-01-10,16.41,16.41,16.41,16.41,0,YTC
2018-01-11,16.41,16.41,16.41,16.41,0,YTC
2018-01-12,16.41,16.41,16.41,16.41,0,YTC
2018-01-15,15.11,15.11,15.11,15.11,100,YTC
2018-01-16,15.11,15.11,15.11,15.11,0,YTC
2018-01-17,15.11,15.11,15.11,15.11,0,YTC
2018-01-18,15.11,15.11,15.11,15.11,0,YTC
2018-01-19,15.11,15.11,15.11,15.11,0,YTC
2018-01-22,15.11,15.11,15.11,15.11,0,YTC
2018-01-23,15.11,15.11,15.11,15.11,2300,YTC
2018-01-24,17.27,17.27,16.62,17.27,2700,YTC
2018-01-25,17.27,19.43,17.27,19.43,300,YTC
2018-01-26,18.01,18.01,18.01,18.01,0,YTC
2018-01-29,15.54,15.54,15.54,15.54,800,YTC
2018-01-30,16.37,16.37,16.37,16.37,100,YTC
2018-01-31,16.37,16.37,16.37,16.37,0,YTC
2018-02-01,16.37,16.37,16.37,16.37,0,YTC
2018-02-02,17.47,17.47,17.47,17.47,100,YTC
2018-02-05,17.47,17.47,17.47,17.47,0,YTC
2018-02-06,14.86,14.86,14.86,14.86,500,YTC
2018-02-07,17.08,17.08,17.08,17.08,100,YTC
2018-02-08,17.08,17.08,17.08,17.08,0,YTC
2018-02-09,17.08,17.08,17.08,17.08,0,YTC
2018-02-12,18.85,18.85,18.85,18.85,100,YTC
2018-02-13,18.85,18.85,18.85,18.85,0,YTC
2018-02-21,18.85,18.85,18.85,18.85,0,YTC
2018-02-22,18.85,18.85,18.85,18.85,0,YTC
2018-02-23,18.85,18.85,18.85,18.85,0,YTC
2018-02-26,18.85,18.85,18.85,18.85,0,YTC
2018-02-27,18.85,18.85,18.85,18.85,0,YTC
2018-02-28,20.62,20.62,20.62,20.62,100,YTC
2018-03-01,20.62,20.62,20.62,20.62,0,YTC
2018-03-02,20.62,20.62,20.62,20.62,0,YTC
2018-03-05,21.95,21.95,21.95,21.95,100,YTC
2018-03-06,21.95,21.95,21.95,21.95,0,YTC
2018-03-07,21.95,21.95,21.95,21.95,0,YTC
2018-03-08,22.18,24.17,18.67,22.18,7400,YTC
2018-03-09,22.18,22.18,17.34,18.63,7900,YTC
2018-03-12,21.95,21.95,21.24,21.24,1240,YTC
2018-03-13,18.63,22.62,18.63,22.62,300,YTC
2018-03-14,21.07,21.07,18.85,20.85,1700,YTC
2018-03-15,21.51,21.51,21.51,21.51,200,YTC
2018-03-16,21.73,21.73,21.73,21.73,100,YTC
2018-03-19,23.95,23.95,23.95,23.95,100,YTC
2018-03-20,23.95,23.95,23.95,23.95,0,YTC
2018-03-21,23.95,23.95,23.95,23.95,0,YTC
2018-03-22,23.95,23.95,23.95,23.95,0,YTC
2018-03-23,23.95,23.95,23.95,23.95,0,YTC
2018-03-26,23.95,23.95,23.95,23.95,2,YTC
2018-03-27,23.95,23.95,23.95,23.95,7,YTC
2018-03-28,23.95,23.95,23.95,23.95,0,YTC
2018-03-29,26.61,26.61,26.61,26.61,100,YTC
2018-03-30,26.61,26.61,26.61,26.61,0,YTC
2018-04-02,29.72,29.72,29.72,29.72,100,YTC
2018-04-03,29.72,29.72,29.72,29.72,0,YTC
2018-04-04,29.72,29.72,29.72,29.72,2,YTC
2018-04-05,29.72,29.72,29.72,29.72,0,YTC
2018-04-06,29.72,29.72,29.72,29.72,0,YTC
2018-04-09,29.72,29.72,29.72,29.72,0,YTC
2018-04-10,29.72,29.72,29.72,29.72,0,YTC
2018-04-11,29.72,29.72,29.72,29.72,0,YTC
2018-04-12,29.72,29.72,29.72,29.72,0,YTC
2018-04-13,29.72,29.72,29.72,29.72,2,YTC
2018-04-16,29.72,29.72,29.72,29.72,3,YTC
2018-04-17,29.72,29.72,29.72,29.72,1,YTC
2018-04-18,29.72,29.72,29.72,29.72,0,YTC
2018-04-19,29.72,29.72,29.72,29.72,0,YTC
2018-04-20,29.72,29.72,29.72,29.72,0,YTC
2018-04-23,29.72,29.72,29.72,29.72,0,YTC
2018-04-24,29.72,29.72,29.72,29.72,0,YTC
2018-04-26,29.72,29.72,29.72,29.72,1,YTC
2018-04-27,29.72,29.72,29.72,29.72,0,YTC
2018-05-02,25.28,25.28,25.28,25.28,100,YTC
2018-05-03,25.28,25.28,25.28,25.28,2,YTC
2018-05-04,25.28,25.28,25.28,25.28,2,YTC
2018-05-07,25.28,25.28,25.28,25.28,0,YTC
2018-05-08,25.28,25.28,25.28,25.28,0,YTC
2018-05-09,21.51,21.73,21.51,21.73,1000,YTC
2018-05-10,21.55,21.55,21.55,21.55,0,YTC
2018-05-11,21.55,21.55,21.55,21.55,0,YTC
2018-05-14,21.55,21.55,21.55,21.55,0,YTC
2018-05-15,21.29,21.29,21.29,21.29,2000,YTC
2018-05-16,21.29,21.29,21.29,21.29,0,YTC
2018-05-17,21.29,21.29,21.29,21.29,0,YTC
2018-05-18,21.29,21.29,21.29,21.29,0,YTC
2018-05-21,21.29,21.29,21.29,21.29,0,YTC
2018-05-22,21.29,21.29,21.29,21.29,0,YTC
2018-05-23,21.29,21.29,21.29,21.29,2,YTC
2018-05-24,21.29,21.29,21.29,21.29,0,YTC
2018-05-25,18.14,18.14,18.1,18.1,2000,YTC
2018-05-28,20.18,20.62,20.18,20.62,2400,YTC
2018-05-29,17.43,17.43,17.43,17.43,100,YTC
2018-05-30,17.74,19.51,17.74,19.51,700,YTC
2018-05-31,19.25,19.25,19.25,19.25,0,YTC
2018-06-01,19.25,19.25,19.25,19.25,0,YTC
2018-06-04,19.25,19.25,19.25,19.25,0,YTC
2018-06-05,16.37,16.37,16.37,16.37,100,YTC
2018-06-06,16.85,16.85,16.85,16.85,200,YTC
2018-06-07,14.33,14.33,14.33,14.33,100,YTC
2018-06-08,12.2,12.2,12.2,12.2,100,YTC
2018-06-11,14.01,14.01,14.01,14.01,100,YTC
2018-06-12,14.01,14.01,14.01,14.01,0,YTC
2018-06-13,15.97,15.97,15.97,15.97,100,YTC
2018-06-14,17.74,17.74,17.74,17.74,100,YTC
2018-06-15,17.74,17.74,17.74,17.74,0,YTC
2018-06-18,17.74,17.74,17.74,17.74,0,YTC
2018-06-19,17.74,17.74,17.74,17.74,0,YTC
2018-06-20,17.74,17.74,17.74,17.74,10,YTC
2018-06-21,17.74,17.74,17.74,17.74,0,YTC
2018-06-22,19.07,19.07,19.07,19.07,2080,YTC
2018-06-25,19.07,19.07,19.07,19.07,0,YTC
2018-06-26,19.07,19.07,19.07,19.07,0,YTC
2018-06-27,19.07,19.07,19.07,19.07,0,YTC
2018-06-28,19.07,19.07,19.07,19.07,0,YTC
2018-06-29,19.07,19.07,19.07,19.07,10,YTC
2018-07-02,19.07,19.07,19.07,19.07,0,YTC
2018-07-03,19.07,19.07,19.07,19.07,0,YTC
2018-07-04,19.07,19.07,19.07,19.07,0,YTC
2018-07-05,19.07,19.07,19.07,19.07,0,YTC
2018-07-06,19.07,19.07,19.07,19.07,0,YTC
2018-07-09,19.07,19.07,19.07,19.07,0,YTC
2018-07-10,19.07,19.07,19.07,19.07,0,YTC
2018-07-11,19.07,19.07,19.07,19.07,0,YTC
2018-07-12,19.07,19.07,19.07,19.07,0,YTC
2018-07-13,17.74,17.74,17.74,17.74,810,YTC
2018-07-16,17.74,17.74,17.74,17.74,0,YTC
2018-07-17,17.74,17.74,17.74,17.74,2,YTC
2018-07-18,17.74,17.74,17.74,17.74,0,YTC
2018-07-19,17.74,17.74,17.74,17.74,0,YTC
2018-07-20,17.74,17.74,17.74,17.74,0,YTC
2018-07-23,17.74,17.74,17.74,17.74,0,YTC
2018-07-24,17.25,17.25,17.25,17.25,0,YTC
2018-07-25,17.74,17.74,17.74,17.74,0,YTC
2018-07-26,17.74,17.74,17.74,17.74,0,YTC
2018-07-27,17.74,17.74,17.74,17.74,0,YTC
2018-07-30,18.24,18.24,18.24,18.24,102,YTC
2018-07-31,18.24,18.24,18.24,18.24,0,YTC
2018-08-01,18.24,18.24,18.24,18.24,0,YTC
2018-08-02,18.24,18.24,18.24,18.24,0,YTC
2018-08-03,18.24,18.24,18.24,18.24,0,YTC
2018-08-06,18.24,18.24,18.24,18.24,0,YTC
2018-08-07,18.24,18.24,18.24,18.24,0,YTC
2018-08-08,18.24,18.24,18.24,18.24,0,YTC
2018-08-09,18.24,18.24,18.24,18.24,0,YTC
2018-08-10,18.24,18.24,18.24,18.24,0,YTC
2018-08-13,18.24,18.24,18.24,18.24,0,YTC
2018-08-14,18.24,18.24,18.24,18.24,0,YTC
2018-08-15,18.24,18.24,18.24,18.24,0,YTC
2018-08-16,18.24,18.24,18.24,18.24,0,YTC
2018-08-17,18.24,18.24,18.24,18.24,0,YTC
2018-08-20,20.52,20.52,20.52,20.52,5100,YTC
2018-08-21,20.52,20.52,20.52,20.52,100,YTC
2018-08-22,20.52,23.26,20.52,23.26,4803,YTC
2018-08-23,21.3,21.3,21.3,21.3,0,YTC
2018-08-24,21.3,21.3,21.3,21.3,0,YTC
2018-08-27,21.43,24.49,21.3,24.49,11100,YTC
2018-08-28,23.81,23.81,23.81,24.49,65,YTC
2018-08-29,23.85,23.85,23.85,23.85,1300,YTC
2018-08-30,23.85,23.85,23.85,23.85,20,YTC
2018-08-31,23.94,23.94,23.94,23.94,1765,YTC
2018-09-04,23.94,23.94,23.94,23.94,0,YTC
2018-09-05,23.94,23.94,23.94,23.94,0,YTC
2018-09-06,23.94,23.94,23.94,23.94,0,YTC
2018-09-07,23.94,23.94,23.94,23.94,0,YTC
2018-09-10,24.13,24.13,24.13,24.13,200,YTC
2018-09-11,24.17,27.73,24.17,27.73,2700,YTC
2018-09-12,25.17,25.17,25.17,25.17,0,YTC
2018-09-13,25.17,25.17,25.17,25.17,0,YTC
2018-09-14,25.17,25.17,25.17,25.17,0,YTC
2018-09-17,25.17,25.17,25.17,25.17,0,YTC
2018-09-18,25.17,25.17,25.17,25.17,0,YTC
2018-09-19,25.22,25.22,25.22,25.22,100,YTC
2018-09-20,25.22,25.22,25.22,25.22,0,YTC
2018-09-21,25.22,25.22,25.22,25.22,100,YTC
2018-09-24,25.27,25.27,25.27,25.27,100,YTC
2018-09-25,26.45,26.91,26.45,26.91,2000,YTC
2018-09-26,26.68,26.68,26.68,26.68,100,YTC
2018-09-27,26.68,26.68,26.68,26.68,1200,YTC
2018-09-28,26.68,26.68,26.68,26.68,0,YTC
2018-10-01,26.72,26.72,26.72,26.72,100,YTC
2018-10-02,26.72,26.72,26.72,26.72,0,YTC
2018-10-03,26.72,26.72,26.72,26.72,0,YTC
2018-10-04,27.36,29.64,27.36,29.64,1900,YTC
2018-10-05,24.63,24.63,24.63,24.63,2050,YTC
